"X","hand.label","expert.ind","max.class","verified","username","description","hand.label_simplified"
1,"acad","yes","acad",TRUE,"conserveturtles","STC is the oldest sea turtle conservation organization in the world. Saving sea turtles through research, advocacy & education since 1959.","acad"
2,"acad","yes","acad",TRUE,"WhySharksMatter","Research associate at @ASU @ASUinDC studying sharks and their conservation, opinions mine. Author and consultant. He/him @WhySharksMatter@mastodon.online","acad"
3,"acad","no","acad",TRUE,"BenDiamondFL","Husband, Father and proud Floridian | Florida State Representative (2016-2022) | Attorney, The Diamond Law Firm, P.A. | Adjunct Professor @Stetsonlaw","acad"
4,"acad","no","acad",TRUE,"NancyRichmond","Speaker :speaking head: | University Professor :books:  | Social Media Consultant :selfie:  | Wellbeing & Career Expert :folded hands: | Inspiring Leaders to Connect & Innovate :woman technologist:","acad"
5,"acad","no","acad",TRUE,"stemdotorg","Science :microscope: Technology :satellite: Engineering :gear: Math :triangular ruler: Educational Research | Immutable #Blockchain Credentialing | ISO 9001:2015 QMS :flag: Switzerland: | #BTC","acad"
8,"acad","no","acad",FALSE,"Andreas22467916","criminal trial attorney,  professor, philosopher, art appreciator, conversationalist, decent golfer, disabled veteran","acad"
9,"acad","yes","acad",FALSE,"paul_ruscher","Retired weather & climate prof @#FSU; now :party popper:retired Dean @#LCC. @ametsoc Fellow. Personal acct. RTs≠agreement :baseball:️/Sci/Nature/:peace symbol:/Fun/ husband/dad/g’pa","acad"
11,"acad","no","acad",FALSE,"SadhanaGinde","Passionate foodie & traveler through life - I get lost a lot along the way too. Cancer researcher, scientist & certified geek. Proud #GenZ mom :grinning face with big eyes:","acad"
13,"acad","no","acad",FALSE,"YockeyAndrew","Assistant Professor of Biostatistics and Epidemiology, @UNTHSC SPH. :rainbow flag: All views are my own. RT≠endorsement","acad"
17,"acad","no","acad",FALSE,"TammyHodgson75","@Tamagain@mas.to I'm a moderate, a scientist, a healthcare supporter and a public school therapist for special needs kids. Canadian kid adulting in America.","acad"
19,"acad","yes","acad",FALSE,"MoteMarineLab",":water wave: Mote Marine Lab & Aquarium is a leader in marine research & conservation! 

Visit us & enjoy life below the surface #motemarinelab","acad"
22,"acad","no","acad",FALSE,"ChelseaRae_Art",":flag: Germany: :flag: United States:Instructional Professor in Digital Arts Animator- Rooster Teeth (current) @1unbreadmessage opinions are MINE! :down arrow:","acad"
24,"acad","no","acad",FALSE,"Craken_MacCraic","Professor, podcaster, pirate, bunny-hugger, writer, sculptor, ex-ninja/model & dolphin saviour. Slytherin. Smells like the sea with just a whiff of adventure.","acad"
27,"acad","yes","acad",FALSE,"CharlieBio","Research Scientist.
Interests: Bioactive Molecules, Marine Metabolites, Pharmacology, Chemistry, Aquatic Toxicology, Climate Change.","acad"
28,"acad","no","acad",FALSE,"luismbotana","Dept Farmacología / Fac Veterinaria / Pharmacology Research group at USC: FARMATOX","acad"
29,"acad","yes","acad",FALSE,"DrLimnology","limnologist | Director - Flathead L Bio Station | Bierman Prof of Ecology - U Montana | Director - Sustainable P Alliance, ASU | Member - NAS | opinions mine","acad"
30,"acad","yes","acad",FALSE,"VanmeterKVM","Asst Prof @PSUgeography @PSUEarth, exploring human impacts on water under changing climate and land use. she/her :rainbow flag:","acad"
31,"acad","yes","acad",FALSE,"inspectorplanet",":crocodile:PhD Env Engineer/Scientist (NOAA) :water wave::cloud with lightning and rain:. Dr House meets The Lorax :movie camera: Mythbusters•WeirdEarth•SharkFest @Marvel AgentOfGirl; @YSIinc Water Hero; #USM","acad"
32,"acad","yes","acad",FALSE,"DocClaireP","I am a 100% scientist. Discovery and learning is part of life - 3 science degrees Marine Biologist - Lifetime Saint All views my own","acad"
35,"acad","no","acad",FALSE,"MamaDelilahRoo","Cancer research scientist with a severe dislike of political BS. Twitter is my political bla-bla space. Love kitties, running and falafel!","acad"
36,"acad","no","acad",FALSE,"sandy14moore","Heart Zones - Central US Rep, retired PE teachers, Lindenwood Adjunct Professor, MOSHAPE President 2019, Mom, Livin happy in retirement","acad"
39,"gov-acad","yes","acad",FALSE,"LindsayCrossFL","Representative for Florida House District 60. Environmental Scientist. Product of Public Schools. Health and Wellness Professional. Nature Lover.","gov"
40,"acad","no","acad",FALSE,"BrettaApplebaum","https://t.co/hF4XEIjH3U
#Scientist #NastyWoman Flibbertygibbit #MyDeadMomSays Delectable Mischief #Atheist #Ironbutt #1300VTX #WarOnWomen","acad"
