"X","hand.label","expert.ind","max.class","verified","username","description","hand.label_simplified"
1,"other","no","acad",TRUE,"Casper30214","Army Civil Service(Retired);Military Ops Research Analyst; HLS; FEMA Cert; AS Criminal Justice; BS Aeronautical Science; MBA; FAA Cert Flight Instructor;","other"
2,"acad","no","acad",TRUE,"enckj","Former EPA Regional Administrator, President of Beyond Plastics, Bennington College Visiting Professor. On the WAMC Roundtable Show every Friday.","acad"
3,"acad","no","acad",FALSE,"nuclearkelly","Scientist at ORNL, DOE Early Career Awardee, FRIB User Organization Chair. She blinded me with science! (views are my own)","acad"
4,"acad","yes","acad",FALSE,"stukhan","Dad. Director of the Australian Graduate School of Engineering (AGSE) at @UNSW. Professor of Civil & Environmental Engineering at @UNSW. Scientia potentia est.","acad"
5,"acad","no","acad",FALSE,"PatMag7","Podcasting about Feminist Participatory Action Researchers, activist, mom. Intersectional Feminisms & Gender Justice. Repurposed professor Emeritus WNMU","acad"
6,"acad","no","acad",FALSE,"RTeachquijote","Professor, grandmother, Democrat, francophile.","acad"
7,"other","no","acad",FALSE,"TwitTok8","TwitTok where TikTok comes to party :balloon: Incredible, Amazing, Videos.:mobile phone:#TikTokCommunity #Endless #Entertainment:warning: Always do your research on weird videos.","other"
8,"acad","no","acad",FALSE,"eduboue","Neuroscientist, New Orleanian, dog lover. Assistant Professor at FAU studying neuronal modulation of stress using zebrafish and cavefish.","acad"
9,"acad","no","acad",FALSE,"drempowerment","Book Coach | Author | Professor |Alpha Kappa Alpha | NLP Practitioner | @USouthFlorida alum","acad"
10,"acad","yes","acad",FALSE,"PlanetSWAMPY","Influencer. Scientist. Author. Artist. Owner of Planet SWAMPY LLC. Global voice for clean water wetland science and Earth Day","acad"
11,"acad","no","acad",FALSE,"rowe_derrick","Eagle Scout, Past Commander SUV Camp 19, Adjunct at Alvernia, furry. PhD student at University of Glasgow in @UofGwarstudies.","acad"
12,"other","no","acad",FALSE,"LeonLSutton","A very concerned citizen. I use twitter to research, read & evaluate. I tweet to share my limited knowledge in case it can be of help to someone else! Thanks","other"
13,"acad","yes","acad",FALSE,"UF_IFAS_FRED","Exploring economic questions through research to provide informative analysis on agriculture, food and natural resource issues in Florida and beyond.","acad"
14,"acad","yes","acad",FALSE,"BryanRabon","Environmental Scientist, SC Native, Working to protect the Waters of SC for the health of the citizens and ecosystem Opinions are mine #rstats #waterquality","acad"
15,"other","no","acad",FALSE,"kirkwoodjones","Lookin for Truths.. and retweeting some things that need further research","other"
16,"acad","yes","acad",FALSE,"cnatsphysalia","Latina:flag: Puerto Rico: Marine Scientist:microscope:ABD Dr. Jellyfish:graduation cap: Animal and Plant Lover:paw prints::potted plant:RPDR Fan:woman dancing: medium skin tone: Advocate of diversity, inclusion and equity 🫶:medium skin tone:","acad"
17,"acad","no","acad",FALSE,"DrJudyStone","Author: Resilience: One Family’s Story of Hope https://t.co/HizPlFpv2t & Conducting Clinical Research https://t.co/ouKPTQlT5n ID doc, freelance
@drjudystone@mstdn.science","acad"
18,"acad","yes","acad",FALSE,"matrotz","everyday person. educator. environmental engineer. Professor, USF; Past President, AEESP; Board Member, Fragments of Hope Corp. Views are mine alone.","acad"
19,"acad","yes","acad",FALSE,"rfbond007","Water Quality Researcher and Food Safety , water sampler and monitoring","acad"
20,"acad","no","acad",FALSE,"stephaniekays","steph :mammoth: scientist:woman scientist: light skin tone::test tube: medicine :pill::syringe: mom :boy: light skin tone::dog face::beer mug::taco::baseball:️:vulcan salute::yarn: she/her :rainbow flag: #BlackLivesMatter #StopAsianHate","acad"
21,"acad","yes","acad",FALSE,"angie_keathly","Medical Scientist:dna::test tube::microbe::drop of blood::petri dish::microscope:Liberal:pirate flag:Smart-ass & Southern! :red heart::dog face: :fire:#DemVoice1 Partner:blue heart:","acad"
22,"acad","no","acad",FALSE,"DavidWSmith8","Retired from: Miami Dade College


Associate Professor Senior,  taught Digital Imaging and Motion Graphics Married to Sally Smith","acad"
23,"acad","yes","acad",FALSE,"MBSociety","Join us at the MarineBio Conservation Society to help create a sustainable and healthy ocean through science, conservation, education & research.","acad"
24,"acad","no","acad",FALSE,"sattigarahalli","I teach Plant Pathology and Nematology; ICAR - Professor Emeritus (till recently).","acad"
25,"other","no","acad",FALSE,"katherynoconne3","Despise Trump #resistance #Moscow Mitch Dog- kid- and music- lover ,amateur potter , retired professor No DMs","other"
26,"acad","yes","acad",FALSE,"GlennJaecks","Geology professor. Pro democracy, pro science, pro climate, pro diversity, pro choice. Napping wonk
End fossil fuels.","acad"
27,"other","no","acad",FALSE,"RealKPenceNotSL","US Army Veteran.:military helmet: Bach Sci deg in Math from private college.  My 1 required religion class was Bible history.  I enjoy Analysis, Research, & Sewing.:smiling face with sunglasses: NO DMs.","other"
28,"acad","no","acad",FALSE,"chuckbenbrook","Scientist. Author. Expert witness in Roundup-NHL litigation. Advocate for health-driven transformation in all things food and ag.","acad"
29,"other","no","acad",FALSE,"2planetdwellers","Stephanie RN, Ret. open heart/trauma-David PhD, Ret- professor, biology Photographers--Digital Images Nature photos--Baja to Alaska","other"
30,"acad","no","acad",FALSE,"brainswartz","Scientist ‣ Technologist ‣ Futurist • Stanford (MAHB) Berkeley (UCJEPS)","acad"
31,"acad","no","acad",FALSE,"EmmaLBriant","Propaganda Prof and Fellow @BardCollege; @cmdsatCEU; CambridgeCFRA; Researcher Oscar-shortlisted @thegreathackdoc; Agent: @Inkwellmgmt","acad"
32,"other","no","acad",FALSE,"IndiaJenkins1","Soon to be Screenwriter, Advocate for Alzheimer's research, sports and movie fan, and hell no I will not stay in my lane. #TruthMatters","other"
33,"other","yes","acad",FALSE,"ranjanpanda","Odisha's Water Man! Convenes @WaterInitiativ1 & CombatClimateChangeNetwork,India. Co-founder @Youth4WaterIn Researcher,Columns, Fotos,Blogs, Campaigner,Speaker!","other"
34,"acad","yes","acad",FALSE,"Brad_Rosenheim","Isotope scientist. Climate scientist. Citizen. Person of precision, but I know when to sacrifice precision for accuracy.  Mastodon-@climatejustice.rocks","acad"
35,"acad","no","acad",FALSE,"johnsont04","DEMOCRATIC SOCIALIST. MAT; LCSW-C for the marginalized . ..SPECIFIC LEGISLATION for AA  ... Adjunct; Policy;educator& learner everyday #nerdland","acad"
36,"acad","no","acad",FALSE,"IVanderjewels","Scientist/World traveler/avid basketball fan University of Kentucky alum here to speak the truth & correct your grammar. I take my confefe black.:hot beverage:️","acad"
37,"acad","no","acad",FALSE,"AMWriter","#Consulting historian active in #research, #writing, #editing, and #teaching. Also enjoy hiking, birding, and traveling. I have not seen the whole world — yet.","acad"
38,"other","no","acad",FALSE,"netcom_cosmic",":water wave: #ClimateChange #Healthcare4All #Choice

Cardiovascular imaging & informatics scientist (retired), paraprosdokian & eastern wisdom.","other"
39,"other","no","acad",FALSE,"thingsmymomsay1","Research everything. Truth seeker. RT & liked are articles I want to read. photos & videos mine. Trust God.","other"
40,"other","no","acad",FALSE,"ASanchezs65",":wheelchair symbol:Pain pt,Autoimmune,Fibro,Breast ca, CRPS. Good Drs, Anti-Violence, NO politics, MBC Research 
Yoga:woman in lotus position:Ocean:water wave:
Gma of :baby: medium skin tone::baby: medium skin tone::baby: medium skin tone::red heart::blue heart::red heart:
Bulldog mom:paw prints::blue heart:","other"
41,"other","no","acad",FALSE,"LLRX","E-journal on law, tech, KM, research for Librarians, Lawyers, Researchers, Academics, Advocacy, Journalists since 1996. See also https://t.co/Rp9gqTq0Bh","other"
42,"acad","no","acad",FALSE,"msjisjeanette","My life is a work in progress. A Christian still working to show you Christ. Indie Author & Clinical Lab Scientist saving lives 1 lab test @ a time. Psalm 19:14","acad"
43,"other","no","acad",FALSE,"MichaelPeeples1","IT professional, computer historian, armchair scientist, avid reader, foodie, closet pianist.","other"
44,"acad","yes","acad",FALSE,"Marahh2o","Marine biologist.Hybrid thinker. Scientist & Storyteller. Author SEX IN THE SEA. Director of Discovery @FutureofFish. Warning: Overactive imagination. She/her.","acad"
45,"other","no","acad",FALSE,"TheBoydCompany","Since 1975, the trusted provider of research and advice to leading companies, organizations, and governments. Corporate Site Selection and Economic Development","other"
46,"other","no","acad",FALSE,"SantanuB01","Former #NASA scientist, visiting academic IISc & MIT, former #Facebook Growth & #Airtel Data & future settler on Mars or Tatooine:slightly smiling face:","other"
47,"other","no","acad",FALSE,"NathanTarantla","Author, voice actor, narrator, paranormal and occult expert, supernatural researcher. https://t.co/R77XjRbsdR","other"
48,"other","no","acad",FALSE,"dombens","Research Outputs Visibility Manager, Brunel University London; Volunteer: NISO KBART, OCLC EZproxy, Wasps FC :honeybee::rugby football::blue heart::face with monocle: :spider:","other"
49,"other","no","acad",FALSE,"MyrriahO","Scientist turned graphic designer turned scientist turned watercolorist","other"
50,"acad","no","acad",FALSE,"Molineaux50","Adjunct History Instructor, former Episcopal priest; Army veteran and progressive!","acad"
51,"other","no","acad",FALSE,"1CaptD",":flag: Ukraine: Ideologist, Nuclear Safety Educator who helped get San Onofre nuclear reactor decommissioned, Communication Researcher, Tech Reformist","other"
52,"other","no","acad",FALSE,"PlatoCase","Once dated a Mobius stripper. Never saw her ass. Pilot both general aviation aircraft and research submersibles. USAF Vet. Electro-mechanical design","other"
53,"other","no","acad",FALSE,"Trutherbotanyo2","Don’t believe what I post - Research what I post","other"
54,"other","no","acad",FALSE,"CitizenWonk","anti-fascist Political Scientist #ONEV1 1 Z23 and fighting disinformation with #Demcast.founder of Wonk’s Notes","other"
55,"acad","no","acad",FALSE,"kwame_KAK","Laboratory scientist, Activists, |CHELSEA FC |, |I hate politicians|! I sell jerseys","acad"
56,"other","no","acad",FALSE,"bolt2k4","Tweet about hockey and research technology. That’s about it! Go Bolts :high voltage:️:high voltage:️:high voltage:️:high voltage:️ US Navy Veteran","other"
57,"acad","no","acad",FALSE,"Demwpb111","Mom, wife, scientist, birder, yogi, music lover, at home on the water, in the woods, in the swamp. Raising 2 little humans to be good citizens of the world.","acad"
58,"other","no","acad",FALSE,"niikotei","Hiplife Researcher/ Teacher/ Photographer / Graphic Designer / Student of #anticolonialism Podcast: #OurCulture - https://t.co/7M5hOaV9ZG","other"
59,"other","no","acad",FALSE,"PSuiteNetwork","#WorkingClass | Tweets are not Buy/Sell Advice | Do Your Own Research. Trust No Hedge Fund. Take Profits.","other"
60,"other","no","acad",FALSE,"BoyForida","Father to 3 sons & Grandfather to 2 girls. Retired psychotherapist & professor. Sun Sand Waves.#Resister. FSU & UCF:american football::basketball: Folk & Rock&Roll Music Peace Love & Soul","other"
61,"acad","no","acad",FALSE,"DorothyBeach","Abortion IS healthcare | #climatecrisis is irreversible |Dorothy4Climate@mastodon.world | she/her | scientist with interest in art, politics","acad"
62,"acad","yes","acad",FALSE,"Bengland87","Biology faculty @SLU_Official, teacher, BioEd researcher, cinephile and TVphile, avid reader, board and card game enthusiast, political junkie, he/him/his","acad"
63,"acad","no","acad",FALSE,"padresteve","Retired Navy Chaplain, combat vet. History professor, author of Mine Eyes Have Seen the Glory: Religion and the Politics of Race in the Civil War Era and Beyond","acad"
64,"acad","no","acad",FALSE,"thurgoodhamer","Historian and professor on weekdays. Ororo Munroe been my homie. These tweets are not my employer's tweets, obvi.","acad"
