"username","description","hand.label_simplified"
"CNN","It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNiGnE","media"
"NatGeo","Taking our understanding and awareness of the world further for more than 130 years","media"
"FoxNews","Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv","media"
"washingtonpost","Democracy Dies in Darkness","media"
"ABC","The only official ABC News Twitter account. Download our new mobile app: https://t.co/6WupJH6wUx","media"
"cnni","Breaking news from around the world, plus business, style, travel, sport and entertainment. We #gothere.","media"
"cnnarabic","World Wide News Leader, in Arabic","media"
"HuffPost","At HuffPost, we put people first. We believe that real life is news, and news is personal.","media"
"CBSNews","Your source for original reporting and trusted news.

📺 CBS | Streaming on the CBS News app | @ParamountPlus","media"
"NPR","News. Arts & Life. Music & more. This is NPR. 🕵️ Securely send us news tips: https://t.co/qfEoMDe1Hw","media"
"weatherchannel","The World's Leading Weather Provider. Home to The Weather Channel TV network, apps, and https://t.co/arXumily0e. Follow for forecasts, news, and alerts. #GetIntoTheOutThere","media"
"Independent","News, comment and features from The Independent. Get the app: https://t.co/3YtPa9YnU9…  Telegram: https://t.co/Xji8GXv7cc","media"
"jaketapper","Dad; husband; anchor of @TheLeadCNN & @CNNSOTU; Author of @TheOutpostbook, @TheHellfireClub, and The @Devil_May_Dance; long-suffering Philly sports fan","media"
"NWS","Official Twitter account for @NOAA's National Weather Service.
Details: https://t.co/vwQMNUBxFq","gov"
"chucktodd","Moderator of @meetthepress and @nbcnews political director; Covering politics since '92; And, yes, I tweet about sports too.","media"
"StephanieAbrams","@weatherchannel Meteorologist 6-9am @amhq & 12-1pm @pattrn","media"
"CNNweather","When weather is the news, you can count on CNN's team of experienced meteorologists to bring it to you first. #CNNWeather","media"
"ABCWorldNews","The official Twitter account for @ABC's World News Tonight with @DavidMuir.","media"
"TheRickWilson","Lincoln Project Founder and Resolute Square guy. Ad-maker. Writer. Instrument-rated pilot. NYT #1 best-seller. Host: The Enemies List.","other"
"JimCantore","Certified Broadcast Meteorologist and AMS Fellow. WX GEEK at TWC for 36+ years. Always awaiting mother natures latest temper tantrum. The journey is the reward.","media"
"NewsHour","PBS NewsHour is one of the most trusted news programs on TV and online.","media"
"accuweather","AccuWeather news & commentary. Follow @breakingweather for breaking weather alerts. Email support@accuweather.com for support.","media"
"ajc","Our journalists can keep you informed with real, fact-based news because of subscribers. Learn more: https://t.co/VnIn1RLW28 

For News tips and FAQs: https://t.co/syAWi1x4IM","media"
"breakingweather","Breaking weather alerts and timely weather news updates from @AccuWeather forecasters. Email support@accuweather.com for support.","media"
"voxdotcom","Understand the news. Support Vox with a contribution: https://t.co/qfyfYWde1E","media"
"nationalpost","News, analysis and commentary by the National Post.","media"
"JenCarfagno","Meteorologist/Host - America’s Morning Headquarters - The Weather Channel. sunrise, sunset, & dew point obsession. Big fan of country music & the beach.","media"
"DickieV","ESPN ANALYST Naismith HOF 2008, National Sportscaster HOF, Sports Emmy Lifetime Achievement Award Washington Speakers Bureau 703-684-0555, Board of V Foundation","media"
"6abc","Philadelphia area news, traffic, weather, politics and sports from WPVI, including breaking news & AccuWeather forecast.","media"
"axios","Smart Brevity worthy of people's time, attention and trust. Subscribe to our newsletters: https://t.co/h9z0b25Uo1","media"
"FOX29philly","We Go There. Get the latest Philadelphia news, sports and weather. App: https://t.co/sQKhnt3jE1","media"
"MattSydal","IG: @mattsydal - Pro Wrestling / 🌵 / 👁👁👁 / @AEW","other"
"MiamiHerald","Since 1903. Winner of 23 Pulitzer Prizes.
Instagram: https://t.co/OrZ7JsEDaH 
Facebook: https://t.co/QXysUcrf45
Subscribe: https://t.co/st4eEprUbi","media"
"CBSMornings","Impactful journalism + exquisite storytelling. Watch @CBSMornings weekdays from 7-9 a.m. with @GayleKing, @TonyDokoupil and @NateBurleson on @CBS.","media"
"oceana","Dedicated to protecting & restoring the world’s oceans on a global scale. #StandForOceans For press inquires: @PressOceana","other"
"spann","AMS Certified Broadcast Meteorologist. WeatherBrains host. Instagram: spannwx","media"
"wsvn","South Florida's #1 News Station! Your 24/7 source for breaking news, @7Weather & @7SportsXtra powered by our digital team. Breaking news? newsdesk@wsvn.com","media"
"HuffPostGreen","Latest news on energy, environment, animals and more.","media"
"SenRickScott","Florida's U.S. Senator. Fighting for Florida families and to Make Washington Work. #LetsGetToWork https://t.co/O6Ra1UNW96","gov"
"TheTorontoSun","Toronto's best local news, sports, entertainment, comment, pictures and video.","media"
"CBSEveningNews","The official account of The CBS Evening News with @NorahODonnell, the longest-running evening newscast.

Text Norah: (202) 217-1107","media"
"BN9","Breaking news first in Tampa Bay. Continuous updates and in-depth coverage only @BN9, @BN9weather and @BN9Traffic can provide  |  News. Weather. Now.","media"
"SierraClub","Explore, enjoy, and protect the planet!","other"
"FOX13News","Bringing you the important stuff, like breaking news & weather alerts. But also plenty of fun stories, like sports updates and all those #WeLiveHere tales.","media"
"GeraldoRivera","loving husband and dad, loyal friend, fierce enemy, patriot, kick ass reporter, proud JewRican","media"
"AntonioParis","Astrophysicist, Explorer, and Disabled Veteran from Puerto Rico.","acad"
"aldotcom","All things Alabama. Managed by the social media team at Alabama Media Group.","media"
"SenBillNelson","14th NASA Administrator","gov"
"fox5dc","Stay ahead with news from across DC, Maryland, Virginia (and beyond). Got a news tip? Email fox5tips@foxtv.com or call 202-895-3000.","media"
"YahooSG","YahooSG's official Twitter account. Send us a tip-off at reachus@yahooinc.com | FB: https://t.co/JOm6tUwHNw | Telegram: https://t.co/arYI3dVQea","media"
"orlandosentinel","Central Florida's most comprehensive news source. Subscriber concerns: 407-420-5353. News tips: https://t.co/KqyuPd6tZd.","media"
"nbc6","South Florida's trusted source for Breaking News, Weather and Traffic. Watch us LIVE, 24/7 the #NBC6 app.","media"
"LatestAnonNews","Collaborative reporting Anonymous intel, world news, occupy movements, and global operations to the public.","other"
"TB_Times","Florida's largest newspaper with 14 Pulitzer Prizes. Have story ideas or tips? DM us. Support our local journalism: https://t.co/9cTNKzUWzN","media"
"SmithsonianMag","Official Twitter feed for Smithsonian magazine. @ replies may be reprinted in the magazine. Legal: https://t.co/vp9r5SaG7j","media"
"valdemings","Wife. Mom. Nana. Lifelong Floridian. Former Orlando Police Chief and Congresswoman.","other"
"B52Malmet","Artist, Activist, TriAthlete, Producer #GetInGoodTrouble🇺🇸","other"
"riotta","@princeton @cfr_org @repubblica @consiusa @HuffPostItalia @luissdatalab @catchybigdata https://t.co/Or4v4qjDj3 FB https://t.co/Or4v4qjDj3 IG gianniriotta @edmo_EUI @Idmo_it @zeta_luiss","other"
"NikkiFried","Florida’s last statewide elected Democrat. Past Commissioner of Agriculture. 💙Florida. #SomethingNew #WontBackDown","gov"
"SunSentinel","The official Sun Sentinel Twitter account. Covering Broward, Palm Beach and Miami-Dade. Pulitzer Prize Gold Medal For Public Service 2013, 2019","media"
"VancouverSun","Western Canada's largest news team.  Send tips to VanTips@postmedia.com. Follow us at https://t.co/wfK8J4aDF3 and https://t.co/4UZZKFxQPO.","media"
"MPRnews","Telling stories of Minnesotans and keeping you informed 📝 | On the airwaves and online 📻 | https://t.co/4PHDYVYpz5 | 📸 https://t.co/p9wmKsYk4e","media"
"votevets","Since 2006, over 1.5M Veterans, Military Families, & supporters have been electing Veterans to office and fighting for progressive values.","other"
"8NewsNow","LIVE. LOCAL. NOW. https://t.co/iLeWc8jsdV @CBS affiliate in Las Vegas. Nevada's first television station. #8NN","media"
"TheLeadCNN","The Lead with @jaketapper airs at 4pm ET on CNN.","media"
"MyNews13","#BreakingNews in #Orlando and all of Central Florida. Also at @MyNews13Weather and @MyNews13Traffic — Send breaking news tips: N13-Desk@charter.com","media"
"DWUhlfelderLaw","Husband, Dad & FL Attorney. @Stanford & @UFLaw grad. Founder @removeron, 2022 Florida AG cand. & chief DeSantis tormentor. https://t.co/cZfdYTgyb6","other"
"nbcsandiego","Breaking news, exclusive stories, weather and investigations in San Diego.","media"
