hand.label,hand.label_simplified,expert.ind,username,description
media,media,no,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNiGnE"
media,media,no,NatGeo,Taking our understanding and awareness of the world further for more than 130 years
media,media,no,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
media,media,no,washingtonpost,Democracy Dies in Darkness
media,media,no,ABC,The only official ABC News Twitter account. Download our new mobile app: https://t.co/6WupJH6wUx
media,media,no,cnni,"Breaking news from around the world, plus business, style, travel, sport and entertainment. We #gothere."
media,media,no,cnnarabic,"World Wide News Leader, in Arabic"
media,media,no,HuffPost,"At HuffPost, we put people first. We believe that real life is news, and news is personal."
media,media,no,CBSNews,"Your source for original reporting and trusted news.

📺 CBS | Streaming on the CBS News app | @ParamountPlus"
media,media,no,NPR,News. Arts & Life. Music & more. This is NPR. 🕵️ Securely send us news tips: https://t.co/qfEoMDe1Hw
media,media,yes,weatherchannel,"The World's Leading Weather Provider. Home to The Weather Channel TV network, apps, and https://t.co/arXumily0e. Follow for forecasts, news, and alerts. #GetIntoTheOutThere"
media,media,no,Independent,"News, comment and features from The Independent. Get the app: https://t.co/3YtPa9YnU9…  Telegram: https://t.co/Xji8GXv7cc"
media,media,no,jaketapper,"Dad; husband; anchor of @TheLeadCNN & @CNNSOTU; Author of @TheOutpostbook, @TheHellfireClub, and The @Devil_May_Dance; long-suffering Philly sports fan"
gov,gov,yes,NWS,"Official Twitter account for @NOAA's National Weather Service.
Details: https://t.co/vwQMNUBxFq"
media,media,no,chucktodd,"Moderator of @meetthepress and @nbcnews political director; Covering politics since '92; And, yes, I tweet about sports too."
media,media,yes,StephanieAbrams,@weatherchannel Meteorologist 6-9am @amhq & 12-1pm @pattrn
media,media,yes,CNNweather,"When weather is the news, you can count on CNN's team of experienced meteorologists to bring it to you first. #CNNWeather"
media,media,no,ABCWorldNews,The official Twitter account for @ABC's World News Tonight with @DavidMuir.
other,other,no,TheRickWilson,Lincoln Project Founder and Resolute Square guy. Ad-maker. Writer. Instrument-rated pilot. NYT #1 best-seller. Host: The Enemies List.
media,media,yes,JimCantore,Certified Broadcast Meteorologist and AMS Fellow. WX GEEK at TWC for 36+ years. Always awaiting mother natures latest temper tantrum. The journey is the reward.
media,media,no,NewsHour,PBS NewsHour is one of the most trusted news programs on TV and online.
media,media,yes,accuweather,AccuWeather news & commentary. Follow @breakingweather for breaking weather alerts. Email support@accuweather.com for support.
media,media,no,ajc,"Our journalists can keep you informed with real, fact-based news because of subscribers. Learn more: https://t.co/VnIn1RLW28 

For News tips and FAQs: https://t.co/syAWi1x4IM"
media,media,yes,breakingweather,Breaking weather alerts and timely weather news updates from @AccuWeather forecasters. Email support@accuweather.com for support.
media,media,no,voxdotcom,Understand the news. Support Vox with a contribution: https://t.co/qfyfYWde1E
media,media,no,nationalpost,"News, analysis and commentary by the National Post."
media,media,yes,JenCarfagno,"Meteorologist/Host - America’s Morning Headquarters - The Weather Channel. sunrise, sunset, & dew point obsession. Big fan of country music & the beach."
media,media,no,DickieV,"ESPN ANALYST Naismith HOF 2008, National Sportscaster HOF, Sports Emmy Lifetime Achievement Award Washington Speakers Bureau 703-684-0555, Board of V Foundation"
media,media,no,6abc,"Philadelphia area news, traffic, weather, politics and sports from WPVI, including breaking news & AccuWeather forecast."
media,media,no,axios,"Smart Brevity worthy of people's time, attention and trust. Subscribe to our newsletters: https://t.co/h9z0b25Uo1"
media,media,no,FOX29philly,"We Go There. Get the latest Philadelphia news, sports and weather. App: https://t.co/sQKhnt3jE1"
other,other,no,MattSydal,IG: @mattsydal - Pro Wrestling / 🌵 / 👁👁👁 / @AEW
media,media,no,MiamiHerald,"Since 1903. Winner of 23 Pulitzer Prizes.
Instagram: https://t.co/OrZ7JsEDaH 
Facebook: https://t.co/QXysUcrf45
Subscribe: https://t.co/st4eEprUbi"
media,media,no,CBSMornings,"Impactful journalism + exquisite storytelling. Watch @CBSMornings weekdays from 7-9 a.m. with @GayleKing, @TonyDokoupil and @NateBurleson on @CBS."
other,other,yes,oceana,Dedicated to protecting & restoring the world’s oceans on a global scale. #StandForOceans For press inquires: @PressOceana
media,media,yes,spann,AMS Certified Broadcast Meteorologist. WeatherBrains host. Instagram: spannwx
media,media,no,wsvn,"South Florida's #1 News Station! Your 24/7 source for breaking news, @7Weather & @7SportsXtra powered by our digital team. Breaking news? newsdesk@wsvn.com"
media,media,yes,HuffPostGreen,"Latest news on energy, environment, animals and more."
gov,gov,no,SenRickScott,Florida's U.S. Senator. Fighting for Florida families and to Make Washington Work. #LetsGetToWork https://t.co/O6Ra1UNW96
media,media,no,TheTorontoSun,"Toronto's best local news, sports, entertainment, comment, pictures and video."
media,media,no,CBSEveningNews,"The official account of The CBS Evening News with @NorahODonnell, the longest-running evening newscast.

Text Norah: (202) 217-1107"
media,media,no,BN9,"Breaking news first in Tampa Bay. Continuous updates and in-depth coverage only @BN9, @BN9weather and @BN9Traffic can provide  |  News. Weather. Now."
other,other,no,SierraClub,"Explore, enjoy, and protect the planet!"
media,media,no,FOX13News,"Bringing you the important stuff, like breaking news & weather alerts. But also plenty of fun stories, like sports updates and all those #WeLiveHere tales."
media,media,no,GeraldoRivera,"loving husband and dad, loyal friend, fierce enemy, patriot, kick ass reporter, proud JewRican"
acad,acad,no,AntonioParis,"Astrophysicist, Explorer, and Disabled Veteran from Puerto Rico."
media,media,no,aldotcom,All things Alabama. Managed by the social media team at Alabama Media Group.
gov,gov,no,SenBillNelson,14th NASA Administrator
media,media,no,fox5dc,"Stay ahead with news from across DC, Maryland, Virginia (and beyond). Got a news tip? Email fox5tips@foxtv.com or call 202-895-3000."
media,media,no,YahooSG,YahooSG's official Twitter account. Send us a tip-off at reachus@yahooinc.com | FB: https://t.co/JOm6tUwHNw | Telegram: https://t.co/arYI3dVQea
media,media,no,orlandosentinel,Central Florida's most comprehensive news source. Subscriber concerns: 407-420-5353. News tips: https://t.co/KqyuPd6tZd.
media,media,no,nbc6,"South Florida's trusted source for Breaking News, Weather and Traffic. Watch us LIVE, 24/7 the #NBC6 app."
other,other,no,LatestAnonNews,"Collaborative reporting Anonymous intel, world news, occupy movements, and global operations to the public."
media,media,no,TB_Times,Florida's largest newspaper with 14 Pulitzer Prizes. Have story ideas or tips? DM us. Support our local journalism: https://t.co/9cTNKzUWzN
media,media,no,SmithsonianMag,Official Twitter feed for Smithsonian magazine. @ replies may be reprinted in the magazine. Legal: https://t.co/vp9r5SaG7j
other,other,no,valdemings,Wife. Mom. Nana. Lifelong Floridian. Former Orlando Police Chief and Congresswoman.
other,other,no,B52Malmet,"Artist, Activist, TriAthlete, Producer #GetInGoodTrouble🇺🇸"
other,other,no,riotta,@princeton @cfr_org @repubblica @consiusa @HuffPostItalia @luissdatalab @catchybigdata https://t.co/Or4v4qjDj3 FB https://t.co/Or4v4qjDj3 IG gianniriotta @edmo_EUI @Idmo_it @zeta_luiss
gov,gov,no,NikkiFried,Florida’s last statewide elected Democrat. Past Commissioner of Agriculture. 💙Florida. #SomethingNew #WontBackDown
media,media,no,SunSentinel,"The official Sun Sentinel Twitter account. Covering Broward, Palm Beach and Miami-Dade. Pulitzer Prize Gold Medal For Public Service 2013, 2019"
media,media,no,VancouverSun,Western Canada's largest news team.  Send tips to VanTips@postmedia.com. Follow us at https://t.co/wfK8J4aDF3 and https://t.co/4UZZKFxQPO.
media,media,no,MPRnews,Telling stories of Minnesotans and keeping you informed 📝 | On the airwaves and online 📻 | https://t.co/4PHDYVYpz5 | 📸 https://t.co/p9wmKsYk4e
other,other,no,votevets,"Since 2006, over 1.5M Veterans, Military Families, & supporters have been electing Veterans to office and fighting for progressive values."
media,media,no,8NewsNow,LIVE. LOCAL. NOW. https://t.co/iLeWc8jsdV @CBS affiliate in Las Vegas. Nevada's first television station. #8NN
media,media,no,TheLeadCNN,The Lead with @jaketapper airs at 4pm ET on CNN.
media,media,no,MyNews13,#BreakingNews in #Orlando and all of Central Florida. Also at @MyNews13Weather and @MyNews13Traffic — Send breaking news tips: N13-Desk@charter.com
other,other,no,DWUhlfelderLaw,"Husband, Dad & FL Attorney. @Stanford & @UFLaw grad. Founder @removeron, 2022 Florida AG cand. & chief DeSantis tormentor. https://t.co/cZfdYTgyb6"
media,media,no,nbcsandiego,"Breaking news, exclusive stories, weather and investigations in San Diego."
media,media,no,nprscience,"Science news, commentary and conversation from NPR. Plus, a rad new podcast called #NPRShortWave! Subscribe now: https://t.co/lLI0fXx9Zk"
media,media,no,DavidJollyFL,Former Member of Congress. Bull Mooser. MSNBC.
media,media,yes,WeatherNation,"All weather, all the time. 
Weather. It's What We Do. #WeatherNation

For video/picture use, see our terms: https://t.co/nMezloqBmZ"
media,media,no,fox35orlando,"Official FOX 35 Orlando/WOFL account for breaking news, weather, politics, sports and more."
media,media,no,OttawaCitizen,The biggest daily in the nation's capital
other,other,no,CharlieCrist,Former Governor and proud @FloridaState alum. Running for Governor to build a Florida for all. Text CHARLIE to 54238 📱
media,media,no,WESH,Central Florida's Local. Live. Late Breaking news source.
media,media,no,YahooPH,"Official Twitter account of Yahoo Philippines for news updates, live tweets, and Yahoo product and event announcements"
media,media,no,NickKnudsenUS,Executive Director @DemCastUSA 🇺🇸 Writing: @HuffPost @PatNotPart. Democracy is neat. We have a lot of work to do. #DemCast
media,media,no,jkbjournalist,"Investigative journalist. I write about powerful people and corrupt institutions. Author of """"Perversion of Justice: The Jeffrey Epstein Story."""""
media,media,yes,EcoWatch,Environmental News for a Healthier Planet and Life
media,media,no,CheriJacobus,"https://t.co/aCszRRdbKu
https://t.co/1yXcrc69nS
ex-GOP, Exec Prod """"America Reads The Mueller Report"""" https://t.co/xJccxG3yJb 
https://t.co/e3G2YT54Sj…"
media,media,no,mySA,"San Antonio’s source for breaking news, culture y más 🗞️ • Mastodon: https://t.co/r3J2c9j97r"
media,media,no,WFTV,"Central Florida's @ABC news affiliate. Coverage you can count on for the latest news, weather, traffic from Central Florida's News Leader."
other,other,no,MSN,The official Twitter page of https://t.co/HtoIvgfeMY in the US.
gov,gov,no,CityofTampa,Official account for the City of Tampa. ☀️
media,media,no,wjxt4,"News4JAX is the most trusted source for local news in Northeast Florida and Southeast Georgia. Watch WJXT on-air, online and on News4JAX+"
media,media,no,MiamiNewTimes,"Miami's independent source for news, criticism, culture, and more since 1987."
media,media,no,svdate,White House correspondent at HuffPost. Author of THE USEFUL IDIOT -- Now fully updated post-January 6. https://t.co/88HnBbA8a7
media,media,no,WPLGLocal10,"South Florida News, Weather, Entertainment, Sports from WPLG Local 10 Follow us on Instagram: https://t.co/IIfr4MFhzm"
other,other,no,TrueFactsStated,@ClaudeTaylor@mstdn.social @ClaudeTaylor @ Post Mad Dog Pac. Clinton WH https://t.co/eRbMAIbgZQ
media,media,yes,ErinBrockovich,Consumer advocate & Environmental Activist. Founder of The Brockovich Report Newsletter https://t.co/mKaymVynXP #TruthUnfiltered
media,media,no,ritholtz,"Welcome to the Dopamine factory!

Chair/CIO of RWM https://t.co/n78eQEY6QZ       
Masters-in-Business podcast/radio host
Director of Twitter Cognitive Dissonance"
media,media,no,fox5sandiego,#SOSanDiego
gov-tourbiz,gov,no,TravelGoC,Travel advice from the Government of Canada for Canadians living and travelling abroad ǀ Français : @VoyageGdC
media,media,no,WFLA,WFLA News Channel 8 is a news leader in Tampa Bay.
gov-acad,gov,yes,noaaocean,@NOAA's National Ocean Service is the nation's premier federal science agency for the ocean and our coasts.
other,other,no,alhanda,Account for the On The Road With Al & Ivy blog and BU Media. Also tweets for The Delta Snake Review and Handa-McGraw International music.
media,media,no,grantstern,Author @mtc2020series of books. Executive Editor @OccupyDemocrats. Still @morningsidemtg @OnlyinMiamiShow @TheSternFacts @masksnoworg. Miami native. #HeatLifer
media,media,no,theprovince,"Online companion to Vancouver's daily tabloid, The Province. The web team manages our Twitter account."
other,other,no,williamlegate,"CEO & co-founder @PillowFightCo • thiel fellow • featured in CNN, Fox News, NYTimes, WaPo, & more… https://t.co/0rgKERJMIk • personal account!"
media,media,no,pbpost,"The Palm Beach Post has the most reporters and resources in the Palm Beaches, delivering the breaking news you need to stay informed. Real News Starts Here."
