"username","hand.label_simplified","description","max.class","single.label"
"CNN","media","It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNiGnE","media","media"
"NatGeo","media","Taking our understanding and awareness of the world further for more than 130 years","other","other"
"FoxNews","media","Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv","media","media"
"washingtonpost","media","Democracy Dies in Darkness","other","other"
"ABC","media","The only official ABC News Twitter account. Download our new mobile app: https://t.co/6WupJH6wUx","media","media"
"cnni","media","Breaking news from around the world, plus business, style, travel, sport and entertainment. We #gothere.","media","media"
"cnnarabic","media","World Wide News Leader, in Arabic","media","media"
"HuffPost","media","At HuffPost, we put people first. We believe that real life is news, and news is personal.","media","media"
"CBSNews","media","Your source for original reporting and trusted news.

📺 CBS | Streaming on the CBS News app | @ParamountPlus","media","media"
"NPR","media","News. Arts & Life. Music & more. This is NPR. 🕵️ Securely send us news tips: https://t.co/qfEoMDe1Hw","media","media"
"weatherchannel","media","The World's Leading Weather Provider. Home to The Weather Channel TV network, apps, and https://t.co/arXumily0e. Follow for forecasts, news, and alerts. #GetIntoTheOutThere","media","media"
"Independent","media","News, comment and features from The Independent. Get the app: https://t.co/3YtPa9YnU9…  Telegram: https://t.co/Xji8GXv7cc","media","media"
"jaketapper","media","Dad; husband; anchor of @TheLeadCNN & @CNNSOTU; Author of @TheOutpostbook, @TheHellfireClub, and The @Devil_May_Dance; long-suffering Philly sports fan","media","media"
"NWS","gov","Official Twitter account for @NOAA's National Weather Service.
Details: https://t.co/vwQMNUBxFq","other","other"
"chucktodd","media","Moderator of @meetthepress and @nbcnews political director; Covering politics since '92; And, yes, I tweet about sports too.","other","other"
"StephanieAbrams","media","@weatherchannel Meteorologist 6-9am @amhq & 12-1pm @pattrn","media","media"
"CNNweather","media","When weather is the news, you can count on CNN's team of experienced meteorologists to bring it to you first. #CNNWeather","media","media"
"ABCWorldNews","media","The official Twitter account for @ABC's World News Tonight with @DavidMuir.","media","media"
"TheRickWilson","other","Lincoln Project Founder and Resolute Square guy. Ad-maker. Writer. Instrument-rated pilot. NYT #1 best-seller. Host: The Enemies List.","media","media"
"JimCantore","media","Certified Broadcast Meteorologist and AMS Fellow. WX GEEK at TWC for 36+ years. Always awaiting mother natures latest temper tantrum. The journey is the reward.","media","media"
"NewsHour","media","PBS NewsHour is one of the most trusted news programs on TV and online.","media","media"
"accuweather","media","AccuWeather news & commentary. Follow @breakingweather for breaking weather alerts. Email support@accuweather.com for support.","media","media"
"ajc","media","Our journalists can keep you informed with real, fact-based news because of subscribers. Learn more: https://t.co/VnIn1RLW28 

For News tips and FAQs: https://t.co/syAWi1x4IM","media","media"
"breakingweather","media","Breaking weather alerts and timely weather news updates from @AccuWeather forecasters. Email support@accuweather.com for support.","media","media"
"voxdotcom","media","Understand the news. Support Vox with a contribution: https://t.co/qfyfYWde1E","media","media"
"nationalpost","media","News, analysis and commentary by the National Post.","media","media"
"JenCarfagno","media","Meteorologist/Host - America’s Morning Headquarters - The Weather Channel. sunrise, sunset, & dew point obsession. Big fan of country music & the beach.","media","media"
"DickieV","media","ESPN ANALYST Naismith HOF 2008, National Sportscaster HOF, Sports Emmy Lifetime Achievement Award Washington Speakers Bureau 703-684-0555, Board of V Foundation","other","other"
"6abc","media","Philadelphia area news, traffic, weather, politics and sports from WPVI, including breaking news & AccuWeather forecast.","media","media"
"axios","media","Smart Brevity worthy of people's time, attention and trust. Subscribe to our newsletters: https://t.co/h9z0b25Uo1","other","other"
"FOX29philly","media","We Go There. Get the latest Philadelphia news, sports and weather. App: https://t.co/sQKhnt3jE1","media","media"
"MattSydal","other","IG: @mattsydal - Pro Wrestling / 🌵 / 👁👁👁 / @AEW","other","other"
"MiamiHerald","media","Since 1903. Winner of 23 Pulitzer Prizes.
Instagram: https://t.co/OrZ7JsEDaH 
Facebook: https://t.co/QXysUcrf45
Subscribe: https://t.co/st4eEprUbi","other","other"
"CBSMornings","media","Impactful journalism + exquisite storytelling. Watch @CBSMornings weekdays from 7-9 a.m. with @GayleKing, @TonyDokoupil and @NateBurleson on @CBS.","media","media"
"oceana","other","Dedicated to protecting & restoring the world’s oceans on a global scale. #StandForOceans For press inquires: @PressOceana","media","media"
"spann","media","AMS Certified Broadcast Meteorologist. WeatherBrains host. Instagram: spannwx","media","media"
"wsvn","media","South Florida's #1 News Station! Your 24/7 source for breaking news, @7Weather & @7SportsXtra powered by our digital team. Breaking news? newsdesk@wsvn.com","media","media"
"HuffPostGreen","media","Latest news on energy, environment, animals and more.","media","media"
"SenRickScott","gov","Florida's U.S. Senator. Fighting for Florida families and to Make Washington Work. #LetsGetToWork https://t.co/O6Ra1UNW96","gov","gov"
"TheTorontoSun","media","Toronto's best local news, sports, entertainment, comment, pictures and video.","media","media"
"CBSEveningNews","media","The official account of The CBS Evening News with @NorahODonnell, the longest-running evening newscast.

Text Norah: (202) 217-1107","media","media"
"BN9","media","Breaking news first in Tampa Bay. Continuous updates and in-depth coverage only @BN9, @BN9weather and @BN9Traffic can provide  |  News. Weather. Now.","media","media"
"SierraClub","other","Explore, enjoy, and protect the planet!","other","other"
"FOX13News","media","Bringing you the important stuff, like breaking news & weather alerts. But also plenty of fun stories, like sports updates and all those #WeLiveHere tales.","media","media"
"GeraldoRivera","media","loving husband and dad, loyal friend, fierce enemy, patriot, kick ass reporter, proud JewRican","media","media"
"AntonioParis","acad","Astrophysicist, Explorer, and Disabled Veteran from Puerto Rico.","other","other"
"aldotcom","media","All things Alabama. Managed by the social media team at Alabama Media Group.","other","other"
"SenBillNelson","gov","14th NASA Administrator","other","other"
"fox5dc","media","Stay ahead with news from across DC, Maryland, Virginia (and beyond). Got a news tip? Email fox5tips@foxtv.com or call 202-895-3000.","media","media"
"YahooSG","media","YahooSG's official Twitter account. Send us a tip-off at reachus@yahooinc.com | FB: https://t.co/JOm6tUwHNw | Telegram: https://t.co/arYI3dVQea","other","other"
"orlandosentinel","media","Central Florida's most comprehensive news source. Subscriber concerns: 407-420-5353. News tips: https://t.co/KqyuPd6tZd.","media","media"
"nbc6","media","South Florida's trusted source for Breaking News, Weather and Traffic. Watch us LIVE, 24/7 the #NBC6 app.","media","media"
"LatestAnonNews","other","Collaborative reporting Anonymous intel, world news, occupy movements, and global operations to the public.","media","media"
"TB_Times","media","Florida's largest newspaper with 14 Pulitzer Prizes. Have story ideas or tips? DM us. Support our local journalism: https://t.co/9cTNKzUWzN","media","media"
"SmithsonianMag","media","Official Twitter feed for Smithsonian magazine. @ replies may be reprinted in the magazine. Legal: https://t.co/vp9r5SaG7j","media","media"
"valdemings","other","Wife. Mom. Nana. Lifelong Floridian. Former Orlando Police Chief and Congresswoman.","other","other"
"B52Malmet","other","Artist, Activist, TriAthlete, Producer #GetInGoodTrouble🇺🇸","media","media"
"riotta","other","@princeton @cfr_org @repubblica @consiusa @HuffPostItalia @luissdatalab @catchybigdata https://t.co/Or4v4qjDj3 FB https://t.co/Or4v4qjDj3 IG gianniriotta @edmo_EUI @Idmo_it @zeta_luiss","other","other"
"NikkiFried","gov","Florida’s last statewide elected Democrat. Past Commissioner of Agriculture. 💙Florida. #SomethingNew #WontBackDown","gov","gov"
