"","text","conversation_id","author_id","possibly_sensitive","in_reply_to_user_id","lang","reply_settings","id","created_at.x","username","verified","created_at.y","description","name","protected","profile_image_url","pinned_tweet_id","location","url","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","geo_place_id","text_with_display_links"
"1","same thing happened to my NEW mustang conv GT, with boat ramp &amp; jet skis, that happened in PASCO on @OfficialLivePD but we were Putting jetskis IN, not taking them out! Algae is a real AUTO sinker here in florida. ","1005631057855688705","2890137099",FALSE,NA,"en","everyone","1005631057855688705",2018-06-10 02:01:42,"lisahloveslife",FALSE,"2014-11-24T03:11:18.000Z","Ceo founder Hooves of Hope a non profit 4 children with SIT H PD. Communication & relations of living positive life daily!","Lisah",FALSE,"https://pbs.twimg.com/profile_images/965777124501217285/Wc9Ed7qp_normal.jpg","816076203174096896","Venice Florida",NA,0,0,0,0,0,30,88,3505,0,NA,"same thing happened to my NEW mustang conv GT, with boat ramp &amp; jet skis, that happened in PASCO on @OfficialLivePD but we were Putting jetskis IN, not taking them out! Algae is a real AUTO sinker here in florida"
"2","Wake up and stay up to date with this morning's top news stories including a good deed from #Pasco county firefighters and EMT's.

#DoveDailyUpdate #Sod #Gooddeeds

 . http   thedovedailyreport blog wduv com 2018 07 10 toxic algae threatens waterways. https   twitter com 1055WDUV status 1016590841085906945 photo 1","1016590841085906945","608235166",FALSE,NA,"en","everyone","1016590841085906945",2018-07-10 07:51:58,"1055TheDove",FALSE,"2012-06-14T15:23:54.000Z","105.5 WDUV The Dove plays all of Tampa Bay's Lite Favorites! Stream anytime online!","105.5 The Dove",FALSE,"https://pbs.twimg.com/profile_images/1608095098629128192/gFQPV-Kp_normal.jpg",NA,"Tampa Bay, FL","https://t.co/i1RO8qiOD7",0,0,0,0,0,2769,4493,26989,64,"5d231ed8656fcf5a","Wake up and stay up to date with this morning's top news stories including a good deed from #Pasco county firefighters and EMT's.

#DoveDailyUpdate #Sod #Gooddeeds

https://t.co/Hlx2WaVNib https://t.co/xVNTBTTBvS"
"3","@boilerblondie Hi Brittany. Pasco County Customer Service can help: 727-847-2411. If you are asking about the red tide issue, we do not have any reports of it near Pasco but we are continuing to monitor the issue.. ","1030183025643057152","47679218",FALSE,"252723880","en","everyone","1030192091220127746",2018-08-16 20:38:29,"Pasco_FL_OEM",FALSE,"2009-06-16T17:12:49.000Z","Official Twitter account for Pasco County Emergency Management - a team of professionals dedicated to sustaining disaster resiliency. Dial 911 for emergencies.","Pasco County Emergency Management",FALSE,"https://pbs.twimg.com/profile_images/1211688295081623552/IKmUhOWo_normal.jpg",NA,"New Port Richey, FL","https://t.co/4Q71rZlGRM",0,1,1,0,0,6483,404,1815,231,NA,"@boilerblondie Hi Brittany. Pasco County Customer Service can help: 727-847-2411. If you are asking about the red tide issue, we do not have any reports of it near Pasco but we are continuing to monitor the issue."
"4","Shrimpers in Pasco County struggling as red tide devastates fishing industry . https   www wfla com news pasco county shrimpers in pasco county struggling as red tide devastates fishing industry 1386205140","1032022080781467648","23820899",FALSE,NA,"en","everyone","1032022080781467648",2018-08-21 21:50:12,"WFLA",TRUE,"2009-03-11T20:14:10.000Z","WFLA News Channel 8 is a news leader in Tampa Bay.","WFLA NEWS",FALSE,"https://pbs.twimg.com/profile_images/1539812844660719616/2FlxM4l8_normal.jpg",NA,"Tampa, FL","https://t.co/qPxwyiszHG",0,1,0,1,0,207040,2287,234665,1723,NA,"Shrimpers in Pasco County struggling as red tide devastates fishing industry https://t.co/puqKJdn0sa"
"5","Pasco County shrimpers worry about red tide that's already cutting their incomes.  @WFLA . https   www wfla com news pasco county pasco shrimpers incomes cut by red tide 1386641118","1032065488883539968","621476215",FALSE,NA,"en","everyone","1032065488883539968",2018-08-22 00:42:42,"TeslaBernard",FALSE,"2012-06-29T01:47:28.000Z","Retired. Former Television Reporter, Meteorologist, Drone Pilot for News Channel 8 in Tampa, FL. Former Tesla Advisor. Plays Pickleball and Tennis.","Peter Bernard🇺🇦",FALSE,"https://pbs.twimg.com/profile_images/1601200430729641985/3B9zbVxH_normal.jpg",NA,"Clearwater, Florida",NA,0,0,0,0,0,3395,395,12711,122,NA,"Pasco County shrimpers worry about red tide that's already cutting their incomes.  @WFLA https://t.co/MykTzynsrh"
"6","Pasco shrimpers' incomes cut by red tide . https   www wfla com news pasco county pasco shrimpers incomes cut by red tide 1386641118","1032296767637864448","621476215",FALSE,NA,"en","everyone","1032296767637864448",2018-08-22 16:01:43,"TeslaBernard",FALSE,"2012-06-29T01:47:28.000Z","Retired. Former Television Reporter, Meteorologist, Drone Pilot for News Channel 8 in Tampa, FL. Former Tesla Advisor. Plays Pickleball and Tennis.","Peter Bernard🇺🇦",FALSE,"https://pbs.twimg.com/profile_images/1601200430729641985/3B9zbVxH_normal.jpg",NA,"Clearwater, Florida",NA,0,0,0,0,0,3395,395,12711,122,NA,"Pasco shrimpers' incomes cut by red tide https://t.co/MykTzynsrh"
"7","Pasco shrimpers' incomes cut by red tide. Bait shops not buying.  . https   www wfla com news pasco county pasco shrimpers incomes cut by red tide 1386641118","1032301205698093057","621476215",FALSE,NA,"en","everyone","1032301205698093057",2018-08-22 16:19:21,"TeslaBernard",FALSE,"2012-06-29T01:47:28.000Z","Retired. Former Television Reporter, Meteorologist, Drone Pilot for News Channel 8 in Tampa, FL. Former Tesla Advisor. Plays Pickleball and Tennis.","Peter Bernard🇺🇦",FALSE,"https://pbs.twimg.com/profile_images/1601200430729641985/3B9zbVxH_normal.jpg",NA,"Clearwater, Florida",NA,0,0,1,0,0,3395,395,12711,122,NA,"Pasco shrimpers' incomes cut by red tide. Bait shops not buying.  https://t.co/MykTzynsrh"
"8","#Redtide 🚨  . https   www wfla com news pasco county shrimpers in pasco county struggling as red tide devastates fishing industry 1386205140","1032597893348241409","554029535",FALSE,NA,"und","everyone","1032597893348241409",2018-08-23 11:58:17,"leahabrahams1",FALSE,"2012-04-15T03:17:25.000Z","An island girl that loves desserts & her bed. Trying to accomplish my dreams; follower of God and mommy to 2 four legged children.","Sophie Ann",FALSE,"https://pbs.twimg.com/profile_images/779401699710513153/wdBG8rb9_normal.jpg",NA,"Jamaica",NA,0,0,0,0,0,154,174,8906,14,NA,"#Redtide 🚨  https://t.co/WhZL1Rt2Av"
"9","Historic home burns in Pasco county, the latest on red tide and where to vote tomorrow in the Dove Daily Update

#DoveDailyUpdate #stilthouse #Pasco #redtide #FWC #Mondaymotivation . https   twitter com 1055WDUV status 1034002598909628416 photo 1","1034002598909628416","608235166",FALSE,NA,"en","everyone","1034002598909628416",2018-08-27 09:00:05,"1055TheDove",FALSE,"2012-06-14T15:23:54.000Z","105.5 WDUV The Dove plays all of Tampa Bay's Lite Favorites! Stream anytime online!","105.5 The Dove",FALSE,"https://pbs.twimg.com/profile_images/1608095098629128192/gFQPV-Kp_normal.jpg",NA,"Tampa Bay, FL","https://t.co/i1RO8qiOD7",0,0,0,0,0,2769,4493,26989,64,NA,"Historic home burns in Pasco county, the latest on red tide and where to vote tomorrow in the Dove Daily Update

#DoveDailyUpdate #stilthouse #Pasco #redtide #FWC #Mondaymotivation https://t.co/VPCofLMAEL"
"10","Gov. Rick Scott is responsible for the algae blooms that have now entered Pasco and Hillsborough counties in Florida. Because of his greediness.. ","1035850296239501314","890331853252685824",FALSE,NA,"en","everyone","1035850296239501314",2018-09-01 11:22:10,"SherryisToots",FALSE,"2017-07-26T22:03:50.000Z","#WeAreTheResistance #HillaryforPresident.   #FB Resister #ImpeachTrump","Sherry RN Resists",FALSE,"https://pbs.twimg.com/profile_images/990320782780850176/CMImiDdj_normal.jpg",NA,"Clearwater, Fl",NA,6,2,10,0,0,3096,4021,38727,1,NA,"Gov. Rick Scott is responsible for the algae blooms that have now entered Pasco and Hillsborough counties in Florida. Because of his greediness."
