"","text","author_id","reply_settings","created_at.x","id","possibly_sensitive","conversation_id","lang","in_reply_to_user_id","location","verified","profile_image_url","username","name","protected","description","url","created_at.y","pinned_tweet_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","geo_place_id","text_with_display_links"
"1","Visiting family in Helsinki, only to find out the waters are infested with blue-green algae due to Russian sewage. Not clear if they're referring to fertilizer runoff from St Petersburg or the Summit that just took place here.. ","827682809900888064","everyone",2018-07-21 22:16:25,"1020794653908533248",FALSE,"1020794653908533248","en",NA,"Kensington, London",FALSE,"https://pbs.twimg.com/profile_images/1413122772847452165/C0lPm1b__normal.jpg","HenrikTiemroth","Henrik Tiemroth",FALSE,"SW1 frequenter. Alum @UniofOxford and @TuftsUniversity. Views my own.","https://t.co/c3AsaqCPum","2017-02-04T00:58:54.000Z",NA,0,0,3,0,0,512,677,2296,3,NA,"Visiting family in Helsinki, only to find out the waters are infested with blue-green algae due to Russian sewage. Not clear if they're referring to fertilizer runoff from St Petersburg or the Summit that just took place here."
"2","@lpieinfl Ooooh - hate if it happens but if a more largely populated are like Tampa St Pete gets hit - so many more will get angry. Of course you don’t have the Blue Green algae making the situation so much worse:. Hugs 🤗. ","2414913756","everyone",2018-08-04 00:55:11,"1025545650224680961",FALSE,"1025503384420462597","en","988060225","Florida",FALSE,"https://pbs.twimg.com/profile_images/1044311228661694464/8WGI5ptD_normal.jpg","LeChatNoire4","Le Chat Biden Democrat",FALSE,"#VOTE BLUE 2022 🌊🇺🇸🌊 #BuyARepublicanToday! no DM’s",NA,"2014-03-27T21:29:48.000Z","1222268511134896129",0,0,0,0,0,14256,13683,1102946,336,NA,"@lpieinfl Ooooh - hate if it happens but if a more largely populated are like Tampa St Pete gets hit - so many more will get angry. Of course you don’t have the Blue Green algae making the situation so much worse:. Hugs 🤗"
"3","@RonDeSantisFL I know, we had the blue green algae really bad in Alligator Lake in Safety Harbor a few weeks ago. Other places much worse with red tide but last I heard it's showing up on St Pete Beach!. ","221396657","everyone",2018-08-09 21:05:30,"1027662175069003777",FALSE,"1027639515261952000","en","487297085","sunny florida",FALSE,"https://pbs.twimg.com/profile_images/451155265593696256/7ymkTcKp_normal.jpeg","dereck72vapes","UltraMAGAdereck72",FALSE,"Twitter much better after Elon bought it",NA,"2010-11-30T15:17:32.000Z","1594511084098289664",2,0,3,0,0,2452,2051,21463,46,NA,"@RonDeSantisFL I know, we had the blue green algae really bad in Alligator Lake in Safety Harbor a few weeks ago. Other places much worse with red tide but last I heard it's showing up on St Pete Beach!"
"4","RT @dereck72vapes: @RonDeSantisFL I know, we had the blue green algae really bad in Alligator Lake in Safety Harbor a few weeks ago. Other…","918733847579283456","everyone",2018-08-10 07:27:29,"1027818703935692800",FALSE,"1027818703935692800","en",NA,"Texas, USA, World, Universe",FALSE,"https://pbs.twimg.com/profile_images/1370560869227192322/QRoSQpWR_normal.jpg","MemeBurk","Meme Burk🌎🌊🇺🇸💙🇺🇦😷",FALSE,"RetiredSci.Teacher;Progrsve;#BLM MEdCounseling;GreenPeace;#RESIST WildlifeHabitatCreator; #IAmAntifa #ClimateCrisisIsHere #ProtectLivingThings#BidenHarris",NA,"2017-10-13T07:03:13.000Z",NA,2,0,0,0,0,8636,8655,656823,29,NA,"@RonDeSantisFL I know, we had the blue green algae really bad in Alligator Lake in Safety Harbor a few weeks ago. Other places much worse with red tide but last I heard it's showing up on St Pete Beach!"
"5","RT @dereck72vapes: @RonDeSantisFL I know, we had the blue green algae really bad in Alligator Lake in Safety Harbor a few weeks ago. Other…","2796475822","everyone",2018-08-10 14:10:39,"1027920164023611392",FALSE,"1027920164023611392","en",NA,"New York, USA",FALSE,"https://pbs.twimg.com/profile_images/1001622425325522945/GLgGU0-j_normal.jpg","downey1950_w","sydown",FALSE,"Retired.Gardener,reader,tv freak,swimmer,counselor,friend, #RESIST NO DMs PLEASE",NA,"2014-09-30T21:30:11.000Z","1009747580023201792",2,0,0,0,0,2850,2948,223237,0,NA,"@RonDeSantisFL I know, we had the blue green algae really bad in Alligator Lake in Safety Harbor a few weeks ago. Other places much worse with red tide but last I heard it's showing up on St Pete Beach!"
"6","@ScottforFlorida Or they could visit Ft Myers Beach (no! Closed due to Red Tide), or St Pete (darn also closed from red tide), or Martin Counties beaches (uccchhh also closed due to blue-green algae). 
Too bad #RedTideRick &amp; his corruption have destroyed FL’s coastlines... . https   twitter com CraftivistG status 1036440365950291968 photo 1","1009193033856901125","everyone",2018-09-03 02:26:54,"1036440365950291968",FALSE,"1036323372999823360","en","306389855","Wilton Manors, FL",FALSE,"https://pbs.twimg.com/profile_images/1009195330406113280/CXLG_2wt_normal.jpg","CraftivistG","CraftivistGrrl",FALSE,"Postcarding Nasty Woman. Resist every day. Pride without Action is pointless. #HonorThemWithAction.",NA,"2018-06-19T21:55:43.000Z",NA,1,0,3,0,0,368,361,1377,2,NA,"@ScottforFlorida Or they could visit Ft Myers Beach (no! Closed due to Red Tide), or St Pete (darn also closed from red tide), or Martin Counties beaches (uccchhh also closed due to blue-green algae). 
Too bad #RedTideRick &amp; his corruption have destroyed FL’s coastlines... https://t.co/6W6xTUgU2P"
"7","RT @CraftivistG: @ScottforFlorida Or they could visit Ft Myers Beach (no! Closed due to Red Tide), or St Pete (darn also closed from red ti…","1069413204","everyone",2018-09-04 10:22:48,"1036922519180247040",FALSE,"1036922519180247040","en",NA,"Richmond, VA",FALSE,"https://pbs.twimg.com/profile_images/745471144870895617/dGTEZ4Ni_normal.jpg","MilitantDucky","MilitantRubberDucky",FALSE,"Short-tempered geek, misanthropic feminist, semi-pro gerbil herder. Theater-doing bio major, still figuring out what I want to be when I grow up.",NA,"2013-01-07T23:13:10.000Z",NA,1,0,0,0,0,417,1393,9329,12,NA,"@ScottforFlorida Or they could visit Ft Myers Beach (no! Closed due to Red Tide), or St Pete (darn also closed from red tide), or Martin Counties beaches (uccchhh also closed due to blue-green algae). 
Too bad #RedTideRick &amp; his corruption have destroyed FL’s coastlines... https://t.co/6W6xTUgU2P"
"8","Excellent read on the decimation of our marine life on FL Gulf Coast. This is from Treasure Island. #redtiderick #diasterinflorida #cleanwater #toxicalgae #cyanobacteria #voteblue #notolakeo #marinelifemurder

. http   treasurecoast fl newsmemory com publink php","1043959167101358080","everyone",2018-09-26 19:41:41,"1045035701069381632",FALSE,"1045035701069381632","en",NA,NA,FALSE,"https://pbs.twimg.com/profile_images/1325477904185167875/NoG0IBZU_normal.jpg","Eyearwood3","Eve Yearwood",FALSE,"Educator - advocate for children and all humanity, 
working to see a better world. 
Using music, art, poetry, history
Teaching empathy, kindness, compassion.","https://t.co/UxTeI0UPQT","2018-09-23T20:23:56.000Z","1558896859170603009",0,0,1,0,0,693,1642,20225,3,NA,"Excellent read on the decimation of our marine life on FL Gulf Coast. This is from Treasure Island. #redtiderick #diasterinflorida #cleanwater #toxicalgae #cyanobacteria #voteblue #notolakeo #marinelifemurder

https://t.co/AxTlOnpliu"
"9","FL: Lake residents frustrated by blue-green algae in St. Pete . https   www fox13news com news lake residents frustrated by algae in st pete","63519179","everyone",2019-01-10 00:14:57,"1083155195566219265",FALSE,"1083155195566219265","en",NA,"Michigan",FALSE,"https://pbs.twimg.com/profile_images/1022653074509246464/CjLYUJWu_normal.jpg","canetwork","Community Assns Net",FALSE,"Primary source for condo & HOA news stories from around the world","http://t.co/iuKCNjQTKk","2009-08-06T19:39:16.000Z",NA,0,0,1,0,0,2516,931,32996,48,NA,"FL: Lake residents frustrated by blue-green algae in St. Pete https://t.co/1wMqYioljV"
"10","Lake residents frustrated by blue-green algae in St. Pete...
 . https   www fox13news com news lake residents frustrated by algae in st pete. https   twitter com LocalVideoFLA status 1083395801991340033 photo 1","1030662556141142016","everyone",2019-01-10 16:11:02,"1083395801991340033",FALSE,"1083395801991340033","en",NA,"Tampa, FL",FALSE,"https://pbs.twimg.com/profile_images/1313932940129247240/5ihFw8U9_normal.jpg","LocalVideoFLA","Local Video Marketing",FALSE,"Helping local businesses grow and prosper through the use of video and digital marketing...  https://t.co/E4E6Xdn2q5","https://t.co/355AvoumDi","2018-08-18T03:47:56.000Z",NA,0,0,0,0,0,161,138,7682,1,NA,"Lake residents frustrated by blue-green algae in St. Pete...
https://t.co/zD9x3wTDxI https://t.co/wN7HlCiojv"
