"","text","in_reply_to_user_id","id","reply_settings","possibly_sensitive","author_id","conversation_id","lang","created_at.x","username","name","verified","created_at.y","protected","location","profile_image_url","description","url","pinned_tweet_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","geo_place_id","text_with_display_links"
"84","Pinellas County is urging residents/visitors to stay away from some blue-green algae blooms that have popped up. ""Lyngbya, in particular, is toxic to pets, especially if it gets in their fur,” said Tony Fabrizio, Public Info Officer for Pinellas County. . http   www j mp 2XKRoTV",NA,"1147474387114889217","everyone",FALSE,"2701863841","1147474387114889217","en",2019-07-06 11:56:27,"VoteWaterFL","VoteWater",FALSE,"2014-08-02T22:02:05.000Z",FALSE,"Florida, USA","https://pbs.twimg.com/profile_images/1261323378079735808/MGIjyXmc_normal.jpg","Fighting political corruption in Florida by galvanizing public resolve to end the systemic pollution and mismanagement of our waterways.","https://t.co/KznHCq17zJ",NA,2,0,1,0,0,1820,1059,4388,25,NA,"Pinellas County is urging residents/visitors to stay away from some blue-green algae blooms that have popped up. ""Lyngbya, in particular, is toxic to pets, especially if it gets in their fur,” said Tony Fabrizio, Public Info Officer for Pinellas County. https://t.co/I2K8GU85Aj"
"85","RT @bullsugar: Pinellas County is urging residents/visitors to stay away from some blue-green algae blooms that have popped up. ""Lyngbya, i…",NA,"1147477000711561217","everyone",FALSE,"3183450436","1147477000711561217","en",2019-07-06 12:06:50,"lawnjock478","Michael D",FALSE,"2015-04-19T14:50:48.000Z",FALSE,"Ohio/Florida","https://pbs.twimg.com/profile_images/730543177862664192/zHsMCwy6_normal.jpg","A country run by Oligarchs is doomed.  Anti corruption. Vote like your life depends on it. It very well may. Bolts, Reds, Buckeyes, and Bulls.",NA,NA,2,0,0,0,0,261,656,19822,0,NA,"Pinellas County is urging residents/visitors to stay away from some blue-green algae blooms that have popped up. ""Lyngbya, in particular, is toxic to pets, especially if it gets in their fur,” said Tony Fabrizio, Public Info Officer for Pinellas County. https://t.co/I2K8GU85Aj"
"86","RT @bullsugar: Pinellas County is urging residents/visitors to stay away from some blue-green algae blooms that have popped up. ""Lyngbya, i…",NA,"1147535266271367171","everyone",FALSE,"763537721684070402","1147535266271367171","en",2019-07-06 15:58:22,"ejd922again","LizD",FALSE,"2016-08-11T00:49:13.000Z",FALSE,"Mobile,al","https://pbs.twimg.com/profile_images/869609281783566338/8Po-Ujan_normal.jpg","",NA,NA,2,0,0,0,0,501,636,79406,1,NA,"Pinellas County is urging residents/visitors to stay away from some blue-green algae blooms that have popped up. ""Lyngbya, in particular, is toxic to pets, especially if it gets in their fur,” said Tony Fabrizio, Public Info Officer for Pinellas County. https://t.co/I2K8GU85Aj"
"87","RT @EmeraldWTSP: This is a pile of “vertical oyster gardens” that will hang from docks into local bays. 
🌊
Oyster larvae will attach, and t…",NA,"1147562108822986752","everyone",FALSE,"1040008647034761228","1147562108822986752","en",2019-07-06 17:45:02,"BaileyTV78","Heather Bailey, M.A.",FALSE,"2018-09-12T22:45:58.000Z",FALSE,"St. Augustine","https://pbs.twimg.com/profile_images/1121914455099629569/ar7WKohq_normal.jpg","Producer - TEGNA. MIZZOU & UCF Grad.",NA,NA,1,0,0,0,0,232,479,2832,0,NA,"This is a pile of “vertical oyster gardens” that will hang from docks into local bays. 
🌊
Oyster larvae will attach, and the oysters will be able to filter two to ten gallons of water an hour.
🌊
This helps with the blue-green algae present in some Pinellas Co. waters. https://t.co/57w7wb9QDz"
"88","RT @craigtimes: Noxious blue-green #algae blooms popping up all over #Florida -- the latest ones in Pinellas County https://t.co/wZwr846UBI",NA,"1147949857447043072","everyone",FALSE,"2418190468","1147949857447043072","en",2019-07-07 19:25:48,"TknbyWind","TknbyWind",FALSE,"2014-03-17T18:34:09.000Z",FALSE,"USA","https://pbs.twimg.com/profile_images/1325633516382658560/Mj_CDAbj_normal.jpg","🌊🌊🌊🌊🌊✌️",NA,NA,4,0,0,0,0,267,321,38247,73,NA,"Noxious blue-green #algae blooms popping up all over #Florida -- the latest ones in Pinellas County https://t.co/wZwr846UBI"
"89","State considering new regulations for toxins created by Blue-Green Algae  . https   www abcactionnews com news region pinellas state considering new regulations for toxins created by blue green algae. https   twitter com abcactionnews status 1148372586528722945 photo 1",NA,"1148372586528722945","everyone",FALSE,"15138087","1148372586528722945","en",2019-07-08 23:25:35,"abcactionnews","ABC Action News",TRUE,"2008-06-16T20:08:51.000Z",FALSE,"Tampa","https://pbs.twimg.com/profile_images/875429460807438337/4yx0qIuz_normal.jpg","Tampa Bay News: Check out our traffic feed here: https://t.co/M2uAC172SI","https://t.co/hjOLC3xFry",NA,1,0,4,0,0,173435,650,186169,1584,NA,"State considering new regulations for toxins created by Blue-Green Algae https://t.co/c0yi1dRsdU https://t.co/4uWQqpQ2Ir"
"90","RT @abcactionnews: State considering new regulations for toxins created by Blue-Green Algae https://t.co/c0yi1dRsdU https://t.co/4uWQqpQ2Ir",NA,"1148577265632055299","everyone",FALSE,"87210710","1148577265632055299","en",2019-07-09 12:58:54,"PinellasGov","Pinellas County",FALSE,"2009-11-03T15:10:56.000Z",FALSE,"Pinellas County, Florida","https://pbs.twimg.com/profile_images/958396908858429440/ZeXWz8mM_normal.jpg","Pinellas County government's latest news, events, photos, video and general information. We're on the #GulfOfMexico and #TampaBay on the west coast of #Florida.","https://t.co/Gt8840coE5",NA,1,0,0,0,0,28901,270,25630,462,NA,"State considering new regulations for toxins created by Blue-Green Algae https://t.co/c0yi1dRsdU https://t.co/4uWQqpQ2Ir"
"91","#Florida wants to add new blue-green algae bloom regulations to better identify danger zones and warn the public. . https   www abcactionnews com news region pinellas state considering new regulations for toxins created by blue green algae",NA,"1148691795431362560","everyone",FALSE,"2472435879","1148691795431362560","en",2019-07-09 20:34:00,"SeanWFTS","Sean O'Reilly",TRUE,"2014-04-09T20:31:30.000Z",FALSE,"Tampa, FL","https://pbs.twimg.com/profile_images/492165465288867840/6uxUmFzY_normal.jpeg","News junkie. Cat dad 🐯 Gamer. Geek. Sci-Fi nerd 🖖 Ice hockey & baseball lover. RT not endorsements.","https://t.co/hjOLC3xFry",NA,0,0,0,0,0,503,66,9072,48,NA,"#Florida wants to add new blue-green algae bloom regulations to better identify danger zones and warn the public. https://t.co/AcdFOW8dUg"
"92","RT @EmeraldMorrow: This is a pile of “vertical oyster gardens” that will hang from docks into local bays.
🌊
Oyster larvae will attach; oyst…",NA,"1159825103242219520","everyone",FALSE,"66700406","1159825103242219520","en",2019-08-09 13:53:47,"TampaBayWatch","Tampa Bay Watch",FALSE,"2009-08-18T14:54:41.000Z",FALSE,"Tierra Verde, FL","https://pbs.twimg.com/profile_images/1357037111380213767/GuCzeHry_normal.jpg","Dedicated to the protection and restoration of the Tampa Bay estuary through scientific and educational programs.","http://t.co/84WPD89s0I",NA,3,0,0,0,0,5123,1553,2555,112,NA,"This is a pile of “vertical oyster gardens” that will hang from docks into local bays.
🌊
Oyster larvae will attach; oysters will be able to filter two to 10 gallons of water/hour.
🌊
This helps w/blue-green algae present in some Pinellas Co. waters.
🌊
@TampaBayWatch @10NewsWTSP https://t.co/gTXY9bcVpv"
"93","Earlier this year (May 2019) water along Old Tampa Bay in #SafetyHarbor tested positive for toxic blue-green algae. Researchers have also found toxic blooms in waterways from the Tampa Bay region through South Florida. 

#DogsSwimming #WaterSafety #TheNewBarkerDogMagazine. ",NA,"1160204146055794689","everyone",FALSE,"1535031667","1160204146055794689","en",2019-08-10 14:59:58,"TheNewBarker","The New Barker",FALSE,"2013-06-20T21:06:03.000Z",FALSE,"Florida, USA","https://pbs.twimg.com/profile_images/1353551482629591041/bKX7_LDE_normal.jpg","A Florida lifestyle print magazine about dogs with information on where to stay, play, dine, shop & have fun with your dog. #TheNewBarker","https://t.co/oz1KMyLdlh",NA,1,1,1,0,0,2196,3448,32466,127,NA,"Earlier this year (May 2019) water along Old Tampa Bay in #SafetyHarbor tested positive for toxic blue-green algae. Researchers have also found toxic blooms in waterways from the Tampa Bay region through South Florida. 

#DogsSwimming #WaterSafety #TheNewBarkerDogMagazine"
"94","The Florida Department of Environmental Protection has been monitoring a #toxic bloom in Lake Okeechobee. Samples of water in the area tested ""three times too toxic to touch."" Toxic algae is also turning up in Manatee County's Robinson Preserve, the #Manatee River and canals.","1535031667","1160204148010291200","everyone",FALSE,"1535031667","1160204146055794689","en",2019-08-10 14:59:59,"TheNewBarker","The New Barker",FALSE,"2013-06-20T21:06:03.000Z",FALSE,"Florida, USA","https://pbs.twimg.com/profile_images/1353551482629591041/bKX7_LDE_normal.jpg","A Florida lifestyle print magazine about dogs with information on where to stay, play, dine, shop & have fun with your dog. #TheNewBarker","https://t.co/oz1KMyLdlh",NA,1,0,1,0,0,2194,3446,32462,127,NA,NA
"95","RT @TheNewBarker: Earlier this year (May 2019) water along Old Tampa Bay in #SafetyHarbor tested positive for toxic blue-green algae. Resea…",NA,"1161077160829947905","everyone",FALSE,"16652224","1161077160829947905","en",2019-08-13 00:49:01,"angelaardolino","Angela Ardolino",FALSE,"2008-10-08T17:43:43.000Z",FALSE,"Tampa, Florida","https://pbs.twimg.com/profile_images/1190347062870716416/5V4UYjO5_normal.jpg","Holistic Pet & Medical Cannabis Expert 
Founder-@CBDDogHealth
Animal Rescue-Fire Flake Farm 
Owner-@Beautify_Beast
'It's a Dog's Life' Podcast Host @CannaRadio","https://t.co/dadNb7Ey3i",NA,1,0,0,0,0,4470,3260,2732,80,NA,"Earlier this year (May 2019) water along Old Tampa Bay in #SafetyHarbor tested positive for toxic blue-green algae. Researchers have also found toxic blooms in waterways from the Tampa Bay region through South Florida. 

#DogsSwimming #WaterSafety #TheNewBarkerDogMagazine"
"96","""We monitor the bay, so we are more concerned with red tide karenia brevis but recently blue-green algae was spotted in the Manatee River and in Safety Harbor.""  . https   www cltampa com news a new report says harmful algae blooms are on the rise in florida and across the nation 12256299. https   twitter com HelpFloridaHeal status 1164512046345592833 photo 1",NA,"1164512046345592833","everyone",FALSE,"1046953802245578753","1164512046345592833","en",2019-08-22 12:18:02,"HelpFloridaHeal","Help Florida Heal",FALSE,"2018-10-02T02:43:32.000Z",FALSE,"Boca Grande, FL","https://pbs.twimg.com/profile_images/1046954462252650496/fAI8sUWg_normal.jpg","We are a nonpartisan group of FL citizens demanding that our politicians take action to help Florida heal from the red tide and green algae poisoning our state.","https://t.co/nrcNO8vykn","1304150592277929984",0,0,1,0,0,147,346,1462,2,NA,"""We monitor the bay, so we are more concerned with red tide karenia brevis but recently blue-green algae was spotted in the Manatee River and in Safety Harbor."" https://t.co/Ns13Z8Ld49 https://t.co/fDAKOkhRMd"
"97","RT @EmeraldMorrow: This is a pile of “vertical oyster gardens” that will hang from docks into local bays.
🌊
Oyster larvae will attach; oyst…",NA,"1176482491714195457","everyone",FALSE,"845679252","1176482491714195457","en",2019-09-24 13:04:18,"TampaBayRPC","Tampa Bay RPC",FALSE,"2012-09-25T15:03:11.000Z",FALSE,"Tampa Bay Region, Florida","https://pbs.twimg.com/profile_images/1489650542284611584/ne-l6gkH_normal.png","The official feed of the Tampa Bay Regional Planning Council. Serving the communities of Citrus, Hernando, Hillsborough, Manatee, Pasco, and Pinellas Counties.","https://t.co/8ipKOeswsL","1610291029076312065",3,0,0,0,0,415,292,275,6,NA,"This is a pile of “vertical oyster gardens” that will hang from docks into local bays.
🌊
Oyster larvae will attach; oysters will be able to filter two to 10 gallons of water/hour.
🌊
This helps w/blue-green algae present in some Pinellas Co. waters.
🌊
@TampaBayWatch @10NewsWTSP https://t.co/gTXY9bcVpv"
"98","@Bl0ndieMIA 😂😂 Good ole Pinellas. 
His lawyer should say his psychi has been effected gravely by the cyanobacteria &amp;red tide in the Gulf. Could be true. 💁😂😂😳😔🙊. ","3681082217","1187328629614825472","everyone",FALSE,"989480153041469440","1187327213852643329","en",2019-10-24 11:22:59,"HumanityLove32","DontWorry-WereGoingHappilybackToCorporateUSA",FALSE,"2018-04-26T12:23:46.000Z",FALSE,"In the face of inequality","https://pbs.twimg.com/profile_images/1325450869559746561/sHjF_x1Z_normal.jpg","Realist. Humanist. MA.ECD (human development)SocDem. UNITE!-No Nahzi sympathizers!-Amateur Historian. ArrestMagaTNahziRegimeNOW!
FactsoverFeelings!",NA,"1073594422208667649",0,0,2,0,0,12531,13199,26470,6,NA,"@Bl0ndieMIA 😂😂 Good ole Pinellas. 
His lawyer should say his psychi has been effected gravely by the cyanobacteria &amp;red tide in the Gulf. Could be true. 💁😂😂😳😔🙊"
"99","Researchers looking into long-term health impacts of blue-green algae, red tide . https   www abcactionnews com news region pinellas researchers looking into long term health impacts of blue green algae red tide",NA,"1228664749468127234","everyone",FALSE,"242030308","1228664749468127234","en",2020-02-15 12:57:58,"ECOIntTech","Eco Integrated Technologies, Inc.",FALSE,"2011-01-23T19:31:59.000Z",FALSE,"Boston, MA","https://pbs.twimg.com/profile_images/1404072226434002947/LMc9hP1W_normal.jpg","Official Twitter for AquaFlex as founded by Inventor/CEO Scott C. Smith","https://t.co/YYzVBOrAzS","1446965828629454850",1,0,0,0,0,563,378,3291,16,NA,"Researchers looking into long-term health impacts of blue-green algae, red tide https://t.co/SwUzPx9yL9"
"100","Researchers looking into long-term health impacts of blue-green algae, red tide . https   www abcactionnews com news region pinellas researchers looking into long term health impacts of blue green algae red tide",NA,"1228664828442574848","everyone",FALSE,"2836941396","1228664828442574848","en",2020-02-15 12:58:17,"WaterWarriorOne","Scott C. Smith",FALSE,"2014-10-01T17:12:05.000Z",FALSE,NA,"https://pbs.twimg.com/profile_images/1520748942241185793/cyxz7WVk_normal.jpg","CEO AquaFlex & President/CSO ECO AquaFlex wiped out by oil contaminated flood waters in 2006, I have been to every MAJOR oil & water contamination event","https://t.co/OFuWogCs0l","1122962401228468224",3,0,1,0,0,2192,824,3092,54,NA,"Researchers looking into long-term health impacts of blue-green algae, red tide https://t.co/twoKl6Z00i"
"101","RT @WaterWarriorOne: Researchers looking into long-term health impacts of blue-green algae, red tide https://t.co/twoKl6Z00i",NA,"1228669257011122179","everyone",FALSE,"2493140798","1228669257011122179","en",2020-02-15 13:15:53,"UnicornTO","UnicornTO 🦄",FALSE,"2014-05-13T15:26:47.000Z",FALSE,"Planet Earth","https://pbs.twimg.com/profile_images/1344997200531697666/8SnyQfBT_normal.jpg","I love our Earth, USA, shopping, books, travel, music and movies. 🗽🇺🇸 #JLovers forever & followed by @MarkRuffalo @JordinSparks @AliMcNamara ❤️",NA,"1210941168357384192",3,0,0,0,0,704,78,25934,43,NA,"Researchers looking into long-term health impacts of blue-green algae, red tide https://t.co/twoKl6Z00i"
"102","RT @WaterWarriorOne: Researchers looking into long-term health impacts of blue-green algae, red tide https://t.co/twoKl6Z00i",NA,"1228730834754162689","everyone",FALSE,"2484761636","1228730834754162689","en",2020-02-15 17:20:34,"heretictrance","DuskCatharsis",FALSE,"2014-05-09T01:31:37.000Z",FALSE,"Sometimes Earth.","https://pbs.twimg.com/profile_images/1534582471450402819/S7jQI82d_normal.jpg","Public preschool custodian. Not good at follow backs due to work schedule. She/They #Hiddlestoner #Cavillary #Ghestie #resist #MeToo #survivor #VoteBlue",NA,NA,3,0,0,0,0,332,208,86539,65,NA,"Researchers looking into long-term health impacts of blue-green algae, red tide https://t.co/twoKl6Z00i"
"103","RT @_AquaFlex: Researchers looking into long-term health impacts of blue-green algae, red tide https://t.co/SwUzPx9yL9",NA,"1228734030306213888","everyone",FALSE,"1198789568214044672","1228734030306213888","en",2020-02-15 17:33:16,"krallen_3","Kätzchen mit Krallen 3",FALSE,"2019-11-25T02:25:33.000Z",FALSE,"outworld (bayern)","https://pbs.twimg.com/profile_images/1282773572633731073/LsTISuZX_normal.png","pansexuell, enby, a.m.a.b. polyamor, künstler, sportler, missbrauchsopfer, nyctophil, tagträumer, nerd, freak, darth weirdo, chaotisch, shy/schüchtern, treu",NA,"1230464930320670722",1,0,0,0,0,389,3742,60720,4,NA,"Researchers looking into long-term health impacts of blue-green algae, red tide https://t.co/SwUzPx9yL9"
"104","Researchers looking into long-term health impacts of blue-green algae, red tide  . https   www abcactionnews com news region pinellas researchers looking into long term health impacts of blue green algae red tide. https   twitter com abcactionnews status 1229118257971503104 photo 1",NA,"1229118257971503104","everyone",FALSE,"15138087","1229118257971503104","en",2020-02-16 19:00:03,"abcactionnews","ABC Action News",TRUE,"2008-06-16T20:08:51.000Z",FALSE,"Tampa","https://pbs.twimg.com/profile_images/875429460807438337/4yx0qIuz_normal.jpg","Tampa Bay News: Check out our traffic feed here: https://t.co/M2uAC172SI","https://t.co/hjOLC3xFry",NA,0,0,0,0,0,173435,650,186169,1584,NA,"Researchers looking into long-term health impacts of blue-green algae, red tide https://t.co/YGmYKMt0jT https://t.co/SqFMfidCg5"
"105","FAU Harbor Branch Researchers looking into long-term health impacts of blue-green algae, red tide   @FAUNewsDesk. https   www abcactionnews com news region pinellas researchers looking into long term health impacts of blue green algae red tide",NA,"1229425316067545090","everyone",FALSE,"130147044","1229425316067545090","en",2020-02-17 15:20:11,"HarborBranch","FAU Harbor Branch",FALSE,"2010-04-06T13:08:43.000Z",FALSE,"Fort Pierce, FL","https://pbs.twimg.com/profile_images/1272999784446648328/nd9gUdEi_normal.jpg","A research community of marine scientists, engineers and educators focused on Ocean Science for a Better World.","https://t.co/GBl4wgTQ2J",NA,3,0,2,0,0,2155,380,3535,58,NA,"FAU Harbor Branch Researchers looking into long-term health impacts of blue-green algae, red tide  https://t.co/bHrMqt21Bc @FAUNewsDesk"
