"","text","conversation_id","author_id","possibly_sensitive","in_reply_to_user_id","lang","reply_settings","id","created_at.x","username","verified","url","created_at.y","description","name","protected","location","profile_image_url","geo_place_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","pinned_tweet_id"
"1","The Democrats have the Blue Wave. To combat the our Blue Wave some dumbass MAGAt's come up with the RED TIDE. Red Tide kills fish and stinks so bad that it causes respiratory problems for some people. Just Say No to MAGA. Friends Don't Let Friends Vote Republican. ✌ https://t.co/kEu2YCDEt7","1008482831696310273","918601320977895424",FALSE,NA,"en","everyone","1008482831696310273",2018-06-17 22:53:38,"PLashley6",FALSE,NA,"2017-10-12T22:16:36.000Z","Florida Freethinker, Doesn't Obey Well. 
Volunteer of America, Sometimes Obscene. All Lives Matter 🌎 ✌ 
#FBR #PRU","PhillipLashley6",FALSE,"Tampa, FL","https://pbs.twimg.com/profile_images/977674350462685188/1KZmCmhD_normal.jpg","01af119d415cd7d2",0,0,0,0,0,3837,4251,15243,1,"1053292727302045696"
"2","HEADS UP, BEACHGOERS! Multiple Tampa Bay area beaches affected by red tide bloom. https://t.co/M976VdLBfb #tampabay","1009917707142270978","18753503",FALSE,NA,"en","everyone","1009917707142270978",2018-06-21 21:55:19,"coreydavis6abc",FALSE,"https://t.co/6OczQSSujA","2009-01-08T04:25:03.000Z","📺 Reporter @6abc","Corey Davis",FALSE,"Philadelphia, PA","https://pbs.twimg.com/profile_images/1510626917371813894/UCchI5Q3_normal.jpg","dc62519fda13b4ec",1,0,0,0,0,4291,4472,11147,104,"1510626972220727305"
"3","Toxic brew of algae hurting tourism in #Florida #SiestaKey #redtide @WFLAJeff https://t.co/VGDjcBuAn0 @WFLA","1025194818711040002","85644587",FALSE,NA,"en","everyone","1025194818711040002",2018-08-03 01:41:06,"ryanminnaugh",TRUE,"https://t.co/WMNw7U3zfR","2009-10-27T19:42:48.000Z","Executive Producer/Digital Professional, Husband, Dad, Yankee Fan.","Ryan Minnaugh",FALSE,"United States","https://pbs.twimg.com/profile_images/1368521178692911104/xfZa8_qR_normal.jpg","9db9aa483565ef9c",0,0,0,0,0,1296,1133,7717,17,NA
"4","Before heading to the beach, check this link out to see how you can check for red tide! https://t.co/HV2LMJDad1","1025319020193607680","26340080",FALSE,NA,"en","everyone","1025319020193607680",2018-08-03 09:54:38,"WFLANews",FALSE,"https://t.co/nywCUV9hd2","2009-03-24T22:19:56.000Z","Tampa Bay's latest news and information. Listen anywhere on @iheartradio.","NewsRadio WFLA",FALSE,"Tampa, FL","https://pbs.twimg.com/profile_images/1084772502524461056/udx_2Up3_normal.jpg","dc62519fda13b4ec",8,0,6,1,0,17752,3833,205720,543,NA
"5","Wondering what beaches #Redtide is affecting? Here's an easy link!","1025319553113436161","356642961",FALSE,NA,"en","everyone","1025319553113436161",2018-08-03 09:56:45,"TampaBaysJulie",FALSE,"https://t.co/QlG1uLjj2J","2011-08-17T04:34:07.000Z","Wife|Dog Mom|Realtor|Meteorologist #ILoveTampaBay #AdoptDontShop","Julie Phillips Lawrence",FALSE,"Tampa, FL","https://pbs.twimg.com/profile_images/1367869902904778755/2393dwsl_normal.jpg","dc62519fda13b4ec",0,0,0,0,0,4044,1101,19561,142,NA
"6","Where is red tide headed next? @WFLAJohn https://t.co/lgRJ6nyr5T @WFLA","1025560318456389633","85644587",FALSE,NA,"en","everyone","1025560318456389633",2018-08-04 01:53:28,"ryanminnaugh",TRUE,"https://t.co/WMNw7U3zfR","2009-10-27T19:42:48.000Z","Executive Producer/Digital Professional, Husband, Dad, Yankee Fan.","Ryan Minnaugh",FALSE,"United States","https://pbs.twimg.com/profile_images/1368521178692911104/xfZa8_qR_normal.jpg","9db9aa483565ef9c",1,0,0,0,0,1296,1133,7717,17,NA
"7","https://t.co/qIwCZRECHo. Red tide. Florida.","1025772288954777600","55414986",FALSE,NA,"es","everyone","1025772288954777600",2018-08-04 15:55:46,"LibbyBlog",FALSE,NA,"2009-07-10T00:34:22.000Z","Transportation/urban planning consultant in Florida. Author of forthcoming ""Paleo Places"" - an evolutionary approach to urban planning.","Elizabeth Rodriguez",FALSE,NA,"https://pbs.twimg.com/profile_images/832592330473537536/i07vfAJ0_normal.jpg","51264211e147d635",0,0,0,0,0,3968,4920,181414,188,NA
"8","Happy Sunday! Got a hot cup of ☕️ to get my day started. This morning at 6 a.m. and 8 a.m. tune in with @LaurenWFTS @JasonAdamsWFTS &amp; @JJBurtonTV. Top stories: 1. Red tide in TB, 2. ‘Stand your ground’ protest, 3. Vigil for girl @TampaPD says was killed by her own mother #GMTB https://t.co/thjP1EQXnc","1026001395873443840","482218809",FALSE,NA,"en","everyone","1026001395873443840",2018-08-05 07:06:09,"RosalesReport",TRUE,"https://t.co/BNLVsGNr6P","2012-02-03T17:17:40.000Z","@CNNNewsource Correspondent. Cuban-born🇨🇺American-raised🇺🇸 Pro-skeptic. Bilingüe. News Tips | DM for Signal","Isabel Rosales",FALSE,"Washington, D.C.","https://pbs.twimg.com/profile_images/1338703977672794113/gJU5fF03_normal.jpg","dc62519fda13b4ec",1,1,3,0,0,3925,2595,6402,53,"1611861265273753601"
"9","@WFTSisabel @LaurenWFTS @JasonAdamsWFTS @JJBurtonTV @TampaPD Watching right now.  You’re on a roll!  😛","1026001395873443840","31007522",FALSE,"482218809","en","everyone","1026085298088886273",2018-08-05 12:39:33,"floridabronco",FALSE,NA,"2009-04-14T00:40:08.000Z","Proud Western Michigan alum. Ex-high school basketball and tennis coach. College football aficionado and connoisseur of southern fried chicken.","Robert Murray",FALSE,"Citrus Hills, FL","https://pbs.twimg.com/profile_images/1438647384347713539/JFb8tR80_normal.jpg",NA,0,1,3,0,0,97,145,14607,2,NA
"10","@floridabronco @LaurenWFTS @JasonAdamsWFTS @JJBurtonTV @TampaPD Thanks for watching Robert 👍🏻","1026001395873443840","482218809",FALSE,"31007522","en","everyone","1026088389802643457",2018-08-05 12:51:50,"RosalesReport",TRUE,"https://t.co/BNLVsGNr6P","2012-02-03T17:17:40.000Z","@CNNNewsource Correspondent. Cuban-born🇨🇺American-raised🇺🇸 Pro-skeptic. Bilingüe. News Tips | DM for Signal","Isabel Rosales",FALSE,"Washington, D.C.","https://pbs.twimg.com/profile_images/1338703977672794113/gJU5fF03_normal.jpg","dc62519fda13b4ec",0,1,1,0,0,3925,2596,6402,53,"1611861265273753601"
"11","@WFTSisabel @LaurenWFTS @JasonAdamsWFTS @JJBurtonTV @TampaPD You’re very welcome 😉","1026001395873443840","31007522",FALSE,"482218809","en","everyone","1026101562517729280",2018-08-05 13:44:11,"floridabronco",FALSE,NA,"2009-04-14T00:40:08.000Z","Proud Western Michigan alum. Ex-high school basketball and tennis coach. College football aficionado and connoisseur of southern fried chicken.","Robert Murray",FALSE,"Citrus Hills, FL","https://pbs.twimg.com/profile_images/1438647384347713539/JFb8tR80_normal.jpg",NA,0,0,0,0,0,97,145,14607,2,NA
"12","@SethKush # environment killing Republican Red tide and green water? Florida beaches have a problem, and its name is Rick Scott","1026543465054662656","65074878",FALSE,"19899004","en","everyone","1026543465054662656",2018-08-06 19:00:08,"HASSANSAIDNO",FALSE,NA,"2009-08-12T16:06:30.000Z","","Hassan Said",FALSE,".......","https://pbs.twimg.com/profile_images/1287841502023028743/6XB7K9iI_normal.jpg","074d5ce471c43508",0,0,0,0,0,0,42,224,0,NA
