"","text","lang","possibly_sensitive","id","created_at.x","conversation_id","author_id","reply_settings","in_reply_to_user_id","location","created_at.y","username","name","profile_image_url","protected","verified","description","pinned_tweet_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","geo_place_id","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","url","text_with_display_links"
"13","@MsResJudicata That's alot of 💩. Somebody is gonna be in deep 💩 for that, when the SHTF.","en",FALSE,"1161974222756831232",2019-08-15 12:13:37,"1161960425224884224","112026753","everyone","947904812393418752",NA,"2010-02-07T01:00:25.000Z","Winging_Pom","Tango Oscar","https://pbs.twimg.com/profile_images/889463561763799040/wFmuTzcY_normal.jpg",FALSE,FALSE,"Don't you wish crisps/chips and sponge cakes remain at 4p/ 6c ?Bankers are stealing our labour and shrinking our cakes and crisps. Merci, Gilet Jaune, woken up.",NA,0,0,0,0,0,NA,167,710,13462,0,NA,NA
"14","@MsResJudicata I remember snorkeling off of the coast of Sicily in the 80s &amp; almost running head on into a floating log. For me, the Med was never the same after that as I stopped swimming. At 400K gallons, it’s only about 2,000 gallons a day which is a far less ominous number than “400K.”","en",FALSE,"1162013521292550144",2019-08-15 14:49:47,"1161960425224884224","278903218","everyone","947904812393418752","Amerika","2011-04-08T05:56:03.000Z","ImbecileNation","Imbecile Nation","https://pbs.twimg.com/profile_images/1308257970/Imbecile_Nation_normal.jpg",FALSE,FALSE,"I'm just sick of it all.  Please do not laugh.","1324180408041381890",0,0,1,0,0,NA,976,4870,16526,7,"http://t.co/bJBnklJqZ2",NA
"15","Thank goodness, y’all. Our water crisis is over. Well done St. Pete. This is a major victory. I was worried some time and legislation would be put into the sewage dumping into the bay, but this, this is much better. . https   www fox13news com news pinellas county bans horseback riding near skyway bridge","en",FALSE,"1187102051542716416",2019-10-23 20:22:39,"1187102051542716416","10892982","everyone",NA,"Winter Haven, FL","2007-12-06T03:41:35.000Z","travisthompson","travisthompson","https://pbs.twimg.com/profile_images/747764734527676416/KMcOcuUb_normal.jpg",FALSE,FALSE,"Conservationist. Floridian. Dad. Husband.  RT doesn’t equal endorsement.",NA,0,3,4,0,0,NA,5957,2199,5224,31,"https://t.co/HbW8SKTjB3","Thank goodness, y’all. Our water crisis is over. Well done St. Pete. This is a major victory. I was worried some time and legislation would be put into the sewage dumping into the bay, but this, this is much better. https://t.co/gx6E0dA1PX"
"16","@travisthompson Actually the bigger problem at that location is the wave runners and jet skis.  Clean that mess up as well and get that fishery back to where it once was.","en",FALSE,"1187102713705881600",2019-10-23 20:25:16,"1187102051542716416","17356466","everyone","10892982",NA,"2008-11-13T03:49:48.000Z","cferrera","Chris","https://pbs.twimg.com/profile_images/950192464446541824/wbsGKdwq_normal.jpg",FALSE,FALSE,"Sports Partisan | Political Moderate | USF '97 | TB Bucs • USF Bulls • TB Rays • TB Lightning | History Enthusiast",NA,0,0,1,0,0,NA,450,860,32524,24,NA,NA
"17","@travisthompson I am sensing sarcasm here :)","en",FALSE,"1187107789518311429",2019-10-23 20:45:27,"1187102051542716416","297525009","everyone","10892982",NA,"2011-05-12T17:12:42.000Z","pkp911","Pete Prior","https://pbs.twimg.com/profile_images/378800000420317534/67f3a0636c55c566a6ae6a833ee57540_normal.jpeg",FALSE,FALSE,"",NA,0,0,1,0,0,NA,110,102,679,3,"http://t.co/WmkEcFaqdl",NA
"18","@travisthompson Ridiculous.","fr",FALSE,"1187129007982153728",2019-10-23 22:09:45,"1187102051542716416","909302815","everyone","10892982","Florida, USA","2012-10-28T01:45:08.000Z","BMYunk","Brad Yunkari","https://pbs.twimg.com/profile_images/1221973122276040705/9ZcqpFwG_normal.jpg",FALSE,FALSE,"",NA,0,0,1,0,0,NA,20,249,339,0,NA,NA
"19","@realDonaldTrump Fake News ....

@GovRonDeSantis Is Not Doing Good Work When Beaches In Clearwater Florida Are Open Because @Scientology Owns And Controls Clearwater ....

What About The Raw Sewage Being Scooped Out Of The River In Fort Lauderdale ?

Want More ?. ","en",FALSE,"1239910526089658369",2020-03-17 13:44:40,"1239907845719691265","23205264","everyone","25073877","Mountain View, CA","2009-03-07T16:06:12.000Z","BustedCherries","🍒Busted Cherries🍒","https://pbs.twimg.com/profile_images/547402295978098690/SabSP2RS_normal.jpeg",FALSE,FALSE,"All About .... #TheU #FinsUp #BBN #LakeShow #Dodgers #Hunting #Fishing #Cryptocurrency #Marijuana #Cannabis #Indica #Sativa #CBD #Florida 🍒#CherriesSticky🍒","1086352201319178240",0,1,0,0,0,"4ec01c9dbc693497",725,5001,21611,19,"https://t.co/Tmnipe9w2e","@realDonaldTrump Fake News ....

@GovRonDeSantis Is Not Doing Good Work When Beaches In Clearwater Florida Are Open Because @Scientology Owns And Controls Clearwater ....

What About The Raw Sewage Being Scooped Out Of The River In Fort Lauderdale ?

Want More ?"
"20","Born and raised in Pinellas County, I can think of a lot of better ways $92M could've been spent. Improve schools and teachers salaries, Gulfport dumping raw sewage in to the bay or maybe toward a new stadium, just a few off the top of my head. . https   twitter com TB_Times status 1280467261476700161","en",FALSE,"1280544819287334915",2020-07-07 16:50:50,"1280544819287334915","144659696","everyone",NA,NA,"2010-05-16T23:52:26.000Z","ChrisFischer07","ຳ","https://pbs.twimg.com/profile_images/931415426617266177/kFSB5cei_normal.jpg",FALSE,TRUE,"",NA,2,1,3,0,0,NA,3335,4097,32750,109,NA,"Born and raised in Pinellas County, I can think of a lot of better ways $92M could've been spent. Improve schools and teachers salaries, Gulfport dumping raw sewage in to the bay or maybe toward a new stadium, just a few off the top of my head. https://t.co/8MciTs4vEq"
"21","RT @ChrisFischer07: Born and raised in Pinellas County, I can think of a lot of better ways $92M could've been spent. Improve schools and t…","en",FALSE,"1280545800913854464",2020-07-07 16:54:44,"1280545800913854464","382751530","everyone",NA,"Tampa, FL","2011-09-30T16:31:24.000Z","ryantpa813","Ryan","https://pbs.twimg.com/profile_images/1272529411687026688/m4a2H5-w_normal.jpg",FALSE,FALSE,"Eight One Three Sports
Bolts, Bucs, Rays, Sooners, Bulls, Magic Tampa, FL 📍",NA,2,0,0,0,0,NA,298,1926,12156,3,"https://t.co/o9GcetyAhV","Born and raised in Pinellas County, I can think of a lot of better ways $92M could've been spent. Improve schools and teachers salaries, Gulfport dumping raw sewage in to the bay or maybe toward a new stadium, just a few off the top of my head. https://t.co/8MciTs4vEq"
"22","RT @ChrisFischer07: Born and raised in Pinellas County, I can think of a lot of better ways $92M could've been spent. Improve schools and t…","en",FALSE,"1280550306682736640",2020-07-07 17:12:39,"1280550306682736640","75339454","everyone",NA,"Boca Raton ","2009-09-18T17:44:55.000Z","TueNiteRockStar","DickWarlock","https://pbs.twimg.com/profile_images/430062717/4464_109745722672_580617672_2656355_1453694_n_normal.jpg",FALSE,FALSE,"",NA,2,0,0,0,0,NA,49,355,1844,0,NA,"Born and raised in Pinellas County, I can think of a lot of better ways $92M could've been spent. Improve schools and teachers salaries, Gulfport dumping raw sewage in to the bay or maybe toward a new stadium, just a few off the top of my head. https://t.co/8MciTs4vEq"
"23","@ChrisFischer07 and its ugly. i was born and raised in pinellas also","en",FALSE,"1281065646818762752",2020-07-09 03:20:25,"1280544819287334915","955614284750446593","everyone","144659696","mars","2018-01-23T01:32:54.000Z","purpletang99","dbg","https://pbs.twimg.com/profile_images/1022532622440955909/rWh26jrz_normal.jpg",FALSE,FALSE,"i tweet my opinions only. yes there are exceptions to every tweet.","1112901434096455681",0,0,0,0,0,NA,23,99,3872,0,NA,NA
"24","The latest on sewage spills in Pinellas County: a lawsuit filed by environmental advocates against the city of Largo. They are particularly concerned with pollutants getting into Old Tampa Bay. . https   www tampabay com news environment 2020 08 19 water advocates file sewage spill lawsuit against city of largo","en",FALSE,"1296185347555164165",2020-08-19 20:40:43,"1296185347555164165","213164823","everyone",NA,"St. Petersburg, Fla.","2010-11-08T04:18:07.000Z","ZackSampson","Zack Sampson","https://pbs.twimg.com/profile_images/560772860545757185/UJ0f-WFA_normal.jpeg",FALSE,TRUE,"Investigative reporter @TB_Times. zsampson@tampabay.com. On Signal: 813-534-0157. he/him.",NA,0,0,1,0,0,NA,3328,869,14757,153,"https://t.co/YleaqdcAN8","The latest on sewage spills in Pinellas County: a lawsuit filed by environmental advocates against the city of Largo. They are particularly concerned with pollutants getting into Old Tampa Bay. https://t.co/jl2vIZJvC5"
"25","@AllenLEllison @firefly909 Stop the dumping of millons of gallons of raw sewage into our waterways. Hillsborough, Pasco &amp; Pinellas repeat offenders. Don't want to see anymore beaches closed due to ""too much human waste."". ","en",FALSE,"1350475182113239044",2021-01-16 16:09:08,"1350271169283432448","1299696411563511808","everyone","25919401","Florida Gulf Coast ","2020-08-29T13:12:38.000Z","BHardballer","Bobby Ray Hardballer","https://pbs.twimg.com/profile_images/1299698397985861636/G-u9LxlT_normal.jpg",FALSE,FALSE,"Retired FamLaw. cancer survivor. Home invasion survivor. 
USAF medic '69-72. 
Alumni ECU, FSU & STCLaw. 
Democrat BLUE across the board. 
Hates liars & thieves.","1339912474628415489",1,0,2,0,0,NA,1032,1779,4180,1,NA,"@AllenLEllison @firefly909 Stop the dumping of millons of gallons of raw sewage into our waterways. Hillsborough, Pasco &amp; Pinellas repeat offenders. Don't want to see anymore beaches closed due to ""too much human waste."""
"26","RT @BHardballer: @AllenLEllison @firefly909 Stop the dumping of millons of gallons of raw sewage into our waterways. Hillsborough, Pasco &amp;…","en",FALSE,"1350501951092363264",2021-01-16 17:55:30,"1350501951092363264","241563938","everyone",NA,"United States","2011-01-22T15:37:51.000Z","firefly909","💛Kristi Kho","https://pbs.twimg.com/profile_images/1608539273757855746/ePdRVFAj_normal.jpg",FALSE,FALSE,"Unapologetic bleeding heart liberal. Hate liars, bigots, and thieves. I will always resist! NO DM’s 🚫 #BLM #StopAsianHate @motherearth909 on Post",NA,1,0,0,0,0,NA,18134,19825,210343,15,NA,"@AllenLEllison @firefly909 Stop the dumping of millons of gallons of raw sewage into our waterways. Hillsborough, Pasco &amp; Pinellas repeat offenders. Don't want to see anymore beaches closed due to ""too much human waste."""
"27","@santiagomayer_ Um..yeah, didn't FL dump a bunch of sewage into the Gulf in like May? Big surprise eh?
. https   wusfnews wusf usf edu environment 2021 06 13 health alert issued in pinellas as red tide spreads north along coast","en",FALSE,"1411523582274924547",2021-07-04 03:13:41,"1411197882418536456","920112543078629376","everyone","4327127414",NA,"2017-10-17T02:21:39.000Z","KimSalsman","Kim Salsman","https://pbs.twimg.com/profile_images/1598461288849412096/jrbUPaHm_normal.jpg",FALSE,FALSE,"You can easily judge the character of a man by the way he treats those who can do nothing for him.",NA,0,0,0,0,0,NA,1150,1095,32281,1,NA,"@santiagomayer_ Um..yeah, didn't FL dump a bunch of sewage into the Gulf in like May? Big surprise eh?
https://t.co/UNwD0nRtSm"
"28","Tampa Bay Area spewed 
😣sewage 
😣wastewater
😣“Industrial reuse water”
 
Florida has an infrastructure crisis, #ClimateCrisis, and leadership problem. Welcome back from Texas Ron.

#BuildBackBetterFL 
give the GQP ""deregathons"" a pass.

#DemCastFL #ONEV1
 . https   www wfla com news pinellas county 13000 gallons of raw sewage discharged into smacks bayou in pinellas county. https   twitter com bruceritchie status 1417841385919680519","en",FALSE,"1417866029544390667",2021-07-21 15:16:18,"1417866029544390667","1161269334188183553","everyone",NA,"Key West, Florida","2019-08-13T13:32:39.000Z","DemsKeys","FloridaKeysDems DemCastFL Lead ☮️ OVFL💔","https://pbs.twimg.com/profile_images/1161271342190268417/CXDmrVyj_normal.png",FALSE,FALSE,"True Blue #OneV1 Z25 #DemCast #NDLB #FL26 blog@keysdems.com https://t.co/T98HbQK4Gd… https://t.co/AroIFD6RqR
New! KeysDems@Masto.ai","1592263868281393152",25,6,23,2,0,NA,9908,9554,64541,47,"https://t.co/mdvUNArmgu","Tampa Bay Area spewed 
😣sewage 
😣wastewater
😣“Industrial reuse water”
 
Florida has an infrastructure crisis, #ClimateCrisis, and leadership problem. Welcome back from Texas Ron.

#BuildBackBetterFL 
give the GQP ""deregathons"" a pass.

#DemCastFL #ONEV1
https://t.co/idzykpgUXT https://t.co/7JPJvCkN0y"
"29","RT @DemsKeys: Tampa Bay Area spewed 
😣sewage 
😣wastewater
😣“Industrial reuse water”
 
Florida has an infrastructure crisis, #ClimateCrisis,…","en",FALSE,"1417866487549857799",2021-07-21 15:18:07,"1417866487549857799","937146402291044352","everyone",NA,"Florida, USA","2017-12-03T02:28:08.000Z","cutrightest","cutrightest","https://pbs.twimg.com/profile_images/1562880090974916608/eF7veJLJ_normal.jpg",FALSE,FALSE,"design/make garments, copper things & live with 2 black cats- 1 insists on being called mr tibbs. we're curious, not always well behaved, +practice fierce love",NA,25,0,0,0,0,NA,253,414,17149,1,NA,"Tampa Bay Area spewed 
😣sewage 
😣wastewater
😣“Industrial reuse water”
 
Florida has an infrastructure crisis, #ClimateCrisis, and leadership problem. Welcome back from Texas Ron.

#BuildBackBetterFL 
give the GQP ""deregathons"" a pass.

#DemCastFL #ONEV1
https://t.co/idzykpgUXT https://t.co/7JPJvCkN0y"
"30","RT @DemsKeys: Tampa Bay Area spewed 
😣sewage 
😣wastewater
😣“Industrial reuse water”
 
Florida has an infrastructure crisis, #ClimateCrisis,…","en",FALSE,"1417866536849641477",2021-07-21 15:18:19,"1417866536849641477","2460279166","everyone",NA,"somewhere in the woods","2014-04-04T16:08:52.000Z","tizzywoman","Justice Seeker 🗽 ☮️ ~ Keep moving forward","https://pbs.twimg.com/profile_images/1614694603596218368/aboapvqS_normal.png",FALSE,FALSE,"Spreading light & truth. 💫 #TheNationalInspirer #MorningVibe #DemCast #WomensRightsAreHumanRights 💙 I’m tizzywoman here, there, everywhere! 😎","1434999208428331013",25,0,0,0,0,NA,47336,28920,135443,28,NA,"Tampa Bay Area spewed 
😣sewage 
😣wastewater
😣“Industrial reuse water”
 
Florida has an infrastructure crisis, #ClimateCrisis, and leadership problem. Welcome back from Texas Ron.

#BuildBackBetterFL 
give the GQP ""deregathons"" a pass.

#DemCastFL #ONEV1
https://t.co/idzykpgUXT https://t.co/7JPJvCkN0y"
"31","@DemsKeys it amazes me how much of florida is on private septic system. no public sewer infrastructure. isnt this an environmental problem?","en",FALSE,"1417866807780823041",2021-07-21 15:19:24,"1417866029544390667","937146402291044352","everyone","1161269334188183553","Florida, USA","2017-12-03T02:28:08.000Z","cutrightest","cutrightest","https://pbs.twimg.com/profile_images/1562880090974916608/eF7veJLJ_normal.jpg",FALSE,FALSE,"design/make garments, copper things & live with 2 black cats- 1 insists on being called mr tibbs. we're curious, not always well behaved, +practice fierce love",NA,0,2,3,0,0,NA,253,414,17149,1,NA,NA
"32","RT @DemsKeys: Tampa Bay Area spewed 
😣sewage 
😣wastewater
😣“Industrial reuse water”
 
Florida has an infrastructure crisis, #ClimateCrisis,…","en",FALSE,"1417867161641574411",2021-07-21 15:20:48,"1417867161641574411","33590010","everyone",NA,"Florida","2009-04-20T17:26:55.000Z","MarilouGeorge","FloridaDem☮️","https://pbs.twimg.com/profile_images/1522210792363503617/yXGP2fic_normal.jpg",FALSE,FALSE,"I am a Proud Biden Democrat! No DMs 🌊 💔 
#DemVoice1",NA,25,0,0,0,0,NA,12184,11505,212733,256,NA,"Tampa Bay Area spewed 
😣sewage 
😣wastewater
😣“Industrial reuse water”
 
Florida has an infrastructure crisis, #ClimateCrisis, and leadership problem. Welcome back from Texas Ron.

#BuildBackBetterFL 
give the GQP ""deregathons"" a pass.

#DemCastFL #ONEV1
https://t.co/idzykpgUXT https://t.co/7JPJvCkN0y"
"33","@cutrightest Definitely; especially as there are no state inspections or laws to have them regularly pumped out.","en",FALSE,"1417867627066712065",2021-07-21 15:22:39,"1417866029544390667","1161269334188183553","everyone","937146402291044352","Key West, Florida","2019-08-13T13:32:39.000Z","DemsKeys","FloridaKeysDems DemCastFL Lead ☮️ OVFL💔","https://pbs.twimg.com/profile_images/1161271342190268417/CXDmrVyj_normal.png",FALSE,FALSE,"True Blue #OneV1 Z25 #DemCast #NDLB #FL26 blog@keysdems.com https://t.co/T98HbQK4Gd… https://t.co/AroIFD6RqR
New! KeysDems@Masto.ai","1592263868281393152",0,1,1,0,0,NA,9908,9554,64541,47,"https://t.co/mdvUNArmgu",NA
"34","RT @DemsKeys: Tampa Bay Area spewed 
😣sewage 
😣wastewater
😣“Industrial reuse water”
 
Florida has an infrastructure crisis, #ClimateCrisis,…","en",FALSE,"1417868140529258501",2021-07-21 15:24:42,"1417868140529258501","1122540879162617856","everyone",NA,"Florida, USA","2019-04-28T16:39:36.000Z","eileenvan55","@Eileenvan55 💔 Eileen to the left 😷","https://pbs.twimg.com/profile_images/1575945408664174648/PlWcK-Ah_normal.jpg",FALSE,FALSE,"Liberal AF 🚫Citizens United, I’m Antifa Pro-choice #JusticeMatters Fighting disinformation, #RadicalRacistReich women’s liberties should not be in courts 🚫DMs","1371975661737418763",25,0,0,0,0,NA,14212,14167,124279,26,"https://t.co/x0DTbWYZ6q","Tampa Bay Area spewed 
😣sewage 
😣wastewater
😣“Industrial reuse water”
 
Florida has an infrastructure crisis, #ClimateCrisis, and leadership problem. Welcome back from Texas Ron.

#BuildBackBetterFL 
give the GQP ""deregathons"" a pass.

#DemCastFL #ONEV1
https://t.co/idzykpgUXT https://t.co/7JPJvCkN0y"
