"","text","conversation_id","author_id","lang","id","created_at.x","in_reply_to_user_id","reply_settings","possibly_sensitive","protected","verified","username","created_at.y","description","url","location","name","profile_image_url","geo_place_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","pinned_tweet_id"
"1","Get that algae 😎 #SuckerFish #PlecosAreCool… https://t.co/VJkcvPpsZa","963894417802350592","68295061","en","963894417802350592",2018-02-14 21:55:12,NA,"everyone",FALSE,FALSE,FALSE,"ChrisDubbsFit","2009-08-24T01:51:26.000Z","Resident DJ/MC at Score's Tampa. Personal Trainer. Power-bodybuilder and Fighting Artist. Modern Day Transcendentalist.",NA,"Tampa, FL","Christopher Dubbs","https://pbs.twimg.com/profile_images/687733171782316033/eJhpiMz3_normal.jpg","dc62519fda13b4ec",0,0,0,0,0,73,10,4508,46,NA
"2","Dog days of summer have begun and since I have to sit around and check the algae one an hour, I decided to hang me a hammock and chill. Now if I could just get A/C https://t.co/PdcdlsM9bh","1006618572934787072","3407500768","en","1006618572934787072",2018-06-12 19:25:44,NA,"everyone",FALSE,FALSE,FALSE,"PDSKirk","2015-08-07T16:48:29.000Z","Full time ag-worker, husband, and father. Part time gamer, pontificator, podcast host, and social media manager of the podcast discovery show.","https://t.co/AsHiFf19Ha","Plant City, FL","The PDS Kirk Griffin","https://pbs.twimg.com/profile_images/1353424724471111680/L0rpr7i7_normal.jpg","5a5924d17d76eb63",0,1,2,0,0,280,663,5386,9,NA
"3","@PDSKirk leave the fridge open 😅","1006618572934787072","754361093783375872","en","1006675198014296064",2018-06-12 23:10:44,"3407500768","everyone",FALSE,FALSE,FALSE,"TwisDitter","2016-07-16T17:04:35.000Z","General love of all things Disney, but mainly on here to complain about complaints and the common Distwitter Smart-Assary.",NA,NA,"Tay Wild","https://pbs.twimg.com/profile_images/1371836889536339969/rvXUm6Kt_normal.jpg",NA,0,1,1,0,0,203,664,4021,0,"971188508613398528"
"4","@WildBoutDisney I wish that would work","1006618572934787072","3407500768","en","1006675517305704454",2018-06-12 23:12:01,"754361093783375872","everyone",FALSE,FALSE,FALSE,"PDSKirk","2015-08-07T16:48:29.000Z","Full time ag-worker, husband, and father. Part time gamer, pontificator, podcast host, and social media manager of the podcast discovery show.","https://t.co/AsHiFf19Ha","Plant City, FL","The PDS Kirk Griffin","https://pbs.twimg.com/profile_images/1353424724471111680/L0rpr7i7_normal.jpg","5a5924d17d76eb63",0,0,0,0,0,280,663,5386,9,NA
"5","@Kokomothegreat Lol -red wave is an algae scum bloom that's toxic.","1007825809804062722","330345047","en","1007955442608287745",2018-06-16 11:57:59,"881336677138128897","everyone",FALSE,FALSE,FALSE,"PamManos","2011-07-06T13:42:55.000Z","",NA,"Tampa","Pam","https://pbs.twimg.com/profile_images/1429080971/Pam_normal.jpg","dc62519fda13b4ec",0,0,1,0,0,676,4551,69248,0,NA
"6","The Democrats have the Blue Wave. To combat the our Blue Wave some dumbass MAGAt's come up with the RED TIDE. Red Tide kills fish and stinks so bad that it causes respiratory problems for some people. Just Say No to MAGA. Friends Don't Let Friends Vote Republican. ✌ https://t.co/kEu2YCDEt7","1008482831696310273","918601320977895424","en","1008482831696310273",2018-06-17 22:53:38,NA,"everyone",FALSE,FALSE,FALSE,"PLashley6","2017-10-12T22:16:36.000Z","Florida Freethinker, Doesn't Obey Well. 
Volunteer of America, Sometimes Obscene. All Lives Matter 🌎 ✌ 
#FBR #PRU",NA,"Tampa, FL","PhillipLashley6","https://pbs.twimg.com/profile_images/977674350462685188/1KZmCmhD_normal.jpg","01af119d415cd7d2",0,0,0,0,0,3837,4251,15243,1,"1053292727302045696"
"7","HEADS UP, BEACHGOERS! Multiple Tampa Bay area beaches affected by red tide bloom. https://t.co/M976VdLBfb #tampabay","1009917707142270978","18753503","en","1009917707142270978",2018-06-21 21:55:19,NA,"everyone",FALSE,FALSE,FALSE,"coreydavis6abc","2009-01-08T04:25:03.000Z","📺 Reporter @6abc","https://t.co/6OczQSSujA","Philadelphia, PA","Corey Davis","https://pbs.twimg.com/profile_images/1510626917371813894/UCchI5Q3_normal.jpg","dc62519fda13b4ec",1,0,0,0,0,4291,4472,11147,104,"1510626972220727305"
"8","For anyone who wants to criticize why Floridians are angry about our water policies see this:
https://t.co/PzK31dvmKP","1013033211918802946","1154837329","en","1013033211918802946",2018-06-30 12:15:13,NA,"everyone",FALSE,FALSE,TRUE,"TCPalmEKiller","2013-02-06T19:08:21.000Z","@TCPalm \ Nice hat, Harry","https://t.co/ABGDRmgULg","Treasure Coast","Ed Killer","https://pbs.twimg.com/profile_images/1615004242246344704/_5Vtr4SE_normal.jpg","dc62519fda13b4ec",3,1,3,0,0,3023,1333,38985,104,"1574843808675774465"
"9","I so shame. Florida Algae blooms. Many of us env engs work on nutrient management here. Politics we fear. The audacity to tell other places we are leaders on this. @UF @orwrp @Commander_Cero @USouthFlorida @AEESProfs @USF_Reclaim @jenstaletovich https://t.co/Jz3983fxua","1013401209313603584","26883873","en","1013401209313603584",2018-07-01 12:37:31,NA,"everyone",FALSE,FALSE,FALSE,"matrotz","2009-03-26T23:18:17.000Z","everyday person. educator. environmental engineer. Professor, USF; Past President, AEESP; Board Member, Fragments of Hope Corp. Views are mine alone.","https://t.co/lH030ffTqI","Tampa, FL","Maya Trotz","https://pbs.twimg.com/profile_images/1567502537921536001/uFjfLKEj_normal.jpg","074d5ce471c43508",2,0,4,0,0,1974,2097,7442,44,"1312260476781424640"
"10","Should we feel better or worst that it's not just #Florida? #ToxicAlgae https://t.co/jpeXUIQgQD","1017241856508334081","51509822","en","1017241856508334081",2018-07-12 02:58:52,NA,"everyone",FALSE,FALSE,TRUE,"DinahVP","2009-06-27T18:16:00.000Z","Climate / environment reporter. Mom & daughter of veterans. Crazy Grandma.",NA,"Florida, US","Dinah Voyles Pulver","https://pbs.twimg.com/profile_images/790425368851197952/3FBqZZbR_normal.jpg","dc62519fda13b4ec",0,0,1,0,0,4297,2082,39957,198,NA
