"","text","lang","author_id","possibly_sensitive","id","conversation_id","reply_settings","created_at.x","in_reply_to_user_id","username","created_at.y","protected","description","verified","location","profile_image_url","name","url","pinned_tweet_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","geo_place_id","text_with_display_links"
"1","Broken pipe sends raw sewage into the Manatee River . https   www bradenton com news local article212334479 html","en","19344401",FALSE,"1002607555590443008","1002607555590443008","everyone",2018-06-01 17:47:23,NA,"bradentonherald","2009-01-22T16:00:14.000Z",FALSE,"The leading source for local news, sports and information in Bradenton, Florida, Lakewood Ranch, Palmetto, Ellenton and all of Manatee County.",TRUE,"Bradenton, Florida","https://pbs.twimg.com/profile_images/1422199020395577348/BNoyXuoP_normal.jpg","Bradenton Herald","https://t.co/KwY6u39gya",NA,1,0,0,1,0,44588,1505,140219,544,NA,"Broken pipe sends raw sewage into the Manatee River https://t.co/SaRDa3Orqh"
"2","RT @bradentonherald: Broken pipe sends raw sewage into the Manatee River https://t.co/SaRDa3Orqh","en","13058782",FALSE,"1002607602134650881","1002607602134650881","everyone",2018-06-01 17:47:34,NA,"wmnfnews","2008-02-04T18:22:04.000Z",FALSE,"WMNF Community Radio news from #Tampa, #StPete, Sarasota #Florida & beyond. Tweets by WMNF News and Public Affairs Director Seán Kinane. he/him",TRUE,"Tampa, FL USA","https://pbs.twimg.com/profile_images/1519035778059358217/mUPjQqsF_normal.jpg","Seán Kinane WMNF","https://t.co/bUWYk8x2JM","1380000214661136388",1,0,0,0,0,6627,2471,74218,358,NA,"Broken pipe sends raw sewage into the Manatee River https://t.co/SaRDa3Orqh"
"3","Manasota88

PALMA SOLA BAY SEWAGE SPILLS

How much pollution can one waterway hold? Apparently, the City of Bradenton intends to find out.  Palma Sola Bay has the unfortunate distinction of being known as one of the... . https   www facebook com EcoVoice org posts 1945286985494976","en","3323529387",FALSE,"1008570845583826944","1008570845583826944","everyone",2018-06-18 04:43:22,NA,"eco_voice","2015-06-13T20:03:03.000Z",FALSE,"A non-partisan, independent, volunteer run org, which endeavors to communicate multiple positions on important environmental issues effecting south Florida.",FALSE,"South Florida","https://pbs.twimg.com/profile_images/638127626402402304/Z71sdYyG_normal.jpg","Eco-Voice","http://t.co/73f8BdQGYP",NA,0,0,0,0,0,304,616,14115,7,NA,"Manasota88

PALMA SOLA BAY SEWAGE SPILLS

How much pollution can one waterway hold? Apparently, the City of Bradenton intends to find out.  Palma Sola Bay has the unfortunate distinction of being known as one of the... https://t.co/ZQDAK8SjpQ"
"4","This is Clark Spring Lake on Anna Maria Island. The lake used to be crystal clear until a sewage spill back in 2015. Home owners are still frustrated with the situation, 3 years later. Reporter Rick Adams will be live tonight at 6pm with details. @mysuncoast . https   twitter com SammiWWSB status 1014980598149079041 photo 1","en","979718637299929088",FALSE,"1014980598149079041","1014980598149079041","everyone",2018-07-05 21:13:26,NA,"SammiBPhoto","2018-03-30T13:55:00.000Z",FALSE,"📸 Absolutely adore capturing memories for others. See more work on the gram ⇩",FALSE,"Sarasota, FL","https://pbs.twimg.com/profile_images/1519121464666083330/ih5WLmNS_normal.jpg","Sammi Battista","https://t.co/th63VYvcq2",NA,1,0,5,0,0,221,154,584,2,"07d9e4be17c82005","This is Clark Spring Lake on Anna Maria Island. The lake used to be crystal clear until a sewage spill back in 2015. Home owners are still frustrated with the situation, 3 years later. Reporter Rick Adams will be live tonight at 6pm with details. @mysuncoast https://t.co/UUBQ8NyvEL"
"5","RT @SammiWWSB: This is Clark Spring Lake on Anna Maria Island. The lake used to be crystal clear until a sewage spill back in 2015. Home ow…","en","9581122",FALSE,"1014983961796366338","1014983961796366338","everyone",2018-07-05 21:26:48,NA,"mysuncoast","2007-10-21T15:57:27.000Z",FALSE,"ABC7 is the news leader in Sarasota/Manatee counties. News tip? 941-923-6397 or news@mysuncoast.com. Share pics/vids with us thru https://t.co/w4B9r5SLV1",TRUE,"Sarasota, Florida","https://pbs.twimg.com/profile_images/1012040604619034624/Rcn4ySrr_normal.jpg","ABC7 Sarasota","http://t.co/nQUeAxZ5Ke",NA,1,0,0,0,0,67054,855,89769,690,NA,"This is Clark Spring Lake on Anna Maria Island. The lake used to be crystal clear until a sewage spill back in 2015. Home owners are still frustrated with the situation, 3 years later. Reporter Rick Adams will be live tonight at 6pm with details. @mysuncoast https://t.co/UUBQ8NyvEL"
"6","Residents on Holmes Beach still concerned about water quality after a sewage spill on Spring Lake 3 years ago @abcactionnews . https   twitter com JakePetersonTV status 1054799425774739456 photo 1","en","822182485",FALSE,"1054799425774739456","1054799425774739456","everyone",2018-10-23 18:19:14,NA,"JakePetersonTV","2012-09-13T21:02:19.000Z",FALSE,"News Director WXLV",FALSE,"Gainesville, FL","https://pbs.twimg.com/profile_images/1133902818249777157/M31RV_--_normal.jpg","Jake Peterson","https://t.co/ODObVOalxt",NA,0,0,1,0,0,768,811,1418,26,NA,"Residents on Holmes Beach still concerned about water quality after a sewage spill on Spring Lake 3 years ago @abcactionnews https://t.co/fJwofYCn7P"
"7","#GoodMorningSuncoast! Here are your Wednesday headlines:

- 80,000 gal of wastewater spill into stormwater drains, Wares Creek in #Bradenton
- Diving deeper into investigation of Manatee Co. Superintendent Cynthia Saunders
- Recap of Pres Trump's border wall address

@mysuncoast. ","en","3105087901",FALSE,"1082934159591510016","1082934159591510016","everyone",2019-01-09 09:36:38,NA,"JessDoudrick","2015-03-23T15:59:22.000Z",FALSE,"Comm Director @american_heart covering NE Ohio. Retired anchor/reporter for @mysuncoast in #Sarasota & @jet24fox66 in #Erie. York, PA native. @eagles fan.",TRUE,"Cleveland, OH","https://pbs.twimg.com/profile_images/1062406118822080512/IFOf0OaE_normal.jpg","Jessica Smylie","https://t.co/VVBfSzAeLW",NA,3,0,1,0,0,1217,703,6761,27,NA,"#GoodMorningSuncoast! Here are your Wednesday headlines:

- 80,000 gal of wastewater spill into stormwater drains, Wares Creek in #Bradenton
- Diving deeper into investigation of Manatee Co. Superintendent Cynthia Saunders
- Recap of Pres Trump's border wall address

@mysuncoast"
"8","RT @JessDoudrick: #GoodMorningSuncoast! Here are your Wednesday headlines:

- 80,000 gal of wastewater spill into stormwater drains, Wares…","en","14769495",FALSE,"1082934909356912646","1082934909356912646","everyone",2019-01-09 09:39:37,NA,"KEBrightbill","2008-05-14T05:13:30.000Z",FALSE,"Sometimes writer | Precinct Committeeperson @DemocratManatee | #GatorNation 🐊 | Pronouns: Any, just be respectful🌈 | Opinions mine |

#GoBolts #GoBucs #RaysUp",FALSE,"Florida, USA","https://pbs.twimg.com/profile_images/1538080167272230913/InfhMtw0_normal.png","Kathryn Brightbill 🖋️ (Parody?)",NA,"1604545367911055360",3,0,0,0,0,10881,3633,333787,165,NA,"#GoodMorningSuncoast! Here are your Wednesday headlines:

- 80,000 gal of wastewater spill into stormwater drains, Wares Creek in #Bradenton
- Diving deeper into investigation of Manatee Co. Superintendent Cynthia Saunders
- Recap of Pres Trump's border wall address

@mysuncoast"
"9","RT @JessDoudrick: #GoodMorningSuncoast! Here are your Wednesday headlines:

- 80,000 gal of wastewater spill into stormwater drains, Wares…","en","9581122",FALSE,"1082937280715730945","1082937280715730945","everyone",2019-01-09 09:49:02,NA,"mysuncoast","2007-10-21T15:57:27.000Z",FALSE,"ABC7 is the news leader in Sarasota/Manatee counties. News tip? 941-923-6397 or news@mysuncoast.com. Share pics/vids with us thru https://t.co/w4B9r5SLV1",TRUE,"Sarasota, Florida","https://pbs.twimg.com/profile_images/1012040604619034624/Rcn4ySrr_normal.jpg","ABC7 Sarasota","http://t.co/nQUeAxZ5Ke",NA,3,0,0,0,0,67054,855,89769,690,NA,"#GoodMorningSuncoast! Here are your Wednesday headlines:

- 80,000 gal of wastewater spill into stormwater drains, Wares Creek in #Bradenton
- Diving deeper into investigation of Manatee Co. Superintendent Cynthia Saunders
- Recap of Pres Trump's border wall address

@mysuncoast"
"10","And yet another 80,000 gallons of raw sewage is dumped into Florida's waterways.
Just another day in Florida...
Take a dump here... Take a dump there... Here a dump... There a dump... Everywhere a dump - dump...E, I, E, I, Oh FLORIDA. . http   www mysuncoast com 2019 01 08 around gallons wastewater enters wares creek bradenton following force main break","en","90986529",FALSE,"1083153327683239943","1083153327683239943","everyone",2019-01-10 00:07:31,NA,"towallac","2009-11-18T23:33:45.000Z",FALSE,"",FALSE,NA,"https://pbs.twimg.com/profile_images/1239487935621353472/oJwoxgSS_normal.jpg","Tom Wallace",NA,NA,0,0,0,0,0,44,95,33190,3,NA,"And yet another 80,000 gallons of raw sewage is dumped into Florida's waterways.
Just another day in Florida...
Take a dump here... Take a dump there... Here a dump... There a dump... Everywhere a dump - dump...E, I, E, I, Oh FLORIDA. https://t.co/10x1hLD5Kv"
"11","Bradenton, Florida Today - Massive wad of baby wipes clogs #Bradenton #sewage pipe, causing spill
There's a smell in the air around Wares Creek in Bradenton, and it's not a good one. . http   www fox13news com news local news massive wad of baby wipes clogs bradenton sewage pipe causing water main break","en","30710984",FALSE,"1084209929941065728","1084209929941065728","everyone",2019-01-12 22:06:05,NA,"QueegRides","2009-04-12T20:05:42.000Z",FALSE,"The Mighty Queeg has polished his balls and is ready for battle.",FALSE,"Mississippi River, LA","https://pbs.twimg.com/profile_images/1575703602030575624/8JJOGC7W_normal.jpg","Queeg Rides Again",NA,NA,0,0,0,0,0,1945,3098,58463,210,NA,"Bradenton, Florida Today - Massive wad of baby wipes clogs #Bradenton #sewage pipe, causing spill
There's a smell in the air around Wares Creek in Bradenton, and it's not a good one. https://t.co/dC7O2A7M5v"
"12","Back in 2015, more than 22,000 gallons of raw sewage dumped into the lake after a Manatee County storm pipe collapsed. . https   www mysuncoast com 2019 02 05 polluted lake holmes beach will see cleanup near future","en","9581122",FALSE,"1092818684337418240","1092818684337418240","everyone",2019-02-05 16:14:12,NA,"mysuncoast","2007-10-21T15:57:27.000Z",FALSE,"ABC7 is the news leader in Sarasota/Manatee counties. News tip? 941-923-6397 or news@mysuncoast.com. Share pics/vids with us thru https://t.co/w4B9r5SLV1",TRUE,"Sarasota, Florida","https://pbs.twimg.com/profile_images/1012040604619034624/Rcn4ySrr_normal.jpg","ABC7 Sarasota","http://t.co/nQUeAxZ5Ke",NA,0,0,0,0,0,67054,855,89769,690,NA,"Back in 2015, more than 22,000 gallons of raw sewage dumped into the lake after a Manatee County storm pipe collapsed. https://t.co/FyZUxfQVQc"
"13","On Friday, a contractor hit a sewer line at 5250 Gulf of Mexico Drive on Longboat Key at about 7:30 p.m. resulting in a spill of less than 1,000 gallons of wastewater. Repairs will be completed by Wednesday. The spill has been plugged and bypassed.. ","en","21992035",FALSE,"1100094628311810048","1100094628311810048","everyone",2019-02-25 18:06:12,NA,"ReadCarlos","2009-02-26T08:55:50.000Z",FALSE,"Digital & audience engagement editor @Globe_RI (@BostonGlobe). 
🐶 Ewok Duke. 
🐮 WI native. 
🐘 @rhodeisland@newsie.social",TRUE,"⚓ Cumberland, RI ","https://pbs.twimg.com/profile_images/1611079726767955980/Jq6x5xmU_normal.jpg","Carlos R. Munoz 📰","https://t.co/XWTXNo6tNp",NA,1,0,1,0,0,3375,1856,40379,97,NA,"On Friday, a contractor hit a sewer line at 5250 Gulf of Mexico Drive on Longboat Key at about 7:30 p.m. resulting in a spill of less than 1,000 gallons of wastewater. Repairs will be completed by Wednesday. The spill has been plugged and bypassed."
"14","Most of a million-gallon sewage spill in Bradenton leaked into Sarasota Bay, state says . https   www bradenton com news local article243237076 html","en","19344401",FALSE,"1268244515636338691","1268244515636338691","everyone",2020-06-03 18:13:50,NA,"bradentonherald","2009-01-22T16:00:14.000Z",FALSE,"The leading source for local news, sports and information in Bradenton, Florida, Lakewood Ranch, Palmetto, Ellenton and all of Manatee County.",TRUE,"Bradenton, Florida","https://pbs.twimg.com/profile_images/1422199020395577348/BNoyXuoP_normal.jpg","Bradenton Herald","https://t.co/KwY6u39gya",NA,3,0,1,0,0,44588,1505,140219,544,NA,"Most of a million-gallon sewage spill in Bradenton leaked into Sarasota Bay, state says https://t.co/UpCoHvKO5b"
"15","RT @bradentonherald: Most of a million-gallon sewage spill in Bradenton leaked into Sarasota Bay, state says https://t.co/UpCoHvKO5b","en","14799343",FALSE,"1268248147769405441","1268248147769405441","everyone",2020-06-03 18:28:15,NA,"nicolexann","2008-05-16T14:30:29.000Z",FALSE,"I basically use this account just to roast people",FALSE,NA,"https://pbs.twimg.com/profile_images/1297621644060614660/tF7LAL8c_normal.jpg","Nicole Ann","https://t.co/JOOoYBgVrA","1493951757013110799",3,0,0,0,0,250,503,3467,17,NA,"Most of a million-gallon sewage spill in Bradenton leaked into Sarasota Bay, state says https://t.co/UpCoHvKO5b"
"16","RT @bradentonherald: Most of a million-gallon sewage spill in Bradenton leaked into Sarasota Bay, state says https://t.co/UpCoHvKO5b","en","991392138331066370",FALSE,"1268256900862349313","1268256900862349313","everyone",2020-06-03 19:03:02,NA,"jakedwelderx3","2018-05-01T19:01:19.000Z",FALSE,"#BubbaArmy",FALSE,NA,"https://pbs.twimg.com/profile_images/1402464095601889287/gKGT_iTf_normal.jpg","Jake D Welder",NA,NA,3,0,0,0,0,390,786,11325,2,NA,"Most of a million-gallon sewage spill in Bradenton leaked into Sarasota Bay, state says https://t.co/UpCoHvKO5b"
