"","text","id","in_reply_to_user_id","possibly_sensitive","created_at.x","conversation_id","reply_settings","author_id","lang","verified","created_at.y","name","username","profile_image_url","protected","description","location","pinned_tweet_id","url","geo_place_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","text_with_display_links"
"341","RT @TroyKinsey: 11 years after overseeing FL's response to the Deepwater Horizon oil spill as governor, @CharlieCrist is asking that @NOAA…","1382380598485004288",NA,FALSE,2021-04-14 17:09:52,"1382380598485004288","everyone","2414913756","en",FALSE,"2014-03-27T21:29:48.000Z","Le Chat Biden Democrat","LeChatNoire4","https://pbs.twimg.com/profile_images/1044311228661694464/8WGI5ptD_normal.jpg",FALSE,"#VOTE BLUE 2022 🌊🇺🇸🌊 #BuyARepublicanToday! no DM’s","Florida","1222268511134896129",NA,NA,6,0,0,0,0,14164,13553,1097593,336,"11 years after overseeing FL's response to the Deepwater Horizon oil spill as governor, @CharlieCrist is asking that @NOAA monitor Tampa Bay for toxic algae blooms triggered by #PineyPoint: ""While we pray for the best, we should treat this disaster with the gravity it deserves."""
"342","RT @TroyKinsey: 11 years after overseeing FL's response to the Deepwater Horizon oil spill as governor, @CharlieCrist is asking that @NOAA…","1382383010725564418",NA,FALSE,2021-04-14 17:19:27,"1382383010725564418","everyone","1007711863159705600","en",FALSE,"2018-06-15T19:50:05.000Z","K. Manson","KManson7","https://pbs.twimg.com/profile_images/1542924005371310080/sgJdwHj8_normal.jpg",FALSE,"Have been in Covid Hell, not active too much on Twitter. STAY BLUE!!! Thank you to all my followers that are still following, appreciate you ❤️"," Southern California",NA,NA,NA,6,0,0,0,0,1819,3774,131691,11,"11 years after overseeing FL's response to the Deepwater Horizon oil spill as governor, @CharlieCrist is asking that @NOAA monitor Tampa Bay for toxic algae blooms triggered by #PineyPoint: ""While we pray for the best, we should treat this disaster with the gravity it deserves."""
"343","The power they buy gives them impunity. Only one @FLHarborPilots has ever lost his license. 

He had a 26-year accident-history.

His pink slip came only after a 3-ship collision in Tampa Bay caused an oil spill that cost #Florida $50 million to clean up. . https   www tampabay com archive 1996 10 11 harbor pilot is first to lose license","1383081520743776257","1254146137201823746",FALSE,2021-04-16 15:35:05,"1383081515333062661","everyone","1254146137201823746","en",FALSE,"2020-04-25T20:32:01.000Z","Safer, Cleaner Ships","ProtectKeyWest","https://pbs.twimg.com/profile_images/1370229580519333888/wxeND4YJ_normal.jpg",FALSE,"Supporting the people of Key West, who voted overwhelmingly to limit large cruise ships in the Florida Keys. #NoBigShips #StopTheSilt","Key West, FL","1450988164240318465","https://t.co/YgScJOMxyY",NA,1,1,0,0,0,1583,710,2366,8,"The power they buy gives them impunity. Only one @FLHarborPilots has ever lost his license. 

He had a 26-year accident-history.

His pink slip came only after a 3-ship collision in Tampa Bay caused an oil spill that cost #Florida $50 million to clean up. https://t.co/3T8ndDUTuu"
"344","RT @ProtectkeyWest: The power they buy gives them impunity. Only one @FLHarborPilots has ever lost his license. 

He had a 26-year accident…","1383109609351737347",NA,FALSE,2021-04-16 17:26:42,"1383109609351737347","everyone","22367546","en",FALSE,"2009-03-01T14:44:46.000Z","Miguel Ritchie","KeyWestAuthor","https://pbs.twimg.com/profile_images/1607838270611677187/phefqqf4_normal.jpg",FALSE,"Historian, Cuban Revolution. Contributor, Havana Times & Cuba Business Report. Fidelista. Author, ""Blood of the Dragon Tree,"" Amazon.  #MAGA, Doge/Shiba Magnate","Key West",NA,NA,NA,1,0,0,0,0,1037,932,83646,55,"The power they buy gives them impunity. Only one @FLHarborPilots has ever lost his license. 

He had a 26-year accident-history.

His pink slip came only after a 3-ship collision in Tampa Bay caused an oil spill that cost #Florida $50 million to clean up. https://t.co/3T8ndDUTuu"
"345","In conjunction with the Tampa Bay Association of Environmental Professionals, for Earth Day yesterday Hull's took part in a different kind of cleanup. No oil spills, contaminated soils or chemical releases - just old fashioned litter removal! . https   twitter com Hulls_Env status 1385582935596802052 photo 1","1385582935596802052",NA,FALSE,2021-04-23 13:14:49,"1385582935596802052","everyone","914933349843693568","en",FALSE,"2017-10-02T19:21:24.000Z","Hull's Environmental","Hulls_Env","https://pbs.twimg.com/profile_images/1089968180246794243/yMxL0wU0_normal.jpg",FALSE,"Hull’s performs environmental services including emergency spill response, site remediation, waste transportation & disposal and industrial cleaning","Panama City, FL ",NA,"https://t.co/XWTtzeVPSX",NA,0,0,1,0,0,18,8,34,0,"In conjunction with the Tampa Bay Association of Environmental Professionals, for Earth Day yesterday Hull's took part in a different kind of cleanup. No oil spills, contaminated soils or chemical releases - just old fashioned litter removal! https://t.co/xY8KxLdPli"
"346","RT @debbieac26: @WFLAJustin @WFLA Ammonia, Nitrogen, Radioactive material= algae blooms, red tides, dead fish &amp; closed beaches.

HRK Holdin…","1385705789680193541",NA,FALSE,2021-04-23 21:23:00,"1385705789680193541","everyone","1309899055938572290","en",FALSE,"2020-09-26T16:54:26.000Z","INSIST PERSIST RESIST","Ann76498196","https://pbs.twimg.com/profile_images/1608981087186829313/BBFllklZ_normal.jpg",FALSE,"Feminist
Prochoice
Environmentalist
Protector of Animals 
The Resistance
GUN REFORM
God Bless our President Joe Biden !!!!!",NA,NA,NA,NA,2,0,0,0,0,976,4997,62885,4,"@WFLAJustin @WFLA Ammonia, Nitrogen, Radioactive material= algae blooms, red tides, dead fish &amp; closed beaches.

HRK Holdings were given a plan to clean this up back in 2003!
25 million gallons of fertilizer waste was just dumped into Tampa Bay!
This equates to an oil spill in the gulf!!
#Florida"
"347","@KathieYesitsme1 @Jo_IsABitch “Storm the Tampa Bay”?🤣🤣 Keep It, there’s been so many oil spills NOT cleaned up , but rather pushed down to ocean floor, go ahead, be a pirate in that Bay w dumb arse flag. ","1386368772349435910","1346922495123705856",FALSE,2021-04-25 17:17:27,"1386059566211756032","everyone","405047838","en",FALSE,"2011-11-04T19:44:10.000Z","ShopliftersOfTheWorldUnite","stacymiddleton1","https://pbs.twimg.com/profile_images/1410363512824553474/sCnaLadm_normal.jpg",FALSE,"lowly pleb. work&volunteer in my community of SF in Social Justice& Reentry. If it don’t makes sense, must make (somebody) dollars. now let’s get trump’s OUT✊🏽","California, USA",NA,NA,NA,0,0,0,0,0,706,2134,28456,5,"@KathieYesitsme1 @Jo_IsABitch “Storm the Tampa Bay”?🤣🤣 Keep It, there’s been so many oil spills NOT cleaned up , but rather pushed down to ocean floor, go ahead, be a pirate in that Bay w dumb arse flag"
"348","Ive just been looking around on the online into the Glazers and the Deepwater Horizon  compensation fund, I stumbled across a us football site 
. https   www epa gov enforcement deepwater horizon bp gulf mexico oil spill. https   thepewterplank com 2021 05 23 buccaneers julio jones rumors show tampas good fortune. https   www dailymail co uk news article 7073565 Court NFLs Bucs not entitled damages BP spill html","1397166837981458435",NA,FALSE,2021-05-25 12:25:06,"1397166837981458435","everyone","727584580765618176","en",FALSE,"2016-05-03T19:44:16.000Z","bolinger","bolingerbolshie","https://pbs.twimg.com/profile_images/1498626942475677700/0-trzydq_normal.jpg",FALSE,"#glazersout",NA,NA,NA,NA,0,0,0,0,0,84,111,8599,0,"Ive just been looking around on the online into the Glazers and the Deepwater Horizon https://t.co/RDSwICCkfC compensation fund, I stumbled across a us football site https://t.co/qI1O3lxEMP
https://t.co/crReCbgfrg"
"349","Tampa startup predicting oil spills nearly doubles its funding goal with $10M+ round - Tampa Bay Business Journal . https   www bizjournals com tampabay inno stories fundings 2021 06 22 tampa startup miqrotech raises more than 10m html","1407601753474879490",NA,FALSE,2021-06-23 07:29:44,"1407601753474879490","everyone","3070663272","en",FALSE,"2015-03-10T04:32:13.000Z","Trailer Fish","AppTrailerFish","https://pbs.twimg.com/profile_images/580038290574827521/6rtt3XqR_normal.png",FALSE,"App Trailers, App Previews, Promo Videos, Product Demos | Beautiful videos for any project. Just send us a link - we do the rest!","New York, NY",NA,"http://t.co/4ueRLjwjK9",NA,0,0,0,0,0,744,89,73572,114,"Tampa startup predicting oil spills nearly doubles its funding goal with $10M+ round - Tampa Bay Business Journal https://t.co/D9vmqT6yki"
"350","@kchoya @MollyJongFast And how was that building regulated since? And how was that building managing its sinking problem? And how much weight was allowed on that roof under repair? And how are things going with that *checks notes* Toxic spill in Tampa Bay? Gulf oil spills? Texas Hydro? Flint water?. ","1408895039707693064","91199624",FALSE,2021-06-26 21:08:48,"1408875456053624833","everyone","461808812","en",FALSE,"2012-01-12T06:37:22.000Z","Guy Fawkes News 🌻","xfishnutzx","https://pbs.twimg.com/profile_images/1376622825763667968/Xk6Z2Bil_normal.jpg",FALSE,"Reader Writer Thinker Spy 🇨🇦🇺🇸🇺🇦#BLM #StopAsianHate #Resistance #IStandWithTrudeau #BanAssaultWeapons 💉💉💉💉","The round earth. Not the flat.","1497468795224473605",NA,NA,0,5,0,0,0,2400,3523,54059,11,"@kchoya @MollyJongFast And how was that building regulated since? And how was that building managing its sinking problem? And how much weight was allowed on that roof under repair? And how are things going with that *checks notes* Toxic spill in Tampa Bay? Gulf oil spills? Texas Hydro? Flint water?"
"351","@AnaCabrera We also have an environmental disaster similar in scope to an oil spill happening in Tampa Bay . https   twitter com Jjo0326 status 1416133469147734020 photo 1","1416133469147734020","31565351",FALSE,2021-07-16 20:31:44,"1416071916528488450","everyone","223985316","en",FALSE,"2010-12-07T21:18:44.000Z","JohnsonJulie","Jjo0326","https://pbs.twimg.com/profile_images/2389713616/image_normal.jpg",FALSE,"",NA,NA,NA,NA,0,0,0,0,0,44,394,824,1,"@AnaCabrera We also have an environmental disaster similar in scope to an oil spill happening in Tampa Bay https://t.co/wnqx7TIg1N"
"352","@funder We also have an environmental disaster similar in scope to an oil spill happening in Tampa Bay and the governor is headed to Texas. . https   twitter com Jjo0326 status 1416133691961712652 photo 1","1416133691961712652","14247236",FALSE,2021-07-16 20:32:37,"1416086745188294663","everyone","223985316","en",FALSE,"2010-12-07T21:18:44.000Z","JohnsonJulie","Jjo0326","https://pbs.twimg.com/profile_images/2389713616/image_normal.jpg",FALSE,"",NA,NA,NA,NA,28,12,88,4,0,44,394,824,1,"@funder We also have an environmental disaster similar in scope to an oil spill happening in Tampa Bay and the governor is headed to Texas. https://t.co/AsQfAzycH7"
"353","RT @Jjo0326: @funder We also have an environmental disaster similar in scope to an oil spill happening in Tampa Bay and the governor is hea…","1416134207210987524",NA,FALSE,2021-07-16 20:34:40,"1416134207210987524","everyone","457711953","en",FALSE,"2012-01-07T18:41:32.000Z","Ex pat","Theknowingbrit","https://pbs.twimg.com/profile_images/1531763810855489536/iy0Ww9HS_normal.jpg",FALSE,"Banker and fintech expert. Sent to the US from the UK to educate. politicly neutral, lean towards the left; as I have a strong moral compass. Also an aging Mod","USA",NA,NA,NA,28,0,0,0,0,249,325,8088,1,"@funder We also have an environmental disaster similar in scope to an oil spill happening in Tampa Bay and the governor is headed to Texas. https://t.co/AsQfAzycH7"
"354","RT @Jjo0326: @funder We also have an environmental disaster similar in scope to an oil spill happening in Tampa Bay and the governor is hea…","1416136140214751236",NA,FALSE,2021-07-16 20:42:21,"1416136140214751236","everyone","900894056728940545","en",FALSE,"2017-08-25T01:34:15.000Z","Barbara","Barbara12689822","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png",FALSE,"",NA,NA,NA,NA,28,0,0,0,0,640,38,214004,3,"@funder We also have an environmental disaster similar in scope to an oil spill happening in Tampa Bay and the governor is headed to Texas. https://t.co/AsQfAzycH7"
"355","RT @Jjo0326: @funder We also have an environmental disaster similar in scope to an oil spill happening in Tampa Bay and the governor is hea…","1416145350432333833",NA,FALSE,2021-07-16 21:18:56,"1416145350432333833","everyone","18480663","en",FALSE,"2008-12-30T16:24:01.000Z","Ymani Simmons","ymanisimmons","https://pbs.twimg.com/profile_images/589432597383553025/59Vg9Tt8_normal.jpg",FALSE,"Advocate for Mother Earth, Rights of ALL Living Beings, Social Justice and Equality. We are all one human family, let's try acting like it.","Asheville, NC",NA,NA,NA,28,0,0,0,0,1011,2752,19841,21,"@funder We also have an environmental disaster similar in scope to an oil spill happening in Tampa Bay and the governor is headed to Texas. https://t.co/AsQfAzycH7"
"356","RT @Jjo0326: @funder We also have an environmental disaster similar in scope to an oil spill happening in Tampa Bay and the governor is hea…","1416150875165315077",NA,FALSE,2021-07-16 21:40:54,"1416150875165315077","everyone","785425199432863744","en",FALSE,"2016-10-10T10:22:14.000Z","SSton","SharinStone","https://pbs.twimg.com/profile_images/1046717212273315840/zxps2pAr_normal.jpg",FALSE,"Analyst, mother, RN, voter.","Florida",NA,NA,NA,28,0,0,0,0,4278,4012,184910,26,"@funder We also have an environmental disaster similar in scope to an oil spill happening in Tampa Bay and the governor is headed to Texas. https://t.co/AsQfAzycH7"
"357","RT @Jjo0326: @funder We also have an environmental disaster similar in scope to an oil spill happening in Tampa Bay and the governor is hea…","1416151517522956294",NA,FALSE,2021-07-16 21:43:27,"1416151517522956294","everyone","35045469","en",FALSE,"2009-04-24T21:24:53.000Z","Bobbie McGee 🎼","scibbe","https://pbs.twimg.com/profile_images/1329388357215006721/jiCQb4ca_normal.jpg",FALSE,"I make masks for people I love","Beau Rivage    ","1092882308288442370",NA,NA,28,0,0,0,0,923,1257,65522,6,"@funder We also have an environmental disaster similar in scope to an oil spill happening in Tampa Bay and the governor is headed to Texas. https://t.co/AsQfAzycH7"
"358","RT @Jjo0326: @funder We also have an environmental disaster similar in scope to an oil spill happening in Tampa Bay and the governor is hea…","1416152314814083073",NA,FALSE,2021-07-16 21:46:37,"1416152314814083073","everyone","961678255450357760","en",FALSE,"2018-02-08T19:08:58.000Z","🇨🇦Cathy🇺🇸💙💛","MoralityPLS","https://pbs.twimg.com/profile_images/1504845711673905152/R_NI5n9e_normal.jpg",FALSE,"Daughter, Mother, Grandmother, Noones perfect, but lets really try. antiracism, Liberal, love canadian multiculturalism, BLM, antiNRA  @MoralityPLS@mstdn.ca","Charlottetown, PEI","1543626820662317056",NA,NA,28,0,0,0,0,3174,3020,185075,10,"@funder We also have an environmental disaster similar in scope to an oil spill happening in Tampa Bay and the governor is headed to Texas. https://t.co/AsQfAzycH7"
"359","RT @Jjo0326: @funder We also have an environmental disaster similar in scope to an oil spill happening in Tampa Bay and the governor is hea…","1416171563242737666",NA,FALSE,2021-07-16 23:03:06,"1416171563242737666","everyone","86426227","en",FALSE,"2009-10-31T00:09:49.000Z","Tricia","wolverine_fl","https://pbs.twimg.com/profile_images/508436321460043776/DGkTHr4j_normal.jpeg",FALSE,"Love hockey and Michigan.🏒🍷🐶","SW FLORIDA",NA,NA,NA,28,0,0,0,0,65,124,2790,1,"@funder We also have an environmental disaster similar in scope to an oil spill happening in Tampa Bay and the governor is headed to Texas. https://t.co/AsQfAzycH7"
"360","RT @Jjo0326: @funder We also have an environmental disaster similar in scope to an oil spill happening in Tampa Bay and the governor is hea…","1416193458683973639",NA,FALSE,2021-07-17 00:30:06,"1416193458683973639","everyone","4833372872","en",FALSE,"2016-01-30T04:22:14.000Z","La Malinche","Dinorah62314","https://pbs.twimg.com/profile_images/869963058881241088/KRm79XxA_normal.jpg",FALSE,"🌻Mother, educator, military spouse, democrat.","United States","760695897906872320",NA,NA,28,0,0,0,0,172,929,19243,1,"@funder We also have an environmental disaster similar in scope to an oil spill happening in Tampa Bay and the governor is headed to Texas. https://t.co/AsQfAzycH7"
"361","RT @Jjo0326: @funder We also have an environmental disaster similar in scope to an oil spill happening in Tampa Bay and the governor is hea…","1416219365024935938",NA,FALSE,2021-07-17 02:13:03,"1416219365024935938","everyone","608159875","en",FALSE,"2012-06-14T13:46:49.000Z","JacJac 💙🌻💛","JdelornJac","https://pbs.twimg.com/profile_images/1508061015677800453/NMzR-vTh_normal.jpg",FALSE,"","Fredericksburg, VA",NA,NA,NA,28,0,0,0,0,916,2495,26651,0,"@funder We also have an environmental disaster similar in scope to an oil spill happening in Tampa Bay and the governor is headed to Texas. https://t.co/AsQfAzycH7"
"362","RT @Jjo0326: @funder We also have an environmental disaster similar in scope to an oil spill happening in Tampa Bay and the governor is hea…","1416312995970535426",NA,FALSE,2021-07-17 08:25:06,"1416312995970535426","everyone","25393970","en",FALSE,"2009-03-19T21:53:39.000Z","meme0923","meme0923","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png",FALSE,"Mother and grandmother to 7 ,lost my daughter in 2018 to an overdose, missing her so much, life isn't fair sometimes..","from massachusetts",NA,NA,NA,28,0,0,0,0,42,338,3621,0,"@funder We also have an environmental disaster similar in scope to an oil spill happening in Tampa Bay and the governor is headed to Texas. https://t.co/AsQfAzycH7"
"363","RT @Jjo0326: @funder We also have an environmental disaster similar in scope to an oil spill happening in Tampa Bay and the governor is hea…","1416321333085057026",NA,FALSE,2021-07-17 08:58:14,"1416321333085057026","everyone","1285847946056085504","en",FALSE,"2020-07-22T08:03:55.000Z","Loujean Pierce","LoujeanPierce","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png",FALSE,"","Florida, USA",NA,NA,NA,28,0,0,0,0,72,382,55088,2,"@funder We also have an environmental disaster similar in scope to an oil spill happening in Tampa Bay and the governor is headed to Texas. https://t.co/AsQfAzycH7"
"364","RT @Jjo0326: @funder We also have an environmental disaster similar in scope to an oil spill happening in Tampa Bay and the governor is hea…","1416342894701580291",NA,FALSE,2021-07-17 10:23:55,"1416342894701580291","everyone","716041121","en",FALSE,"2013-10-15T12:20:06.000Z","Mary","uhlmary1","https://pbs.twimg.com/profile_images/1309646435957309442/BGmSwPSv_normal.jpg",FALSE,"Retired educator, volunteer, community leader, compassionate, generous, pragmatic progressive, proud lifetime AAUW member. Say what I mean & mean what I say","Florida/Michigan",NA,NA,NA,28,0,0,0,0,366,1792,66582,13,"@funder We also have an environmental disaster similar in scope to an oil spill happening in Tampa Bay and the governor is headed to Texas. https://t.co/AsQfAzycH7"
"365","RT @Jjo0326: @funder We also have an environmental disaster similar in scope to an oil spill happening in Tampa Bay and the governor is hea…","1416369545921671168",NA,FALSE,2021-07-17 12:09:49,"1416369545921671168","everyone","1312090809492279296","en",FALSE,"2020-10-02T18:04:00.000Z","Maudie Lou💙","MaudieLou3","https://pbs.twimg.com/profile_images/1509465631443148800/xnAAbcQS_normal.jpg",FALSE,"Dem and Resister. I love family,nature,antiquing,and fishing. Just trying to leave this Earth better than I found it. Dad and 11 Uncles served.",NA,NA,NA,NA,28,0,0,0,0,1417,1992,15992,2,"@funder We also have an environmental disaster similar in scope to an oil spill happening in Tampa Bay and the governor is headed to Texas. https://t.co/AsQfAzycH7"
