"","text","created_at.x","author_id","id","lang","possibly_sensitive","reply_settings","conversation_id","created_at.y","name","description","profile_image_url","verified","username","protected","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","in_reply_to_user_id","location","pinned_tweet_id","url","text_with_display_links","geo_place_id"
"1","@AnthonyClose @TB_Times Surely there was county coverage of the Mar 14 reclaimed leak that sent 30,000g into the intercoastal? Or on Feb 23 when 20,000g of raw sewage was released into Belleair Creek? Or the Feb 9 wastewater release into Gulf? Or the raw sewage into a Largo storm drain on Feb 11? No?. ",2018-06-01 15:28:01,"241599125","1002572481440419841","en",FALSE,"everyone","1002386850978451462","2011-01-22T17:24:52.000Z","Kevin King","Livin' in the Sunshine ☀️ Dad to Casey🧒🏽 Survived 20 yrs. in politics & government 🏛️ Now in development 🏗️","https://pbs.twimg.com/profile_images/1621296607600807936/8IImTgfC_normal.jpg",FALSE,"KevCKing",FALSE,0,1,1,0,0,748,603,7469,23,"39611390","St. Petersburg, FL",NA,"https://t.co/yDsPEuZLzu","@AnthonyClose @TB_Times Surely there was county coverage of the Mar 14 reclaimed leak that sent 30,000g into the intercoastal? Or on Feb 23 when 20,000g of raw sewage was released into Belleair Creek? Or the Feb 9 wastewater release into Gulf? Or the raw sewage into a Largo storm drain on Feb 11? No?",NA
"2","""Scientists already have ample proof that red tide, which began in October 2017 and stretches more than 135 miles from Collier County to Pinellas County, continues to grow by feasting on fertilizer contaminating the water.""  #DebateFlorida. https   www abcactionnews com news local news scientists suspect water spilling into gulf from lake okeechobee is intensifying the red tide crisis",2018-10-02 15:27:39,"17669628","1047146096512946176","en",FALSE,"everyone","1047146096512946176","2008-11-27T04:29:43.000Z","Ben Sharpe","Run @evergreenstrat. Past: @NelsonForSenate, @SenBillNelson, @New_BlueDC, @FlaDems, @CATECOMM, @OFA. Opinions are my own, unless others share them.","https://pbs.twimg.com/profile_images/1484728581804769281/PT2TxJSi_normal.jpg",FALSE,"iamsharpe",FALSE,2,1,4,0,0,5781,4369,70995,172,NA,"Tallahassee, FL",NA,"https://t.co/bN0yx9bANs","""Scientists already have ample proof that red tide, which began in October 2017 and stretches more than 135 miles from Collier County to Pinellas County, continues to grow by feasting on fertilizer contaminating the water."" https://t.co/VdbNGSEMRQ #DebateFlorida",NA
"3","RT @iamsharpe: ""Scientists already have ample proof that red tide, which began in October 2017 and stretches more than 135 miles from Colli…",2018-10-02 16:39:22,"34093672","1047164147773964288","en",FALSE,"everyone","1047164147773964288","2009-04-21T23:41:49.000Z","(((TallyAnnaE))) ☮️","Stayin Alive on Twitter
New account at https://t.co/nwUJAcKvQm, same handle
Staying on this dying bird as long as I can.","https://pbs.twimg.com/profile_images/1590203573148712960/jRdhYIP3_normal.jpg",FALSE,"TallyAnnaE",FALSE,2,0,0,0,0,5484,6029,710158,8,NA,"Florida, USA",NA,NA,"""Scientists already have ample proof that red tide, which began in October 2017 and stretches more than 135 miles from Collier County to Pinellas County, continues to grow by feasting on fertilizer contaminating the water."" https://t.co/VdbNGSEMRQ #DebateFlorida",NA
"4","@iamsharpe Amazing. We have established a pretty direct causal connection between fertilizer and red tide, but nothing is done to solve the problem.",2018-10-02 16:43:34,"1260899268","1047165201345384448","en",FALSE,"everyone","1047146096512946176","2013-03-12T02:32:08.000Z","Dave Milton","People are much more important than things.","https://pbs.twimg.com/profile_images/1046849586206261248/IN_GlK1S_normal.jpg",FALSE,"davemiltonfl",FALSE,0,0,0,0,0,568,810,5350,19,"17669628","Orlando, FL","826997544802721794",NA,NA,NA
"5","RT @iamsharpe: ""Scientists already have ample proof that red tide, which began in October 2017 and stretches more than 135 miles from Colli…",2018-10-02 16:50:50,"2868085976","1047167031840260096","en",FALSE,"everyone","1047167031840260096","2014-10-20T20:25:03.000Z","Sean Cooley","Twin dad. @SFWMD comms/public affairs director. Saving America’s Everglades, providing water to millions, and protecting SoFla from flooding. 🇺🇸 ✝️ My views.","https://pbs.twimg.com/profile_images/1583927147802009600/jt_sqVyn_normal.jpg",FALSE,"SeanACooley",FALSE,2,0,0,0,0,1378,3318,3925,19,NA,"West Palm Beach, FL",NA,NA,"""Scientists already have ample proof that red tide, which began in October 2017 and stretches more than 135 miles from Collier County to Pinellas County, continues to grow by feasting on fertilizer contaminating the water."" https://t.co/VdbNGSEMRQ #DebateFlorida",NA
"6","@IvotedT @ScottforFlorida I was just thinking of going to Clearwater beach tomorrow but I forgot the fuckin red tide and all the shit chemicals leaking out from Sarasota. We need a MAGA senator.... ",2018-10-21 01:05:11,"959459507813408768","1053814420814598146","en",FALSE,"everyone","1053796506166276096","2018-02-02T16:12:27.000Z","ToughGrandpa","De-occultist, white hat, teacher","https://pbs.twimg.com/profile_images/1097294553638465536/ol112OUp_normal.png",FALSE,"ToughGrandpa",FALSE,0,0,0,0,0,148,400,3487,0,"847927252444688384","Parts Unknown",NA,NA,"@IvotedT @ScottforFlorida I was just thinking of going to Clearwater beach tomorrow but I forgot the fuckin red tide and all the shit chemicals leaking out from Sarasota. We need a MAGA senator...",NA
"7","In the past three years, more than 1 billion gallons (3.8 billion liters) of #wastewater has been dumped in the Tampa - St Pete - Clearwater area, and much of it made it into Tampa Bay  #tampa #stpete #clearwater #sewage. https   wusfnews wusf usf edu environment 2018 12 25 report 3 florida cities responsible for wastewater spills",2019-02-25 00:00:28,"1088196428961406976","1099821394425270272","en",FALSE,"everyone","1099821394425270272","2019-01-23T22:07:01.000Z","American Water Security Project","Promoting the need for #sewage and #wastewater #infrastructure upgrades and repairs, #ethical treatment of wastewater, and protection of our nation's waters","https://pbs.twimg.com/profile_images/1088562451866501120/isA81Jbq_normal.jpg",FALSE,"awsproject",FALSE,1,0,2,0,0,92,95,1368,1,NA,NA,NA,"https://t.co/AR8sz1dyFZ","In the past three years, more than 1 billion gallons (3.8 billion liters) of #wastewater has been dumped in the Tampa - St Pete - Clearwater area, and much of it made it into Tampa Bay https://t.co/DkEkBwTDuR #tampa #stpete #clearwater #sewage",NA
"8","RT @awsproject: In the past three years, more than 1 billion gallons (3.8 billion liters) of #wastewater has been dumped in the Tampa - St…",2019-02-25 00:54:49,"121962605","1099835071115288576","en",FALSE,"everyone","1099835071115288576","2010-03-11T04:43:24.000Z","Texan for the Resistance","Single father of 3: Human #resister #impeachtrump #republicanforbiden (Tomorrow there will be more of us) #publiclands and #oceans advocate","https://pbs.twimg.com/profile_images/1279257856450211840/qdYT02PU_normal.jpg",FALSE,"BrandonShuler",FALSE,1,0,0,0,0,662,783,10047,21,NA,"St. Petersburg, Florida",NA,NA,"In the past three years, more than 1 billion gallons (3.8 billion liters) of #wastewater has been dumped in the Tampa - St Pete - Clearwater area, and much of it made it into Tampa Bay https://t.co/DkEkBwTDuR #tampa #stpete #clearwater #sewage",NA
"9","UPDATE: A state of emergency has been declared in Hillsborough and Pinellas counties due to the potential gypsum stack collapse and leak in Manatee County. . https   www baynews9 com fl tampa news 2021 04 02 small leak from piney point threatens to dump wastewater into tampa bay",2021-04-03 21:57:42,"17308428","1378466765248868353","en",FALSE,"everyone","1378466765248868353","2008-11-11T12:03:53.000Z","Spectrum Bay News 9","Breaking news first in Tampa Bay. Continuous updates and in-depth coverage only @BN9, @BN9weather and @BN9Traffic can provide  |  News. Weather. Now.","https://pbs.twimg.com/profile_images/912176447036502017/BBeoQTuF_normal.jpg",TRUE,"BN9",FALSE,76,8,59,7,0,384391,446,145259,1754,NA,"Tampa Bay area",NA,"http://t.co/j3OZJEwDmE","UPDATE: A state of emergency has been declared in Hillsborough and Pinellas counties due to the potential gypsum stack collapse and leak in Manatee County. https://t.co/tOYQhbWp4q",NA
"10","RT @BN9: UPDATE: A state of emergency has been declared in Hillsborough and Pinellas counties due to the potential gypsum stack collapse an…",2021-04-03 21:57:55,"736043144","1378466821431525378","en",FALSE,"everyone","1378466821431525378","2012-08-04T03:58:57.000Z","Gender: loverboy","Jesse | he/they | Professional Goodyear Blimp Enthusiast","https://pbs.twimg.com/profile_images/1506344035727908875/2YsHHM20_normal.jpg",FALSE,"failssafe",FALSE,76,0,0,0,0,191,581,17003,0,NA,"Chernobyl","1562945723682803712","https://t.co/ck4yb08iMI","UPDATE: A state of emergency has been declared in Hillsborough and Pinellas counties due to the potential gypsum stack collapse and leak in Manatee County. https://t.co/tOYQhbWp4q",NA
