"","text","id","reply_settings","created_at.x","lang","possibly_sensitive","in_reply_to_user_id","conversation_id","author_id","location","username","url","name","created_at.y","verified","pinned_tweet_id","profile_image_url","description","protected","geo_place_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count"
"1","ok ew can my roomates not make seafood it smells like red tide in this bitch sos get me the fuck out","950908942003113991","everyone",2018-01-10 01:55:33,"en",FALSE,NA,"950908942003113991","544625537","Anna Maria, FL","mojowinn","https://t.co/5iC2PFvL9P","mariah","2012-04-03T22:02:47.000Z",FALSE,"1095174218516520960","https://pbs.twimg.com/profile_images/1187170281963606016/xnLFDi72_normal.jpg","you gon have to excuse my mess • ☼♉ • ↥♊ • ☾♓︎•",FALSE,"008338532a26abed",0,0,2,0,0,594,77,67557,3
"2","@KyleWoTB We were calling it The Red Tide back then, right @topherchris","952607190761771009","everyone",2018-01-14 18:23:47,"en",FALSE,"21632720","952592904870035456","820303","SRQ","MattCox","https://t.co/YmwpBQTRQX","Matthew Cox","2007-03-08T00:41:48.000Z",FALSE,"1605018608203071488","https://pbs.twimg.com/profile_images/1609606967483404288/B22uTyUo_normal.jpg","Support @TampaBayRowdies & @LFC | @usouthflorida 🐂 & @usfsigep ♥ alum | Mostly Harmless/Highly Effective/Very Tired/Neutral Good",FALSE,"cc1dadd72eefd2f7",0,0,0,0,0,804,735,72264,29
"3","Sarasota Grand Prix delivers despite red tide, beach erosion https://t.co/2fUkRsawjG","1013596251475062784","everyone",2018-07-02 01:32:32,"da",FALSE,NA,"1013596251475062784","839537188819849216","Champa Bay, FL","NoDocumentaries","https://t.co/8DAkno21eA","Michael Moore Jr.","2017-03-08T18:03:58.000Z",FALSE,NA,"https://pbs.twimg.com/profile_images/1044690077539078145/BYbWEK4Z_normal.jpg","Writer, journalist, storyteller. Semi-retired trivia geek. Fantasy Football nerd. Aspiring wannabe Tetris master.",FALSE,"015ece617bb3a210",1,0,2,1,0,769,3355,9034,7
"4","@PepeinVegas @_Just_Win_Baby_ @antdaone Florida has ok beaches if you like horse shit in the water, old guys balls hanging out and red tide burning your lungs...","1014707751392546817","everyone",2018-07-05 03:09:14,"en",FALSE,"1198705884","1014680350289620992","459823706","bradenton fl","stilldabeast73",NA,"Chalky of the Fellas","2012-01-10T02:58:25.000Z",FALSE,"1486050708982013965","https://pbs.twimg.com/profile_images/1622428972515557377/ryQLcIMw_normal.jpg","Father. USAF Vet.  PT. Rugby, Raiders, Lightning, Knicks, BBWs  Single Moms. 
I want you to smile, laugh or think.
 #NAFO #SlavaUkraini  
#Chalky #Raiders #Dem",FALSE,"015ece617bb3a210",0,4,0,0,0,2630,3767,110770,17
"5","@PepeinVegas @_Just_Win_Baby_ @antdaone no thats all tampa bay shit..Red Tide feels like a mild tear gas rn dead fish everywhere..my beach is shit currently..","1014708794591469568","everyone",2018-07-05 03:13:23,"en",FALSE,"1198705884","1014680350289620992","459823706","bradenton fl","stilldabeast73",NA,"Chalky of the Fellas","2012-01-10T02:58:25.000Z",FALSE,"1486050708982013965","https://pbs.twimg.com/profile_images/1622428972515557377/ryQLcIMw_normal.jpg","Father. USAF Vet.  PT. Rugby, Raiders, Lightning, Knicks, BBWs  Single Moms. 
I want you to smile, laugh or think.
 #NAFO #SlavaUkraini  
#Chalky #Raiders #Dem",FALSE,"015ece617bb3a210",0,1,0,0,0,2630,3767,110770,17
"6","This little guy was just released off Coquina Beach after being treated for red tide sickness. Story to come. 🐢 https://t.co/iYLMMNIQWO","1017077807518797824","everyone",2018-07-11 16:07:00,"en",FALSE,NA,"1017077807518797824","906152580","West Palm Beach, FL","mannahhorse","https://t.co/lqYfkGMqDH","Hannah Morse 🌅","2012-10-26T14:54:09.000Z",TRUE,NA,"https://pbs.twimg.com/profile_images/1402263891594317826/NzFiwvcZ_normal.jpg","Reporter for @pbpost. via @BradentonHerald and @UFJSchool. Co-chair @PBNewsGuild. Say hi 👋: hmorse@pbpost.com",FALSE,"07d9db6fd6486002",6,2,27,3,0,2189,1821,10448,76
"7","@mannahhorse I think I'm in love! Go little guy go!","1017113101353832458","everyone",2018-07-11 18:27:15,"en",FALSE,"906152580","1017077807518797824","2415889026","Bradenton FL","Urbanmark2014","https://t.co/4WQP3XGHn4","Mark Young","2014-03-28T13:15:12.000Z",FALSE,NA,"https://pbs.twimg.com/profile_images/1432729879871639553/LgEHhce2_normal.jpg","A quarter century as a journalist and proud #veteran. Now the conservative voice of Manatee County at the @ManateeHerald",FALSE,NA,0,0,3,0,0,2697,2464,7276,82
"8","@mannahhorse looove","1017186656154210306","everyone",2018-07-11 23:19:31,"en",FALSE,"906152580","1017077807518797824","836913667","Lima, Peru","BiancaJoanie",NA,"Bianca Padró Ocasio","2012-09-21T03:31:41.000Z",TRUE,"1605225619620597763","https://pbs.twimg.com/profile_images/1562898668579160065/oP8Nkran_normal.jpg","freelance journalist based in Lima | caribeña y bori de pe erre 🇵🇷 | tb falo português",FALSE,NA,0,0,1,0,0,10684,3256,17819,296
"9","People on here calling on politicians to ""fix red tide"" like they can take a shovel and get all the bacteria out of the ocean... some years the blooms are way bad. It has been getting steadily worse for dozens of years and WAIT some years we barely have one.","1021841254336872452","everyone",2018-07-24 19:35:14,"en",FALSE,NA,"1021841254336872452","854141286",NA,"sgannett101",NA,"Stephanie Gannett","2012-09-30T05:11:49.000Z",FALSE,NA,"https://pbs.twimg.com/profile_images/1215096031802806279/H8aWicEg_normal.jpg","Florida State Alum | Please use the Oxford Comma",FALSE,"4019ea33d81d7fe8",0,1,3,0,0,249,572,5418,5
"10","The current political climate is making people get all upset over shit they have zero knowledge on. You dont see me ranting about tariffs because I'd sound stupid. Stick to what you know or do some research before making dumb statements.","1021842058401726465","everyone",2018-07-24 19:38:26,"en",FALSE,"854141286","1021841254336872452","854141286",NA,"sgannett101",NA,"Stephanie Gannett","2012-09-30T05:11:49.000Z",FALSE,NA,"https://pbs.twimg.com/profile_images/1215096031802806279/H8aWicEg_normal.jpg","Florida State Alum | Please use the Oxford Comma",FALSE,"4019ea33d81d7fe8",0,0,0,0,0,249,572,5418,5
