"","text","created_at.x","possibly_sensitive","author_id","id","reply_settings","conversation_id","lang","in_reply_to_user_id","profile_image_url","username","verified","protected","created_at.y","description","name","url","pinned_tweet_id","location","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","text_with_display_links"
"1","@IvotedT @ScottforFlorida I was just thinking of going to Clearwater beach tomorrow but I forgot the fuckin red tide and all the shit chemicals leaking out from Sarasota. We need a MAGA senator.... ",2018-10-21 01:05:11,FALSE,"959459507813408768","1053814420814598146","everyone","1053796506166276096","en","847927252444688384","https://pbs.twimg.com/profile_images/1097294553638465536/ol112OUp_normal.png","ToughGrandpa",FALSE,FALSE,"2018-02-02T16:12:27.000Z","De-occultist, white hat, teacher","ToughGrandpa",NA,NA,"Parts Unknown",0,0,0,0,0,148,400,3487,0,"@IvotedT @ScottforFlorida I was just thinking of going to Clearwater beach tomorrow but I forgot the fuckin red tide and all the shit chemicals leaking out from Sarasota. We need a MAGA senator..."
"2","Nearly a million gallons of untreated sewage and wastewater puts a big scare into the Suncoast.
. http   www mysuncoast com 2018 12 26 though water now safe sarasota bay after sewage spill some residents still very concerned",2018-12-27 03:20:20,FALSE,"9581122","1078128417873317888","everyone","1078128417873317888","en",NA,"https://pbs.twimg.com/profile_images/1012040604619034624/Rcn4ySrr_normal.jpg","mysuncoast",TRUE,FALSE,"2007-10-21T15:57:27.000Z","ABC7 is the news leader in Sarasota/Manatee counties. News tip? 941-923-6397 or news@mysuncoast.com. Share pics/vids with us thru https://t.co/w4B9r5SLV1","ABC7 Sarasota","http://t.co/nQUeAxZ5Ke",NA,"Sarasota, Florida",1,0,0,0,0,67055,855,89769,690,"Nearly a million gallons of untreated sewage and wastewater puts a big scare into the Suncoast.
https://t.co/wl25WKa9Cp"
"3","RT @mysuncoast: Nearly a million gallons of untreated sewage and wastewater puts a big scare into the Suncoast.
https://t.co/wl25WKa9Cp",2018-12-29 11:33:19,FALSE,"796042439362543616","1078977256767262721","everyone","1078977256767262721","en",NA,"https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","JanGrandma71216",FALSE,FALSE,"2016-11-08T17:31:22.000Z","Democraps are corrupt","Jan Grand",NA,NA,"United States",1,0,0,0,0,97,190,121360,12,"Nearly a million gallons of untreated sewage and wastewater puts a big scare into the Suncoast.
https://t.co/wl25WKa9Cp"
"4","Another wastewater spill in Sarasota County. According to the Florida Department of Environmental Protection, a valve on a reclaimed water line failed at about noon at Bird Bay Circle and Bird Bay Drive
@SNNTV
MORE:. https   www snntv com story 40811562 another wastewater spill in sarasota county",2019-07-19 14:15:00,FALSE,"324496098","1152220295765397504","everyone","1152220295765397504","en",NA,"https://pbs.twimg.com/profile_images/1438922910891057153/5ja7SLWj_normal.jpg","SNNTV",TRUE,FALSE,"2011-06-26T18:35:28.000Z","Your local news leader
News, Weather, & Sports in Sarasota, Manatee, Charlotte and DeSoto counties
Have a news tip? Call (941)361-4600 or email news@snntv.com","SNN","https://t.co/4u07GjR48n",NA,"Sarasota, FL",0,0,1,0,0,13805,897,54143,208,"Another wastewater spill in Sarasota County. According to the Florida Department of Environmental Protection, a valve on a reclaimed water line failed at about noon at Bird Bay Circle and Bird Bay Drive
@SNNTV
MORE:https://t.co/YUNO0xakY4"
"5","More than 800,000 gallons of raw sewage spilled into Sarasota Bay after a wastewater pipe broke in Bradenton earlier this month.
. https   wusfnews wusf usf edu post 800k gallons sewage spills sarasota bay",2020-06-09 19:51:03,FALSE,"17544442","1270443308267925505","everyone","1270443308267925505","en",NA,"https://pbs.twimg.com/profile_images/882569215559028736/RMkZ8wkh_normal.jpg","wusf",TRUE,FALSE,"2008-11-21T20:07:08.000Z","WUSF Public Media is the Tampa Bay area’s source for news, in-depth reporting, educational programming, arts, and the finest classical music.","WUSF","https://t.co/KBo4cZ3VYG",NA,"Tampa, FL",3,0,1,0,0,14648,2305,37921,483,"More than 800,000 gallons of raw sewage spilled into Sarasota Bay after a wastewater pipe broke in Bradenton earlier this month.
https://t.co/fZahlYuoKR"
"6","RT @wusf: More than 800,000 gallons of raw sewage spilled into Sarasota Bay after a wastewater pipe broke in Bradenton earlier this month.…",2020-06-09 19:54:18,FALSE,"730963068","1270444127105187840","everyone","1270444127105187840","en",NA,"https://pbs.twimg.com/profile_images/1101507802181365765/dw5MfqNI_normal.jpg","wusfschreiner",TRUE,FALSE,"2012-08-01T16:09:25.000Z","Asst. News Director / Intern Coordinator, WUSF 89.7 FM.
Enjoys wine & a good IPA, good friends and great writing.","Mark Schreiner",NA,NA,"Palm Harbor, FL",3,0,0,0,0,1586,2869,20505,57,"More than 800,000 gallons of raw sewage spilled into Sarasota Bay after a wastewater pipe broke in Bradenton earlier this month.
https://t.co/fZahlYuoKR"
"7","RT @wusf: More than 800,000 gallons of raw sewage spilled into Sarasota Bay after a wastewater pipe broke in Bradenton earlier this month.…",2020-06-09 21:58:44,FALSE,"981045752","1270475443649556480","everyone","1270475443649556480","en",NA,"https://pbs.twimg.com/profile_images/808689431448350721/T9t_vHr__normal.jpg","Steph_Colombini",FALSE,FALSE,"2012-11-30T19:09:50.000Z","Health reporter for WUSF Public Media, Tampa Bay’s NPR station. Still a New Yorker. Live for live music! She/her","Stephanie Colombini",NA,NA,"New York, USA",3,0,0,0,0,671,809,4218,19,"More than 800,000 gallons of raw sewage spilled into Sarasota Bay after a wastewater pipe broke in Bradenton earlier this month.
https://t.co/fZahlYuoKR"
"8","RT @wusf: More than 800,000 gallons of raw sewage spilled into Sarasota Bay after a wastewater pipe broke in Bradenton earlier this month.…",2020-06-09 22:56:50,FALSE,"853887504","1270490063923818502","everyone","1270490063923818502","en",NA,"https://pbs.twimg.com/profile_images/1346968771748114434/SuJXG2gN_normal.jpg","JMMeszaros",TRUE,FALSE,"2012-09-30T01:22:48.000Z","All Things Considered host and sustainability reporter for @WUSF, @NPR for the Tampa Bay area. (she/her) Retweets are not endorsements.","Jessica Meszaros","https://t.co/8jklgDElo5","1523438730370973697","Tampa, FL",3,0,0,0,0,1004,1412,2810,54,"More than 800,000 gallons of raw sewage spilled into Sarasota Bay after a wastewater pipe broke in Bradenton earlier this month.
https://t.co/fZahlYuoKR"
"9","26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an underwater pipe from Longboat Key @fox13news #Longboatkey #Sarasota #Manatee . https   twitter com kkuizon status 1278444520510763009 photo 1",2020-07-01 21:45:00,FALSE,"26014932","1278444520510763009","everyone","1278444520510763009","en",NA,"https://pbs.twimg.com/profile_images/964559428560281600/xGdD0z3r_normal.jpg","kkuizon",TRUE,FALSE,"2009-03-23T14:53:08.000Z","Fox 13 WTVT Reporter. Florida Girl living the dream. Wife, new mom, Gator, adventure seeker-outdoor lover & trying to juggle it all at once. Opinions are my own","Kim Kuizon FOX 13","https://t.co/C8yRkQVAYP",NA,"Tampa Bay",12,9,18,7,0,7309,516,21126,190,"26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an underwater pipe from Longboat Key @fox13news #Longboatkey #Sarasota #Manatee https://t.co/JGlyCCD342"
"10","RT @kkuizon: 26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an unde…",2020-07-01 21:45:12,FALSE,"15750898","1278444570838290433","everyone","1278444570838290433","en",NA,"https://pbs.twimg.com/profile_images/1459177564178681893/Y3jxK1Xd_normal.jpg","FOX13News",TRUE,FALSE,"2008-08-06T15:12:10.000Z","Bringing you the important stuff, like breaking news & weather alerts. But also plenty of fun stories, like sports updates and all those #WeLiveHere tales.","FOX 13 Tampa Bay","https://t.co/MUtKcxEsVq","1598030799273660422","Tampa, FL",12,0,0,0,0,377132,4626,258122,1874,"26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an underwater pipe from Longboat Key @fox13news #Longboatkey #Sarasota #Manatee https://t.co/JGlyCCD342"
