"","text","id","reply_settings","possibly_sensitive","created_at.x","lang","author_id","conversation_id","in_reply_to_user_id","created_at.y","name","username","location","description","protected","url","pinned_tweet_id","profile_image_url","verified","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","geo_place_id","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","text_with_display_links"
"1","A bloom of the Florida red tide organism, Karenia brevis, persists in Southwest Florida.
 
In Southwest Florida over the past week, K. brevis was observed at background to low concentrations in five samples collected from Manatee County,... . http   myfwc com RedTideStatus","1005201395451080704","everyone",FALSE,2018-06-08 21:34:23,"en","3323529387","1005201395451080704",NA,"2015-06-13T20:03:03.000Z","Eco-Voice","eco_voice","South Florida","A non-partisan, independent, volunteer run org, which endeavors to communicate multiple positions on important environmental issues effecting south Florida.",FALSE,"http://t.co/73f8BdQGYP",NA,"https://pbs.twimg.com/profile_images/638127626402402304/Z71sdYyG_normal.jpg",FALSE,0,0,0,0,0,NA,304,616,14115,7,"A bloom of the Florida red tide organism, Karenia brevis, persists in Southwest Florida.
 
In Southwest Florida over the past week, K. brevis was observed at background to low concentrations in five samples collected from Manatee County,... https://t.co/mOKzczlpXL"
"2","A bloom of the Florida red tide organism, Karenia brevis, persists in Southwest Florida.
 
In Southwest Florida over the past week, K. brevis was observed at background to low concentrations in five samples collected from Manatee County,... . http   myfwc com RedTideStatus","1005201668823289858","everyone",FALSE,2018-06-08 21:35:28,"en","3342774405","1005201668823289858",NA,"2015-06-23T15:50:51.000Z","SGF","SnookNgamefish",NA,"",FALSE,NA,NA,"https://pbs.twimg.com/profile_images/613374621908217856/WT2Njeqg_normal.jpg",FALSE,0,0,0,0,0,NA,69,27,2689,1,"A bloom of the Florida red tide organism, Karenia brevis, persists in Southwest Florida.
 
In Southwest Florida over the past week, K. brevis was observed at background to low concentrations in five samples collected from Manatee County,... https://t.co/rSopc1O4MY"
"3","Heads up! Low to moderate levels of #RedTide found on #Sarasota &amp; #Manatee County coastlines.  @WFLA . http   myfwc com REDTIDESTATUS. https   twitter com WFLAEd status 1005430455901020161 photo 1","1005430455901020161","everyone",FALSE,2018-06-09 12:44:35,"en","356750919","1005430455901020161",NA,"2011-08-17T09:29:24.000Z","Ed Bloodsworth","WKRGEd","Mobile, FL","Chief Meteorologist at @WKRG in Mobile, AL. CBM #761, Weather nerd, avid bowler, @FloridaState alum, and so much more!!! Formerly: WFLA, WJBF, KTKA",FALSE,NA,NA,"https://pbs.twimg.com/profile_images/1549177886384472067/B3oF107j_normal.jpg",TRUE,2,0,1,0,0,NA,2853,1840,17672,142,"Heads up! Low to moderate levels of #RedTide found on #Sarasota &amp; #Manatee County coastlines. https://t.co/ZLNxcFnioH @WFLA https://t.co/kgMt0TJc3w"
"4","RT @WFLAEd: Heads up! Low to moderate levels of #RedTide found on #Sarasota &amp; #Manatee County coastlines. https://t.co/ZLNxcFnioH @WFLA htt…","1005467195835641858","everyone",FALSE,2018-06-09 15:10:34,"en","907305389309526017","1005467195835641858",NA,"2017-09-11T18:10:36.000Z","Happily Sarasota","HappilySarasota",NA,"",FALSE,NA,NA,"https://pbs.twimg.com/profile_images/1561388233405120513/cJnkWeWR_normal.jpg",FALSE,2,0,0,0,0,NA,9,137,5,0,"Heads up! Low to moderate levels of #RedTide found on #Sarasota &amp; #Manatee County coastlines. https://t.co/ZLNxcFnioH @WFLA https://t.co/kgMt0TJc3w"
"5","RT @WFLAEd: Heads up! Low to moderate levels of #RedTide found on #Sarasota &amp; #Manatee County coastlines. https://t.co/ZLNxcFnioH @WFLA htt…","1005531656952930304","everyone",FALSE,2018-06-09 19:26:43,"en","96133823","1005531656952930304",NA,"2009-12-11T14:15:46.000Z","Twinquetta Gallons","shameka813","Tampa Florida ","",FALSE,NA,NA,"https://pbs.twimg.com/profile_images/702340218947559429/asyJNcGH_normal.jpg",FALSE,2,0,0,0,0,NA,28,502,2731,0,"Heads up! Low to moderate levels of #RedTide found on #Sarasota &amp; #Manatee County coastlines. https://t.co/ZLNxcFnioH @WFLA https://t.co/kgMt0TJc3w"
"6","Reminder...We've got some #RedTide issues along Sarasota &amp; Manatee County beaches. Here's wher you can find more info.
 . http   myfwc com REDTIDESTATUS. https   twitter com WFLAEd status 1006149281659703298 photo 1","1006149281659703298","everyone",FALSE,2018-06-11 12:20:56,"en","356750919","1006149281659703298",NA,"2011-08-17T09:29:24.000Z","Ed Bloodsworth","WKRGEd","Mobile, FL","Chief Meteorologist at @WKRG in Mobile, AL. CBM #761, Weather nerd, avid bowler, @FloridaState alum, and so much more!!! Formerly: WFLA, WJBF, KTKA",FALSE,NA,NA,"https://pbs.twimg.com/profile_images/1549177886384472067/B3oF107j_normal.jpg",TRUE,6,0,1,0,0,NA,2853,1840,17672,142,"Reminder...We've got some #RedTide issues along Sarasota &amp; Manatee County beaches. Here's wher you can find more info.
https://t.co/ZLNxcFnioH https://t.co/P6Wd9NIP7a"
"7","RT @WFLAEd: Reminder...We've got some #RedTide issues along Sarasota &amp; Manatee County beaches. Here's wher you can find more info.
https://…","1006149398051610624","everyone",FALSE,2018-06-11 12:21:24,"en","23820899","1006149398051610624",NA,"2009-03-11T20:14:10.000Z","WFLA NEWS","WFLA","Tampa, FL","WFLA News Channel 8 is a news leader in Tampa Bay.",FALSE,"https://t.co/qPxwyiszHG",NA,"https://pbs.twimg.com/profile_images/1539812844660719616/2FlxM4l8_normal.jpg",TRUE,6,0,0,0,0,NA,204727,2285,233099,1704,"Reminder...We've got some #RedTide issues along Sarasota &amp; Manatee County beaches. Here's wher you can find more info.
https://t.co/ZLNxcFnioH https://t.co/P6Wd9NIP7a"
"8","RT @WFLAEd: Reminder...We've got some #RedTide issues along Sarasota &amp; Manatee County beaches. Here's wher you can find more info.
https://…","1006150470765891584","everyone",FALSE,2018-06-11 12:25:40,"en","1465883748","1006150470765891584",NA,"2013-05-28T23:19:21.000Z","Allison Gelman","AlliGarramone",NA,"Weather Nerd",FALSE,NA,NA,"https://pbs.twimg.com/profile_images/378800000727460780/b8f6a6a2dbd9bf2899976d8d8e452c1f_normal.jpeg",FALSE,6,0,0,0,0,NA,50,892,3809,4,"Reminder...We've got some #RedTide issues along Sarasota &amp; Manatee County beaches. Here's wher you can find more info.
https://t.co/ZLNxcFnioH https://t.co/P6Wd9NIP7a"
"9","RT @WFLAEd: Reminder...We've got some #RedTide issues along Sarasota &amp; Manatee County beaches. Here's wher you can find more info.
https://…","1006157795459239936","everyone",FALSE,2018-06-11 12:54:46,"en","110505562","1006157795459239936",NA,"2010-02-01T19:56:05.000Z","G~Cornholio","Corn4Harvick","FL    #JuddCounty ","*Flo-Grown* 🇺🇸 🇺🇸 Jesus sent me back to straighten you brain-dead motherfuckers out... 🙄🙄🙄    ""Nuremberg Code""  ""Clown World""    WTF",FALSE,NA,"1456744495270219780","https://pbs.twimg.com/profile_images/809363881235795972/WQvieAoz_normal.jpg",FALSE,6,0,0,0,0,NA,503,490,30096,30,"Reminder...We've got some #RedTide issues along Sarasota &amp; Manatee County beaches. Here's wher you can find more info.
https://t.co/ZLNxcFnioH https://t.co/P6Wd9NIP7a"
"10","RT @WFLAEd: Reminder...We've got some #RedTide issues along Sarasota &amp; Manatee County beaches. Here's wher you can find more info.
https://…","1006158287681835008","everyone",FALSE,2018-06-11 12:56:43,"en","4704441750","1006158287681835008",NA,"2016-01-03T18:59:59.000Z","Joe Morelli","memorabiliaddy","Dunedin, FL","Healthcare Professional * Dad to Two * MSU Alumnus * Autograph Collector * KCCO * Snapchat and Instagram: memorabiliaddy *GOGREEN * V4MSU",FALSE,NA,NA,"https://pbs.twimg.com/profile_images/683727334709587968/ZIg_yk-d_normal.jpg",FALSE,6,0,0,0,0,NA,1202,885,59473,61,"Reminder...We've got some #RedTide issues along Sarasota &amp; Manatee County beaches. Here's wher you can find more info.
https://t.co/ZLNxcFnioH https://t.co/P6Wd9NIP7a"
