"","text","id","reply_settings","possibly_sensitive","created_at.x","lang","author_id","conversation_id","created_at.y","name","username","location","description","protected","url","profile_image_url","verified","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","in_reply_to_user_id","pinned_tweet_id","geo_place_id","text_with_display_links"
"152","@spiritdance33... Just wanted to show you this for more info as well. GL! 💙","1166853482076364801","everyone",FALSE,2019-08-28 23:22:03,"en","989480153041469440","1166851137913413634","2018-04-26T12:23:46.000Z","DontWorry-WereGoingHappilybackToCorporateUSA","HumanityLove32","In the face of inequality","Realist. Humanist. MA.ECD (human development)SocDem. UNITE!-No Nahzi sympathizers!-Amateur Historian. ArrestMagaTNahziRegimeNOW!
FactsoverFeelings!",FALSE,NA,"https://pbs.twimg.com/profile_images/1325450869559746561/sHjF_x1Z_normal.jpg",FALSE,0,0,1,0,0,12525,13195,26467,0,"989480153041469440","1073594422208667649",NA,NA
"153","Recent deaths: https://t.co/ginWKGroRm

#DontSwim #DontEattheFish #SoMuchDeath #CorporateInfluencer #Corporate #SaveFL #TheTruth","1166857358032683008","everyone",FALSE,2019-08-28 23:37:27,"en","989480153041469440","1166851137913413634","2018-04-26T12:23:46.000Z","DontWorry-WereGoingHappilybackToCorporateUSA","HumanityLove32","In the face of inequality","Realist. Humanist. MA.ECD (human development)SocDem. UNITE!-No Nahzi sympathizers!-Amateur Historian. ArrestMagaTNahziRegimeNOW!
FactsoverFeelings!",FALSE,NA,"https://pbs.twimg.com/profile_images/1325450869559746561/sHjF_x1Z_normal.jpg",FALSE,1,1,2,0,0,12525,13195,26467,0,"989480153041469440","1073594422208667649",NA,NA
"154","Let's look at only a FEW of the deaths from the gulf over the years...
From 2015: https://t.co/Sp8LzfxFSr

#environmentalawareness #death #enviromental #SaveOurWater #SaveOurPlanet","1166857355734241281","everyone",FALSE,2019-08-28 23:37:27,"en","989480153041469440","1166851137913413634","2018-04-26T12:23:46.000Z","DontWorry-WereGoingHappilybackToCorporateUSA","HumanityLove32","In the face of inequality","Realist. Humanist. MA.ECD (human development)SocDem. UNITE!-No Nahzi sympathizers!-Amateur Historian. ArrestMagaTNahziRegimeNOW!
FactsoverFeelings!",FALSE,NA,"https://pbs.twimg.com/profile_images/1325450869559746561/sHjF_x1Z_normal.jpg",FALSE,0,1,1,0,0,12525,13195,26467,0,"989480153041469440","1073594422208667649",NA,NA
"155","https://t.co/NyT527Xkr1

#Gulf #Florida #FLgulf #Deadly #Cyanobacteria #flesheatting #LakeO #Armycorps #KillingUs","1166857359261650944","everyone",FALSE,2019-08-28 23:37:28,"qme","989480153041469440","1166851137913413634","2018-04-26T12:23:46.000Z","DontWorry-WereGoingHappilybackToCorporateUSA","HumanityLove32","In the face of inequality","Realist. Humanist. MA.ECD (human development)SocDem. UNITE!-No Nahzi sympathizers!-Amateur Historian. ArrestMagaTNahziRegimeNOW!
FactsoverFeelings!",FALSE,NA,"https://pbs.twimg.com/profile_images/1325450869559746561/sHjF_x1Z_normal.jpg",FALSE,0,0,1,0,0,12525,13195,26467,0,"989480153041469440","1073594422208667649",NA,NA
"156","In Manatee County, @GovRonDeSantis says ""primary concern"" of #PineyPoint situation is excess nutrients of nitrogen and phosphorus. 

Nutrient loading of these can cause toxic red tide and blue-green algae blooms . https   twitter com MaxChesnes status 1378725818113916935 photo 1","1378725818113916935","everyone",FALSE,2021-04-04 15:07:05,"en","1239172640","1378725818113916935","2013-03-03T15:29:18.000Z","Max Chesnes","MaxChesnes","St Petersburg, FL","Environment reporter @TB_Times. Past: @tcpenvironment💧 2022 @MetcalfURI Fellow. @UFJSchool alum. Drone pilot. #ReadLocal",FALSE,"https://t.co/XqBqJqqUrm","https://pbs.twimg.com/profile_images/1565022647829893121/osNHuVp6_normal.jpg",TRUE,10,4,23,2,0,7684,2989,11365,125,NA,"1575972822156836865",NA,"In Manatee County, @GovRonDeSantis says ""primary concern"" of #PineyPoint situation is excess nutrients of nitrogen and phosphorus. 

Nutrient loading of these can cause toxic red tide and blue-green algae blooms https://t.co/7lZxa7CdBL"
"157","@MaxChesnes @GovRonDeSantis This is absolutely horrific!  Shame on these people for setting us (people, marine life, wildlife) up for this environmental disaster!🤬😡","1378726372697387011","everyone",FALSE,2021-04-04 15:09:17,"en","503223654","1378725818113916935","2012-02-25T16:24:40.000Z","GraceGratitudeBeauty","GGBeauty","Florida, USA","Beauty Influencer 
contact for collaboration/PR austinfamvt@gmail.com 😍",FALSE,NA,"https://pbs.twimg.com/profile_images/841063247843221504/nPAQlgj-_normal.jpg",FALSE,0,0,2,1,0,494,2198,3993,10,"1239172640",NA,NA,NA
"158",".@NoahValenstein, secretary of Florida's Department of Environmental Protection, urges residents to heed evacuation orders over fears of potential flooding","1378727480719200264","everyone",FALSE,2021-04-04 15:13:41,"en","1239172640","1378725818113916935","2013-03-03T15:29:18.000Z","Max Chesnes","MaxChesnes","St Petersburg, FL","Environment reporter @TB_Times. Past: @tcpenvironment💧 2022 @MetcalfURI Fellow. @UFJSchool alum. Drone pilot. #ReadLocal",FALSE,"https://t.co/XqBqJqqUrm","https://pbs.twimg.com/profile_images/1565022647829893121/osNHuVp6_normal.jpg",TRUE,4,1,5,0,0,7695,2993,11394,127,"1239172640","1575972822156836865",NA,NA
"159","RT @MaxChesnes: In Manatee County, @GovRonDeSantis says ""primary concern"" of #PineyPoint situation is excess nutrients of nitrogen and phos…","1378728005724483587","everyone",FALSE,2021-04-04 15:15:46,"en","48382281","1378728005724483587","2009-06-18T15:25:09.000Z","Vicki Dean","vdeanfla","Blue Ridge, GA","Freelance writer and editor for @HeraldTribune, Bluegrass Unlimited and @RoughReadymedia. Loves news, bluegrass music, Tampa Bay Rays. Florida halfback.",FALSE,"https://t.co/fW59LLXSgU","https://pbs.twimg.com/profile_images/887012743852703744/qb3MHeR1_normal.jpg",FALSE,10,0,0,0,0,2085,3370,33762,77,NA,NA,NA,"In Manatee County, @GovRonDeSantis says ""primary concern"" of #PineyPoint situation is excess nutrients of nitrogen and phosphorus. 

Nutrient loading of these can cause toxic red tide and blue-green algae blooms https://t.co/7lZxa7CdBL"
"160","RT @MaxChesnes: In Manatee County, @GovRonDeSantis says ""primary concern"" of #PineyPoint situation is excess nutrients of nitrogen and phos…","1378728207814426625","everyone",FALSE,2021-04-04 15:16:34,"en","16535847","1378728207814426625","2008-09-30T22:10:55.000Z","jennart","Jennart","U.S.","Jennifer Borresen ~ illustrator ~ designer ~ informational graphics  ~ wife ~ mother of two ~ sarasota ~ USA Today",FALSE,NA,"https://pbs.twimg.com/profile_images/115625203/head_normal.png",FALSE,10,0,0,0,0,633,679,9527,38,NA,NA,NA,"In Manatee County, @GovRonDeSantis says ""primary concern"" of #PineyPoint situation is excess nutrients of nitrogen and phosphorus. 

Nutrient loading of these can cause toxic red tide and blue-green algae blooms https://t.co/7lZxa7CdBL"
"161","RT @MaxChesnes: In Manatee County, @GovRonDeSantis says ""primary concern"" of #PineyPoint situation is excess nutrients of nitrogen and phos…","1378728630713466882","everyone",FALSE,2021-04-04 15:18:15,"en","702359808456916993","1378728630713466882","2016-02-24T05:10:02.000Z","Tori Lynn Schneider","photoriphy","Tallahassee, FL","retired journalist & florida girl from wisconsin",FALSE,NA,"https://pbs.twimg.com/profile_images/1605313112344711168/epIvsSe1_normal.jpg",TRUE,10,0,0,0,0,1996,1368,8930,42,NA,"1461430530403184648",NA,"In Manatee County, @GovRonDeSantis says ""primary concern"" of #PineyPoint situation is excess nutrients of nitrogen and phosphorus. 

Nutrient loading of these can cause toxic red tide and blue-green algae blooms https://t.co/7lZxa7CdBL"
"162","Also, you can monitor water quality standards throughout the state (and around #PineyPoint) on FDEP's dashboard: 
https://t.co/NAo20CY4vb","1378729384308310017","everyone",FALSE,2021-04-04 15:21:15,"en","1239172640","1378725818113916935","2013-03-03T15:29:18.000Z","Max Chesnes","MaxChesnes","St Petersburg, FL","Environment reporter @TB_Times. Past: @tcpenvironment💧 2022 @MetcalfURI Fellow. @UFJSchool alum. Drone pilot. #ReadLocal",FALSE,"https://t.co/XqBqJqqUrm","https://pbs.twimg.com/profile_images/1565022647829893121/osNHuVp6_normal.jpg",TRUE,2,2,13,1,0,7695,2993,11394,127,"1239172640","1575972822156836865",NA,NA
"163","RT @MaxChesnes: In Manatee County, @GovRonDeSantis says ""primary concern"" of #PineyPoint situation is excess nutrients of nitrogen and phos…","1378730120236662785","everyone",FALSE,2021-04-04 15:24:10,"en","11937052","1378730120236662785","2008-01-07T10:20:39.000Z","Spooky McGee","spookymcgee","Bradenton, FL","Rain or shine, I always return shopping carts. Pre-Covid I was volunteering at the National Park on The Galápagos Islands. For work, I tour with Broadway shows.",FALSE,NA,"https://pbs.twimg.com/profile_images/1416236614595006464/cwxN4d6J_normal.jpg",FALSE,10,0,0,0,0,26,267,550,0,NA,NA,NA,"In Manatee County, @GovRonDeSantis says ""primary concern"" of #PineyPoint situation is excess nutrients of nitrogen and phosphorus. 

Nutrient loading of these can cause toxic red tide and blue-green algae blooms https://t.co/7lZxa7CdBL"
"164","RT @MaxChesnes: In Manatee County, @GovRonDeSantis says ""primary concern"" of #PineyPoint situation is excess nutrients of nitrogen and phos…","1378733897714962439","everyone",FALSE,2021-04-04 15:39:11,"en","41015163","1378733897714962439","2009-05-19T00:49:22.000Z","Dr. Lugo, PhD, MPA","Dr_Parnell827","Florida, USA","Proud PuertoRican! Liberal with a heart of gold🥰 Dog Lover. I've been Pziferized😜 #BlackLivesMatter #WhiteSupremacyIsTerrorism #LoveIsLove🌈",FALSE,NA,"https://pbs.twimg.com/profile_images/1466579244222492674/QBJSjFwb_normal.jpg",FALSE,10,0,0,0,0,1155,2248,22702,1,NA,NA,NA,"In Manatee County, @GovRonDeSantis says ""primary concern"" of #PineyPoint situation is excess nutrients of nitrogen and phosphorus. 

Nutrient loading of these can cause toxic red tide and blue-green algae blooms https://t.co/7lZxa7CdBL"
"165","@MaxChesnes Hey Max - Is there a way we the people/community of Tampa and St.Pete can help?","1378734197758697472","everyone",FALSE,2021-04-04 15:40:23,"en","2187706173","1378725818113916935","2013-11-19T18:01:25.000Z","CSlugKing","cslugking",NA,"",FALSE,NA,"https://pbs.twimg.com/profile_images/1511030867598192648/9_-VqzxE_normal.jpg",FALSE,0,1,2,0,0,12,199,84,7,"1239172640",NA,NA,NA
"166","@MaxChesnes Where can one see whatever report was produced the last time these #PineyPoint retention ponds were tested? The governor says this water isn't radioactive, but where can the public see the data that supports this claim? #PineyPoint #FlaPol","1378735364416929794","everyone",FALSE,2021-04-04 15:45:01,"en","753216108849729536","1378725818113916935","2016-07-13T13:14:49.000Z","Tampa Egret Bicycle","Tampa_Egret","Tampa, FL","Friend of the planet, reader, armchair urbanist. Working to make Tampa greener, hipper, prettier and less car-centric. #climatecrisis #solarpoweredFL #StopTBX",FALSE,NA,"https://pbs.twimg.com/profile_images/810595410737852420/JJ5xHFhY_normal.jpg",FALSE,0,1,3,0,0,523,295,10939,13,"1239172640","1142395142604824576",NA,NA
"167","RT @MaxChesnes: In Manatee County, @GovRonDeSantis says ""primary concern"" of #PineyPoint situation is excess nutrients of nitrogen and phos…","1378736290011693064","everyone",FALSE,2021-04-04 15:48:41,"en","3937263083","1378736290011693064","2015-10-12T13:02:36.000Z","Frack Hazard Reveal","FrackHazReveal","New England, USA","Threats to the health and well being of those exposed to fracking, fracked gas, and the pipelines that carry the gas across our countries and planet. #StopNED",FALSE,"https://t.co/EDCwAmMgip","https://pbs.twimg.com/profile_images/653713138907521024/ulEHtBml_normal.jpg",FALSE,10,0,0,0,0,6160,6471,764488,57,NA,NA,NA,"In Manatee County, @GovRonDeSantis says ""primary concern"" of #PineyPoint situation is excess nutrients of nitrogen and phosphorus. 

Nutrient loading of these can cause toxic red tide and blue-green algae blooms https://t.co/7lZxa7CdBL"
"168","@MaxChesnes @FrackHazReveal @GovRonDeSantis stupid stupid humanoids","1378738490490318848","everyone",FALSE,2021-04-04 15:57:26,"en","16122204","1378725818113916935","2008-09-04T00:21:46.000Z","Ms Penny 💋🌻","PennyPhilosophy","Photo Illustration by aZa 📸🤓","Dictating my auto bio -
Maintenance Drinker in the New Age.
✍😉👍
Welcome aboard
Love, 
LuRain 
we/us
😉🤓

#humanebeingsunite",FALSE,"https://t.co/uAmis2rQuS","https://pbs.twimg.com/profile_images/1571230244807512066/w0fe2PVU_normal.jpg",FALSE,0,0,1,0,0,2456,954,226679,0,"1239172640","1556303453550366720",NA,NA
"169","@cslugking It’s a great question, one better suited for local reporters living and working in Manatee who know the community best

I asked @RCCallihan. He says current help could include extra space for shelter, and land to store livestock in the evac area. I’m sure that answer will evolve","1378739888296767489","everyone",FALSE,2021-04-04 16:02:59,"en","1239172640","1378725818113916935","2013-03-03T15:29:18.000Z","Max Chesnes","MaxChesnes","St Petersburg, FL","Environment reporter @TB_Times. Past: @tcpenvironment💧 2022 @MetcalfURI Fellow. @UFJSchool alum. Drone pilot. #ReadLocal",FALSE,"https://t.co/XqBqJqqUrm","https://pbs.twimg.com/profile_images/1565022647829893121/osNHuVp6_normal.jpg",TRUE,1,1,3,0,0,7695,2993,11394,127,"2187706173","1575972822156836865",NA,NA
"170","@MaxChesnes @RCCallihan OK - thank you Max. I’ll keep an eye out for @RCCallihan updates.","1378741397340192770","everyone",FALSE,2021-04-04 16:08:59,"en","2187706173","1378725818113916935","2013-11-19T18:01:25.000Z","CSlugKing","cslugking",NA,"",FALSE,NA,"https://pbs.twimg.com/profile_images/1511030867598192648/9_-VqzxE_normal.jpg",FALSE,0,0,2,0,0,12,199,84,7,"1239172640",NA,NA,NA
"171","RT @MaxChesnes: In Manatee County, @GovRonDeSantis says ""primary concern"" of #PineyPoint situation is excess nutrients of nitrogen and phos…","1378748994684354567","everyone",FALSE,2021-04-04 16:39:10,"en","349049976","1378748994684354567","2011-08-05T13:16:34.000Z","Marc R. Masferrer","MRMasferrer","Bradenton, Fla.","",FALSE,NA,"https://pbs.twimg.com/profile_images/1533823573181157376/JHIldUXO_normal.jpg",TRUE,10,0,0,0,0,3103,1910,76258,120,NA,NA,NA,"In Manatee County, @GovRonDeSantis says ""primary concern"" of #PineyPoint situation is excess nutrients of nitrogen and phosphorus. 

Nutrient loading of these can cause toxic red tide and blue-green algae blooms https://t.co/7lZxa7CdBL"
"172","RT @MaxChesnes: In Manatee County, @GovRonDeSantis says ""primary concern"" of #PineyPoint situation is excess nutrients of nitrogen and phos…","1378752053263138819","everyone",FALSE,2021-04-04 16:51:20,"en","977121924","1378752053263138819","2012-11-28T22:47:18.000Z","barbara hollywoodfl","barbfacebook","Hollywood, FL","Urbanism Junkie in SoFla",FALSE,NA,"https://pbs.twimg.com/profile_images/1102726300597403648/yDsrGKTY_normal.jpg",FALSE,10,0,0,0,0,273,1394,27583,1,NA,NA,NA,"In Manatee County, @GovRonDeSantis says ""primary concern"" of #PineyPoint situation is excess nutrients of nitrogen and phosphorus. 

Nutrient loading of these can cause toxic red tide and blue-green algae blooms https://t.co/7lZxa7CdBL"
"173","@MaxChesnes @GovRonDeSantis He's about 30 years too late","1378858772811157504","everyone",FALSE,2021-04-04 23:55:24,"en","737452389159079936","1378725818113916935","2016-05-31T01:15:25.000Z","afxirmvu","mjigyvftd","Florida, USA","",FALSE,NA,"https://pbs.twimg.com/profile_images/1278620838850371585/Wdgygfw9_normal.jpg",FALSE,0,0,0,0,0,7,139,637,0,"1239172640",NA,NA,NA
"174","RT @MaxChesnes: In Manatee County, @GovRonDeSantis says ""primary concern"" of #PineyPoint situation is excess nutrients of nitrogen and phos…","1378865591486980097","everyone",FALSE,2021-04-05 00:22:29,"en","28557805","1378865591486980097","2009-04-03T13:06:24.000Z","Denise Sawyer","DeniseSawyerTV",NA,"Corporate Communications and #PublicRelations in South Florida▪Former CBS12 Reporter/Anchor ▪Outdoor Fan▪Have 5 Big Brothers & Loving Dad▪HowardU Alum",FALSE,NA,"https://pbs.twimg.com/profile_images/1574849685981958157/8R1q9Y8n_normal.jpg",FALSE,10,0,0,0,0,4737,2710,64633,121,NA,NA,NA,"In Manatee County, @GovRonDeSantis says ""primary concern"" of #PineyPoint situation is excess nutrients of nitrogen and phosphorus. 

Nutrient loading of these can cause toxic red tide and blue-green algae blooms https://t.co/7lZxa7CdBL"
"175","@Tampa_Egret @MaxChesnes The decision which contaminants you should think exist is final https://t.co/1X8dQ2wmN0 
""Additional nutrient-related impairments will be added to the map in the future, including those that better reflect springs impairments...Please visit the WNAS map."" 

Don't waste your time. https://t.co/PXvBBxwPxI","1380108156097990661","everyone",FALSE,2021-04-08 10:40:00,"en","849884086789447680","1378725818113916935","2017-04-06T07:18:51.000Z","turizemptuj","turizemptuj","Ptuj, Slovenia","Please bring an empty bottle or other airtight container.

Zorbers welcome.
Anarchic non-anarchist.

Resisting linguistic apartheid in Slovenia at:",FALSE,"https://t.co/NuXmB6d9aw","https://pbs.twimg.com/profile_images/849885433509097473/UCRPkRzF_normal.jpg",FALSE,1,0,0,0,0,683,4983,76949,4,"753216108849729536","854025964736663553",NA,NA
"176","Environmental groups have noticed a type of blue-green algae forming in Manatee County near the Manatee River.
. https   www wtsp com article tech science environment blue green algae robinson preserve manatee river 67 85001668 27cb 4c60 b1db 33bdb58ee460","1389413474384629761","everyone",FALSE,2021-05-04 02:56:01,"en","16743886","1389413474384629761","2008-10-14T19:14:27.000Z","10 Tampa Bay","10TampaBay","Tampa, Florida","10 Tampa Bay (CBS, TEGNA) covers news in Tampa, St. Petersburg, Clearwater & Sarasota.  News tips? 📱 727-577-1010, 📧 desk@wtsp.com or reply using @10TampaBay",FALSE,"https://t.co/rHVdIDVNLL","https://pbs.twimg.com/profile_images/1257694617690046467/ISKyPJi0_normal.jpg",TRUE,1,0,1,0,0,180079,11957,313782,1716,NA,NA,NA,"Environmental groups have noticed a type of blue-green algae forming in Manatee County near the Manatee River.
https://t.co/o1zvsODCyK"
"177","RT @10TampaBay: Environmental groups have noticed a type of blue-green algae forming in Manatee County near the Manatee River.
https://t.co…","1389495169137790978","everyone",FALSE,2021-05-04 08:20:38,"en","29897850","1389495169137790978","2009-04-09T02:32:30.000Z","sic","kimvie",NA,"(stupidity is contagious)",FALSE,NA,"https://pbs.twimg.com/profile_images/900901038814887938/-pZjQTHp_normal.jpg",FALSE,1,0,0,0,0,2709,5002,739438,1717,NA,"1338557790600581120",NA,"Environmental groups have noticed a type of blue-green algae forming in Manatee County near the Manatee River.
https://t.co/o1zvsODCyK"
